Zipcode,Total employed in civilian labor force,Aggregate travel time to work (in minutes),Cities,Houston Area Detail
77484.0,5259.0,174485.0,Waller,Other Cities
77493.0,11440.0,303170.0,Katy2,Other Cities
77502.0,14570.0,362725.0,Pasadena,Other Cities
77503.0,9585.0,219100.0,Pasadena,Other Cities
77504.0,10633.0,262100.0,Pasadena,Other Cities
77505.0,11979.0,287075.0,Pasadena,Other Cities
77506.0,13187.0,311480.0,Pasadena,Other Cities
77520.0,14571.0,347530.0,Baytown,Other Cities
77521.0,20597.0,468820.0,Baytown,Other Cities
77530.0,12318.0,309065.0,Channelview,Other Cities
77532.0,12179.0,366790.0,Crosby,Other Cities
77536.0,15053.0,340890.0,Deer Park,Other Cities
77547.0,3701.0,87600.0,Galena Park,Other Cities
77562.0,4553.0,118655.0,Highlands,Other Cities
77571.0,17760.0,417860.0,La Porte,Other Cities
77586.0,10853.0,265855.0,Seabrook,Other Cities
77587.0,6874.0,172890.0,South Houston,Other Cities
77598.0,13391.0,304505.0,Webster,Other Cities
77003.0,4805.0,106035.0,Houston,Inner Loop
77004.0,14358.0,280305.0,Houston,Inner Loop
77005.0,12478.0,196125.0,Houston,Inner Loop
77006.0,14134.0,249765.0,Houston,Inner Loop
77007.0,20595.0,409175.0,Houston,Inner Loop
77008.0,18541.0,371810.0,Houston,Inner Loop
77009.0,18044.0,407750.0,Houston,Inner Loop
77011.0,7212.0,181725.0,Houston,Inner Loop
77012.0,9206.0,267545.0,Houston,Inner Loop
77013.0,7848.0,181425.0,Houston,Northeast
77014.0,13774.0,385000.0,Houston,Northwest
77015.0,22850.0,541330.0,Houston,Northeast
77016.0,10094.0,298695.0,Houston,Northeast
77017.0,13827.0,350235.0,Houston,Southeast
77018.0,14508.0,326220.0,Houston,Northwest
77019.0,12431.0,212070.0,Houston,Inner Loop
77020.0,9590.0,253185.0,Houston,Inner Loop
77021.0,10300.0,242470.0,Houston,Inner Loop
77022.0,11791.0,305560.0,Houston,Northeast
77023.0,14399.0,336955.0,Houston,Inner Loop
77024.0,16207.0,316890.0,Houston,Southwest
77025.0,13821.0,287105.0,Houston,Inner Loop
77026.0,7481.0,237405.0,Houston,Inner Loop
77027.0,9734.0,173000.0,Houston,Inner Loop
77028.0,6218.0,182550.0,Houston,Northeast
77029.0,6258.0,159990.0,Houston,Southeast
77030.0,6208.0,115720.0,Houston,Inner Loop
77031.0,8758.0,211800.0,Houston,Southwest
77032.0,3708.0,105170.0,Houston,Northeast
77033.0,9596.0,269385.0,Houston,Southeast
77034.0,15764.0,400620.0,Houston,Southeast
77035.0,16400.0,410380.0,Houston,Southwest
77036.0,31026.0,771260.0,Houston,Southwest
77037.0,7920.0,218445.0,Houston,Northeast
77038.0,11213.0,324215.0,Houston,Northwest
77039.0,10986.0,294425.0,Houston,Northeast
77040.0,22843.0,591075.0,Houston,Northwest
77041.0,17736.0,466685.0,Houston,Northwest
77042.0,20437.0,499015.0,Houston,Southwest
77043.0,10753.0,245470.0,Houston,Northwest
77044.0,13525.0,388205.0,Houston,Northeast
77045.0,12403.0,343135.0,Houston,Southwest
77047.0,10289.0,281050.0,Houston,Southeast
77048.0,6264.0,180970.0,Houston,Southeast
77049.0,12452.0,307325.0,Houston,Northeast
77050.0,1782.0,47465.0,Houston,Northeast
77051.0,4569.0,108465.0,Houston,Southeast
77054.0,13071.0,247485.0,Houston,Inner Loop
77055.0,20181.0,432925.0,Houston,Northwest
77056.0,9737.0,173265.0,Houston,Southwest
77057.0,23717.0,515025.0,Houston,Southwest
77058.0,9465.0,209020.0,Houston,Southeast
77059.0,9411.0,227030.0,Houston,Southeast
77060.0,19728.0,543335.0,Houston,Northeast
77061.0,10864.0,286010.0,Houston,Southeast
77062.0,13158.0,285615.0,Houston,Southeast
77063.0,21381.0,514230.0,Houston,Southwest
77064.0,23018.0,590630.0,Houston,Northwest
77065.0,18800.0,484080.0,Houston,Northwest
77066.0,15944.0,454575.0,Houston,Northwest
77067.0,12826.0,320865.0,Houston,Other Cities
77068.0,5571.0,146120.0,Houston,Northwest
77069.0,8175.0,230465.0,Houston,Northwest
77070.0,24861.0,668065.0,Houston,Northwest
77071.0,13051.0,326275.0,Houston,Southwest
77072.0,25957.0,724080.0,Houston,Southwest
77073.0,17207.0,492985.0,Houston,Northeast
77074.0,16125.0,424910.0,Houston,Southwest
77075.0,17819.0,474020.0,Houston,Southeast
77076.0,13738.0,369030.0,Houston,Northeast
77077.0,29101.0,722625.0,Houston,Southwest
77078.0,5475.0,175120.0,Houston,Northeast
77079.0,15000.0,324730.0,Houston,Southwest
77080.0,23293.0,565240.0,Houston,Northwest
77081.0,21574.0,545590.0,Houston,Southwest
77082.0,26651.0,707675.0,Houston,Southwest
77083.0,33405.0,1022275.0,Houston,Southwest
77084.0,50382.0,1505955.0,Houston,Northwest
77085.0,7336.0,197535.0,Houston,Southwest
77086.0,11418.0,356850.0,Houston,Northwest
77087.0,15766.0,391355.0,Houston,Other Cities
77088.0,21390.0,606580.0,Houston,Northwest
77089.0,26570.0,714315.0,Houston,Southeast
77090.0,16218.0,439580.0,Houston,Northwest
77091.0,9484.0,242415.0,Houston,Northwest
77092.0,15783.0,408430.0,Houston,Northwest
77093.0,15454.0,423615.0,Houston,Other Cities
77094.0,3986.0,103720.0,Houston,Southwest
77095.0,35289.0,1156790.0,Houston,Northwest
77096.0,16772.0,377345.0,Houston,Southwest
77098.0,8742.0,161510.0,Houston,Inner Loop
77099.0,20392.0,536875.0,Houston,Southwest
77336.0,5458.0,178450.0,Huffman,Other Cities
77338.0,15671.0,380455.0,Humble,Other Cities
77339.0,19807.0,550020.0,Kingwood2,Other Cities
77345.0,12998.0,437820.0,Kingwood2,Other Cities
77346.0,26951.0,818675.0,Humble2,Other Cities
77373.0,27348.0,795130.0,Spring,Other Cities
77375.0,18272.0,531510.0,Tomball,Other Cities
77377.0,14171.0,439645.0,Tomball,Other Cities
77379.0,36510.0,1083495.0,Spring2,Other Cities
77388.0,20384.0,595370.0,Spring2,Other Cities
77389.0,10613.0,338305.0,Spring2,Other Cities
77396.0,19969.0,566445.0,Humble3,Other Cities
77401.0,9077.0,158900.0,Bellaire,Other Cities
77429.0,36262.0,1091125.0,Cypress2,Other Cities
77433.0,23902.0,781220.0,Cypress2,Other Cities
77447.0,5686.0,209700.0,Hockley,Other Cities
77449.0,42746.0,1371160.0,Katy,Other Cities
77450.0,33751.0,961815.0,Katy,Other Cities
