Zipcode,Median Household Income,Median Value,Cities,Houston Area Detail
77002.0,66776.0,220400.0,Houston,Inner Loop
77003.0,35258.0,112500.0,Houston,Inner Loop
77004.0,34079.0,209000.0,Houston,Inner Loop
77005.0,147026.0,689600.0,Houston,Inner Loop
77006.0,62821.0,329500.0,Houston,Inner Loop
77007.0,86462.0,292200.0,Houston,Inner Loop
77008.0,65306.0,274900.0,Houston,Inner Loop
77009.0,41699.0,147800.0,Houston,Inner Loop
77011.0,26786.0,78500.0,Houston,Inner Loop
77012.0,33834.0,80300.0,Houston,Inner Loop
77013.0,41091.0,90200.0,Houston,Northeast
77014.0,43729.0,130300.0,Houston,Northwest
77015.0,45572.0,94300.0,Houston,Northeast
77016.0,31725.0,66600.0,Houston,Northeast
77017.0,35924.0,86800.0,Houston,Southeast
77018.0,56342.0,194800.0,Houston,Northwest
77019.0,90000.0,373600.0,Houston,Inner Loop
77020.0,27700.0,71600.0,Houston,Inner Loop
77021.0,31114.0,80900.0,Houston,Inner Loop
77022.0,26305.0,85400.0,Houston,Northeast
77023.0,35673.0,103500.0,Houston,Inner Loop
77024.0,106052.0,600300.0,Houston,Southwest
77025.0,62895.0,304900.0,Houston,Inner Loop
77026.0,21434.0,59600.0,Houston,Inner Loop
77027.0,81076.0,467700.0,Houston,Inner Loop
77028.0,30807.0,60200.0,Houston,Northeast
77029.0,31037.0,73200.0,Houston,Southeast
77030.0,75968.0,448900.0,Houston,Inner Loop
77031.0,42966.0,121400.0,Houston,Southwest
77032.0,22447.0,79300.0,Houston,Northeast
77033.0,30561.0,65200.0,Houston,Southeast
77034.0,42997.0,103500.0,Houston,Southeast
77035.0,39059.0,142300.0,Houston,Southwest
77036.0,28450.0,116400.0,Houston,Southwest
77037.0,38013.0,94800.0,Houston,Northeast
77038.0,40581.0,91600.0,Houston,Northwest
77039.0,40889.0,91000.0,Houston,Northeast
77040.0,53666.0,125700.0,Houston,Northwest
77041.0,69246.0,135100.0,Houston,Northwest
77042.0,48438.0,199700.0,Houston,Southwest
77043.0,53615.0,147600.0,Houston,Northwest
77044.0,63892.0,127000.0,Houston,Northeast
77045.0,40512.0,89300.0,Houston,Southwest
77046.0,79185.0,306000.0,Houston,Inner Loop
77047.0,47306.0,101200.0,Houston,Southeast
77048.0,32500.0,83300.0,Houston,Southeast
77049.0,53695.0,100900.0,Houston,Northeast
77050.0,47083.0,76300.0,Houston,Northeast
77051.0,23147.0,53400.0,Houston,Southeast
77054.0,39561.0,121800.0,Houston,Inner Loop
77055.0,45090.0,200600.0,Houston,Northwest
77056.0,89197.0,546800.0,Houston,Southwest
77057.0,56080.0,229200.0,Houston,Southwest
77058.0,52114.0,153600.0,Houston,Southeast
77059.0,131456.0,239700.0,Houston,Southeast
77060.0,27911.0,92100.0,Houston,Northeast
77061.0,33904.0,117700.0,Houston,Southeast
77062.0,87288.0,155600.0,Houston,Southeast
77063.0,46074.0,191100.0,Houston,Southwest
77064.0,64453.0,135500.0,Houston,Northwest
77065.0,58284.0,144100.0,Houston,Northwest
77066.0,61204.0,121200.0,Houston,Northwest
77067.0,38093.0,101600.0,Houston,Other Cities
77068.0,72069.0,164900.0,Houston,Northwest
77069.0,67895.0,213200.0,Houston,Northwest
77070.0,69122.0,158500.0,Houston,Northwest
77071.0,44867.0,124300.0,Houston,Southwest
77072.0,36457.0,97700.0,Houston,Southwest
77073.0,50017.0,114800.0,Houston,Northeast
77074.0,34512.0,107400.0,Houston,Southwest
77075.0,48901.0,115100.0,Houston,Southeast
77076.0,32243.0,90400.0,Houston,Northeast
77077.0,60398.0,202800.0,Houston,Southwest
77078.0,33995.0,73800.0,Houston,Northeast
77079.0,92460.0,309500.0,Houston,Southwest
77080.0,36453.0,129300.0,Houston,Northwest
77081.0,28949.0,179800.0,Houston,Southwest
77082.0,49163.0,131300.0,Houston,Southwest
77083.0,57517.0,122400.0,Houston,Southwest
