Zipcode,Total Housing Unit,Median Value,Lower value quartile (dollars),Upper value quartile (dollars),Median monthly housing costs,Cities,Houston Area Detail
77055.0,16663.0,383000.0,171700.0,643400.0,981.0,Houston,Northwest
77072.0,19713.0,97500.0,76900.0,120700.0,897.0,Houston,Southwest
77011.0,6861.0,85700.0,70100.0,118700.0,625.0,Houston,Inner Loop
77012.0,7109.0,77400.0,62700.0,101700.0,701.0,Houston,Inner Loop
77013.0,6541.0,85500.0,70300.0,104800.0,807.0,Houston,Northeast
77449.0,35116.0,142600.0,113400.0,172800.0,1370.0,Katy,Other Cities
77450.0,26032.0,242000.0,169500.0,350300.0,1472.0,Katy,Other Cities
77505.0,9116.0,172600.0,130100.0,224300.0,1200.0,Pasadena,Other Cities
77536.0,11697.0,147000.0,111800.0,194100.0,1172.0,Deer Park,Other Cities
77587.0,4908.0,85200.0,62200.0,115600.0,731.0,South Houston,Other Cities
77086.0,8509.0,97300.0,81800.0,122400.0,953.0,Houston,Northwest
77493.0,9524.0,171200.0,128500.0,243000.0,1372.0,Katy2,Other Cities
77015.0,19073.0,95800.0,69700.0,127500.0,855.0,Houston,Northeast
77022.0,10707.0,85900.0,63700.0,116600.0,630.0,Houston,Northeast
77026.0,9707.0,62100.0,44000.0,84700.0,602.0,Houston,Inner Loop
77027.0,10763.0,679000.0,376500.0,1109200.0,1555.0,Houston,Inner Loop
77047.0,10291.0,122900.0,80100.0,162000.0,1123.0,Houston,Southeast
77005.0,10920.0,940800.0,605500.0,1329800.0,2476.0,Houston,Inner Loop
77007.0,20887.0,398200.0,319500.0,501400.0,1866.0,Houston,Inner Loop
77017.0,11260.0,90300.0,73200.0,118000.0,791.0,Houston,Southeast
77019.0,11883.0,510000.0,274600.0,1107400.0,1798.0,Houston,Inner Loop
77396.0,17683.0,130800.0,87600.0,206600.0,1204.0,Humble3,Other Cities
77447.0,4975.0,134900.0,83700.0,271200.0,1143.0,Hockley,Other Cities
77025.0,14263.0,405900.0,240800.0,631600.0,1334.0,Houston,Inner Loop
77038.0,8907.0,105300.0,78400.0,136800.0,941.0,Houston,Northwest
77039.0,8301.0,89200.0,66500.0,113500.0,803.0,Houston,Northeast
77040.0,18664.0,150200.0,105300.0,218700.0,995.0,Houston,Northwest
77057.0,22485.0,287000.0,163600.0,633600.0,1142.0,Houston,Southwest
77060.0,16330.0,95700.0,75100.0,119100.0,764.0,Houston,Northeast
77067.0,11280.0,99900.0,81900.0,124800.0,893.0,Houston,Other Cities
77068.0,4305.0,194000.0,157300.0,270600.0,1169.0,Houston,Northwest
