Zipcode,Total employed in civilian labor force,Aggregate travel time to work (in minutes),Cities,Houston Area Detail
77003.0,5792.0,127315.0,Houston,Inner Loop
77375.0,24456.0,690315.0,Tomball,Other Cities
77002.0,3486.0,69225.0,Houston,Inner Loop
77091.0,10722.0,326825.0,Houston,Northwest
77024.0,17039.0,329595.0,Houston,Southwest
77036.0,35913.0,955215.0,Houston,Southwest
77049.0,15680.0,438055.0,Houston,Northeast
77061.0,12206.0,354315.0,Houston,Southeast
77073.0,20084.0,560640.0,Houston,Northeast
77076.0,14507.0,420315.0,Houston,Northeast
77079.0,15259.0,377125.0,Houston,Southwest
77080.0,22586.0,549615.0,Houston,Northwest
77087.0,16226.0,423395.0,Houston,Other Cities
77092.0,19542.0,503115.0,Houston,Northwest
77095.0,37573.0,1216610.0,Houston,Northwest
77016.0,10624.0,311960.0,Houston,Northeast
77018.0,13805.0,353405.0,Houston,Northwest
77029.0,6830.0,174575.0,Houston,Southeast
77044.0,19423.0,588915.0,Houston,Northeast
77048.0,6943.0,201145.0,Houston,Southeast
77051.0,5602.0,142865.0,Houston,Southeast
77066.0,17051.0,500865.0,Houston,Northwest
77054.0,13392.0,274115.0,Houston,Inner Loop
77059.0,8259.0,204040.0,Houston,Southeast
77062.0,13062.0,325275.0,Houston,Southeast
77075.0,20621.0,583075.0,Houston,Southeast
77078.0,5739.0,169175.0,Houston,Northeast
77085.0,8903.0,250375.0,Houston,Southwest
77484.0,5159.0,160120.0,Waller,Other Cities
77506.0,14709.0,381310.0,Pasadena,Other Cities
77520.0,15411.0,364425.0,Baytown,Other Cities
77532.0,12602.0,400465.0,Crosby,Other Cities
77586.0,11927.0,310420.0,Seabrook,Other Cities
77598.0,14205.0,326300.0,Webster,Other Cities
77502.0,15298.0,370045.0,Pasadena,Other Cities
77547.0,4358.0,102070.0,Galena Park,Other Cities
77503.0,11074.0,267860.0,Pasadena,Other Cities
77521.0,24678.0,588030.0,Baytown,Other Cities
77530.0,13579.0,341025.0,Channelview,Other Cities
77571.0,18848.0,482785.0,La Porte,Other Cities
77336.0,5764.0,214575.0,Huffman,Other Cities
77094.0,4251.0,121845.0,Houston,Southwest
77096.0,18119.0,449545.0,Houston,Southwest
77379.0,37981.0,1200745.0,Spring2,Other Cities
77389.0,15343.0,485615.0,Spring2,Other Cities
77020.0,10286.0,286120.0,Houston,Inner Loop
77021.0,11444.0,270140.0,Houston,Inner Loop
77030.0,5708.0,108255.0,Houston,Inner Loop
77037.0,9287.0,286095.0,Houston,Northeast
77045.0,15716.0,459390.0,Houston,Southwest
77082.0,29674.0,890680.0,Houston,Southwest
77084.0,52623.0,1645330.0,Houston,Northwest
77346.0,30372.0,1004770.0,Humble2,Other Cities
77373.0,28938.0,873220.0,Spring,Other Cities
77035.0,19547.0,518180.0,Houston,Southwest
77041.0,17967.0,478770.0,Houston,Northwest
77050.0,2381.0,65170.0,Houston,Northeast
77063.0,20596.0,486080.0,Houston,Southwest
77071.0,13401.0,356745.0,Houston,Southwest
77074.0,18918.0,519380.0,Houston,Southwest
77088.0,23916.0,702100.0,Houston,Northwest
77090.0,18737.0,532290.0,Houston,Northwest
77098.0,9579.0,166900.0,Houston,Inner Loop
77083.0,38191.0,1193235.0,Houston,Southwest
77401.0,9420.0,207265.0,Bellaire,Other Cities
77433.0,35264.0,1269355.0,Cypress2,Other Cities
77504.0,10347.0,239830.0,Pasadena,Other Cities
77338.0,19472.0,542365.0,Humble,Other Cities
77339.0,20259.0,595770.0,Kingwood2,Other Cities
77429.0,42215.0,1310855.0,Cypress2,Other Cities
77562.0,4064.0,97580.0,Highlands,Other Cities
77004.0,18116.0,358865.0,Houston,Inner Loop
77008.0,22919.0,504260.0,Houston,Inner Loop
77006.0,16281.0,275610.0,Houston,Inner Loop
77009.0,19262.0,438765.0,Houston,Inner Loop
77014.0,17271.0,510880.0,Houston,Northwest
77031.0,9313.0,244765.0,Houston,Southwest
77034.0,18870.0,490030.0,Houston,Southeast
77055.0,21914.0,513560.0,Houston,Northwest
77072.0,29356.0,863590.0,Houston,Southwest
77011.0,7761.0,205085.0,Houston,Inner Loop
77012.0,9261.0,261120.0,Houston,Inner Loop
77013.0,8537.0,219490.0,Houston,Northeast
77449.0,59273.0,1876270.0,Katy,Other Cities
77450.0,36337.0,1118500.0,Katy,Other Cities
77505.0,12588.0,318125.0,Pasadena,Other Cities
77536.0,15485.0,348770.0,Deer Park,Other Cities
77587.0,6965.0,199325.0,South Houston,Other Cities
77086.0,12511.0,351430.0,Houston,Northwest
77493.0,15227.0,498665.0,Katy2,Other Cities
77015.0,24780.0,655610.0,Houston,Northeast
77022.0,11519.0,319320.0,Houston,Northeast
77026.0,8524.0,253545.0,Houston,Inner Loop
77027.0,10740.0,183410.0,Houston,Inner Loop
77047.0,13523.0,393725.0,Houston,Southeast
77005.0,13472.0,240400.0,Houston,Inner Loop
77007.0,26737.0,559590.0,Houston,Inner Loop
77017.0,14409.0,407530.0,Houston,Southeast
77019.0,13860.0,252380.0,Houston,Inner Loop
77396.0,26484.0,788650.0,Humble3,Other Cities
77447.0,6724.0,230895.0,Hockley,Other Cities
77025.0,15550.0,347555.0,Houston,Inner Loop
77038.0,13260.0,391415.0,Houston,Northwest
77039.0,11339.0,338240.0,Houston,Northeast
77040.0,25041.0,704425.0,Houston,Northwest
77057.0,23644.0,496550.0,Houston,Southwest
77060.0,18199.0,518785.0,Houston,Northeast
77067.0,15237.0,454830.0,Houston,Other Cities
77068.0,5916.0,171350.0,Houston,Northwest
77077.0,32328.0,850215.0,Houston,Southwest
77081.0,24564.0,676845.0,Houston,Southwest
77028.0,6110.0,153805.0,Houston,Northeast
77058.0,9432.0,221740.0,Houston,Southeast
77023.0,13382.0,310165.0,Houston,Inner Loop
77093.0,16517.0,462875.0,Houston,Other Cities
77032.0,5204.0,160940.0,Houston,Northeast
77056.0,12699.0,214830.0,Houston,Southwest
77065.0,19767.0,534650.0,Houston,Northwest
77069.0,9339.0,272205.0,Houston,Northwest
77070.0,26492.0,718235.0,Houston,Northwest
77345.0,13065.0,422510.0,Kingwood2,Other Cities
77377.0,16884.0,506850.0,Tomball,Other Cities
77042.0,23377.0,566925.0,Houston,Southwest
77388.0,23429.0,718840.0,Spring2,Other Cities
77043.0,13615.0,333530.0,Houston,Northwest
77089.0,26385.0,836775.0,Houston,Southeast
77033.0,10487.0,277545.0,Houston,Southeast
77064.0,25586.0,733785.0,Houston,Northwest
77099.0,24315.0,690620.0,Houston,Southwest
