Zipcode,Total Housing Unit,Median Value,Lower value quartile (dollars),Upper value quartile (dollars),Median monthly housing costs,Cities,Houston Area Detail
77586.0,9516.0,197200.0,149900.0,262300.0,1215.0,Seabrook,Other Cities
77587.0,4935.0,83500.0,61700.0,108700.0,717.0,South Houston,Other Cities
77598.0,11750.0,132000.0,108600.0,155700.0,993.0,Webster,Other Cities
77002.0,4040.0,229700.0,139800.0,298900.0,1378.0,Houston,Inner Loop
77003.0,5185.0,229700.0,115300.0,307600.0,1106.0,Houston,Inner Loop
77004.0,16601.0,225600.0,127600.0,348700.0,1060.0,Houston,Inner Loop
77005.0,10827.0,886100.0,564200.0,1228500.0,2454.0,Houston,Inner Loop
77006.0,13874.0,388400.0,238500.0,541200.0,1336.0,Houston,Inner Loop
77007.0,20050.0,376500.0,287800.0,480000.0,1788.0,Houston,Inner Loop
77008.0,16959.0,367800.0,276100.0,488100.0,1417.0,Houston,Inner Loop
77009.0,16485.0,227000.0,114400.0,370700.0,888.0,Houston,Inner Loop
77011.0,6863.0,84700.0,65500.0,111700.0,610.0,Houston,Inner Loop
77012.0,7257.0,77000.0,62300.0,99500.0,650.0,Houston,Inner Loop
77013.0,6481.0,83300.0,65300.0,97000.0,786.0,Houston,Northeast
77014.0,12391.0,128800.0,98000.0,157800.0,973.0,Houston,Northwest
77015.0,18984.0,91600.0,67200.0,121900.0,821.0,Houston,Northeast
77016.0,11026.0,62100.0,40800.0,82800.0,583.0,Houston,Northeast
77017.0,11200.0,87500.0,71200.0,112700.0,773.0,Houston,Southeast
77018.0,12123.0,301900.0,210800.0,426800.0,1062.0,Houston,Northwest
77019.0,11798.0,474800.0,269000.0,1125400.0,1669.0,Houston,Inner Loop
77020.0,9810.0,74500.0,56700.0,103200.0,608.0,Houston,Inner Loop
77021.0,12189.0,84800.0,58000.0,180100.0,784.0,Houston,Inner Loop
77022.0,10821.0,81600.0,60800.0,113100.0,616.0,Houston,Northeast
77023.0,10998.0,104500.0,86600.0,155300.0,721.0,Houston,Inner Loop
77024.0,16735.0,837800.0,398600.0,1494000.0,1965.0,Houston,Southwest
77025.0,14279.0,376100.0,227500.0,585800.0,1261.0,Houston,Inner Loop
77026.0,9898.0,61600.0,43000.0,87000.0,582.0,Houston,Inner Loop
77027.0,10685.0,629600.0,326300.0,1046200.0,1502.0,Houston,Inner Loop
77028.0,6599.0,56100.0,40800.0,78900.0,519.0,Houston,Northeast
77029.0,6594.0,69400.0,54400.0,86600.0,669.0,Houston,Southeast
77030.0,5797.0,481500.0,178200.0,747300.0,1475.0,Houston,Inner Loop
77031.0,6620.0,124000.0,98700.0,148900.0,827.0,Houston,Southwest
77032.0,4417.0,81000.0,53400.0,97400.0,840.0,Houston,Northeast
77033.0,10228.0,62100.0,45600.0,78900.0,639.0,Houston,Southeast
77034.0,13627.0,104800.0,85200.0,132100.0,921.0,Houston,Southeast
77035.0,15818.0,188500.0,114500.0,277100.0,790.0,Houston,Southwest
77036.0,30892.0,121400.0,80900.0,161800.0,719.0,Houston,Southwest
77037.0,5638.0,86500.0,40700.0,115300.0,721.0,Houston,Northeast
77038.0,8616.0,95700.0,69900.0,128200.0,939.0,Houston,Northwest
77039.0,8254.0,87100.0,66600.0,111000.0,784.0,Houston,Northeast
77040.0,18380.0,136500.0,101300.0,196000.0,991.0,Houston,Northwest
77041.0,12216.0,147800.0,100600.0,283600.0,1182.0,Houston,Northwest
77042.0,21483.0,231600.0,89400.0,392700.0,978.0,Houston,Southwest
77043.0,9940.0,171000.0,112600.0,265200.0,924.0,Houston,Northwest
77044.0,12900.0,168600.0,92200.0,263900.0,1356.0,Houston,Northeast
