Zipcode,Median Household Income,Median Value,Cities,Houston Area Detail
77002.0,62089.0,203200.0,Houston,Inner Loop
77003.0,39039.0,204800.0,Houston,Inner Loop
77004.0,47523.0,215800.0,Houston,Inner Loop
77005.0,166203.0,836600.0,Houston,Inner Loop
77006.0,71158.0,383500.0,Houston,Inner Loop
77007.0,107580.0,343100.0,Houston,Inner Loop
77008.0,82058.0,344000.0,Houston,Inner Loop
77009.0,43830.0,195600.0,Houston,Inner Loop
77011.0,26922.0,83700.0,Houston,Inner Loop
77012.0,34891.0,79100.0,Houston,Inner Loop
77013.0,38807.0,84900.0,Houston,Northeast
77014.0,41033.0,123700.0,Houston,Northwest
77015.0,43058.0,90000.0,Houston,Northeast
77016.0,30746.0,63300.0,Houston,Northeast
77017.0,39288.0,85700.0,Houston,Southeast
77018.0,69048.0,271600.0,Houston,Northwest
77019.0,101297.0,437200.0,Houston,Inner Loop
77020.0,27052.0,72800.0,Houston,Inner Loop
77021.0,32800.0,81500.0,Houston,Inner Loop
77022.0,30852.0,79000.0,Houston,Northeast
77023.0,36065.0,100300.0,Houston,Inner Loop
77024.0,114223.0,770200.0,Houston,Southwest
77025.0,66559.0,352700.0,Houston,Inner Loop
77026.0,22242.0,60500.0,Houston,Inner Loop
77027.0,89276.0,578800.0,Houston,Inner Loop
77028.0,29953.0,56400.0,Houston,Northeast
77029.0,28797.0,68900.0,Houston,Southeast
77030.0,71883.0,460900.0,Houston,Inner Loop
77031.0,39787.0,116000.0,Houston,Southwest
77032.0,23498.0,81600.0,Houston,Northeast
77033.0,28845.0,61900.0,Houston,Southeast
77034.0,43814.0,99500.0,Houston,Southeast
77035.0,38889.0,174700.0,Houston,Southwest
77036.0,27204.0,116200.0,Houston,Southwest
77037.0,37521.0,86100.0,Houston,Northeast
77038.0,40603.0,89400.0,Houston,Northwest
77039.0,36604.0,84900.0,Houston,Northeast
77040.0,51998.0,129000.0,Houston,Northwest
77041.0,75185.0,140900.0,Houston,Northwest
77042.0,44520.0,218500.0,Houston,Southwest
77043.0,58655.0,155100.0,Houston,Northwest
77044.0,73716.0,157500.0,Houston,Northeast
77045.0,40488.0,81800.0,Houston,Southwest
77046.0,98047.0,361300.0,Houston,Inner Loop
77047.0,50180.0,109800.0,Houston,Southeast
77048.0,40407.0,73000.0,Houston,Southeast
77049.0,52287.0,111900.0,Houston,Northeast
77050.0,54500.0,70000.0,Houston,Northeast
77051.0,23832.0,67500.0,Houston,Southeast
77054.0,46019.0,125700.0,Houston,Inner Loop
77055.0,45332.0,305500.0,Houston,Northwest
77056.0,93143.0,629800.0,Houston,Southwest
77057.0,56792.0,241800.0,Houston,Southwest
77058.0,51868.0,166600.0,Houston,Southeast
77059.0,128406.0,257100.0,Houston,Southeast
77060.0,25968.0,87800.0,Houston,Northeast
77061.0,33828.0,109500.0,Houston,Southeast
77062.0,84051.0,165300.0,Houston,Southeast
77063.0,46285.0,182400.0,Houston,Southwest
77064.0,63594.0,131200.0,Houston,Northwest
77065.0,53769.0,141400.0,Houston,Northwest
77066.0,60816.0,116500.0,Houston,Northwest
77067.0,38720.0,94000.0,Houston,Other Cities
77068.0,71276.0,168500.0,Houston,Northwest
77069.0,67618.0,203300.0,Houston,Northwest
77070.0,69929.0,156100.0,Houston,Northwest
77071.0,46871.0,123400.0,Houston,Southwest
77072.0,37060.0,94600.0,Houston,Southwest
77073.0,53450.0,106000.0,Houston,Northeast
77074.0,34529.0,104700.0,Houston,Southwest
77075.0,46043.0,116600.0,Houston,Southeast
77076.0,31093.0,84200.0,Houston,Northeast
77077.0,63559.0,219800.0,Houston,Southwest
77078.0,31118.0,70800.0,Houston,Northeast
77079.0,100367.0,368100.0,Houston,Southwest
77080.0,40983.0,145200.0,Houston,Northwest
77081.0,27187.0,171700.0,Houston,Southwest
77082.0,49813.0,130200.0,Houston,Southwest
77083.0,52045.0,118200.0,Houston,Southwest
77084.0,63597.0,128700.0,Houston,Northwest
77085.0,56153.0,102300.0,Houston,Southwest
77086.0,41466.0,93200.0,Houston,Northwest
77087.0,32206.0,85000.0,Houston,Other Cities
77088.0,42299.0,93800.0,Houston,Northwest
77089.0,65251.0,123500.0,Houston,Southeast
77090.0,37910.0,143000.0,Houston,Northwest
77091.0,30038.0,99300.0,Houston,Northwest
77092.0,37085.0,132100.0,Houston,Northwest
77093.0,32317.0,75700.0,Houston,Other Cities
77094.0,170069.0,337100.0,Houston,Southwest
77095.0,88043.0,170600.0,Houston,Northwest
77096.0,60575.0,274000.0,Houston,Southwest
77098.0,80932.0,442900.0,Houston,Inner Loop
77099.0,35209.0,97200.0,Houston,Southwest
77336.0,70497.0,159400.0,Huffman,Other Cities
77338.0,47587.0,106500.0,Humble,Other Cities
77339.0,71312.0,154200.0,Kingwood2,Other Cities
77345.0,122905.0,242600.0,Kingwood2,Other Cities
77346.0,90116.0,163200.0,Humble2,Other Cities
77373.0,66686.0,115300.0,Spring,Other Cities
77375.0,67633.0,151200.0,Tomball,Other Cities
77377.0,94432.0,220800.0,Tomball,Other Cities
77379.0,98335.0,202300.0,Spring2,Other Cities
77388.0,82725.0,155600.0,Spring2,Other Cities
77389.0,105438.0,232100.0,Spring2,Other Cities
77396.0,59027.0,117100.0,Humble3,Other Cities
77401.0,162703.0,708800.0,Bellaire,Other Cities
77429.0,100122.0,194900.0,Cypress2,Other Cities
77433.0,96371.0,194900.0,Cypress2,Other Cities
77447.0,70286.0,126300.0,Hockley,Other Cities
77449.0,68854.0,122700.0,Katy,Other Cities
77450.0,98640.0,214600.0,Katy,Other Cities
77484.0,61922.0,134900.0,Waller,Other Cities
77493.0,75087.0,157100.0,Katy2,Other Cities
77502.0,44964.0,91400.0,Pasadena,Other Cities
77503.0,45487.0,90800.0,Pasadena,Other Cities
77504.0,41972.0,125700.0,Pasadena,Other Cities
77505.0,73138.0,161200.0,Pasadena,Other Cities
77506.0,30912.0,69400.0,Pasadena,Other Cities
77520.0,43424.0,78500.0,Baytown,Other Cities
77521.0,58081.0,119000.0,Baytown,Other Cities
77530.0,49452.0,85700.0,Channelview,Other Cities
77532.0,63211.0,123200.0,Crosby,Other Cities
77536.0,78882.0,137300.0,Deer Park,Other Cities
77547.0,42191.0,64700.0,Galena Park,Other Cities
77562.0,60066.0,91700.0,Highlands,Other Cities
77571.0,70689.0,124400.0,La Porte,Other Cities
77586.0,88455.0,192700.0,Seabrook,Other Cities
77587.0,41211.0,82700.0,South Houston,Other Cities
77598.0,47623.0,123400.0,Webster,Other Cities
