Zipcode,Total Housing Unit,Median Value,Lower value quartile (dollars),Upper value quartile (dollars),Median monthly housing costs,Cities,Houston Area Detail
77002.0,3962.0,203200.0,123900.0,261800.0,1311.0,Houston,Inner Loop
77003.0,5117.0,204800.0,90400.0,282000.0,990.0,Houston,Inner Loop
77004.0,16680.0,215800.0,122500.0,308200.0,1018.0,Houston,Inner Loop
77005.0,10656.0,836600.0,555300.0,1145400.0,2471.0,Houston,Inner Loop
77006.0,13649.0,383500.0,232600.0,540500.0,1224.0,Houston,Inner Loop
77007.0,18909.0,343100.0,251300.0,454200.0,1647.0,Houston,Inner Loop
77008.0,16676.0,344000.0,247500.0,458800.0,1339.0,Houston,Inner Loop
77009.0,16290.0,195600.0,104000.0,332600.0,867.0,Houston,Inner Loop
77011.0,6826.0,83700.0,65200.0,111000.0,615.0,Houston,Inner Loop
77012.0,7201.0,79100.0,61600.0,101900.0,636.0,Houston,Inner Loop
77013.0,6254.0,84900.0,66200.0,99300.0,793.0,Houston,Northeast
77014.0,12373.0,123700.0,92200.0,147400.0,938.0,Houston,Northwest
77015.0,18850.0,90000.0,66500.0,118700.0,799.0,Houston,Northeast
77016.0,10836.0,63300.0,40900.0,82500.0,601.0,Houston,Northeast
77017.0,11102.0,85700.0,69600.0,111000.0,758.0,Houston,Southeast
77018.0,11856.0,271600.0,185500.0,387100.0,1028.0,Houston,Northwest
77019.0,11195.0,437200.0,257600.0,1027700.0,1632.0,Houston,Inner Loop
77020.0,9636.0,72800.0,54100.0,100900.0,617.0,Houston,Inner Loop
77021.0,12156.0,81500.0,56400.0,169000.0,784.0,Houston,Inner Loop
77022.0,10954.0,79000.0,57400.0,110000.0,607.0,Houston,Northeast
77023.0,10909.0,100300.0,85300.0,152900.0,706.0,Houston,Inner Loop
77024.0,16521.0,770200.0,378800.0,1255800.0,1934.0,Houston,Southwest
77025.0,14127.0,352700.0,217600.0,549100.0,1250.0,Houston,Inner Loop
77026.0,9790.0,60500.0,41100.0,87500.0,570.0,Houston,Inner Loop
77027.0,10708.0,578800.0,310100.0,929800.0,1472.0,Houston,Inner Loop
77028.0,6685.0,56400.0,40300.0,78500.0,522.0,Houston,Northeast
77029.0,6473.0,68900.0,52300.0,84400.0,641.0,Houston,Southeast
77030.0,5693.0,460900.0,174200.0,699500.0,1450.0,Houston,Inner Loop
77031.0,6539.0,116000.0,97000.0,141200.0,814.0,Houston,Southwest
77032.0,4408.0,81600.0,51800.0,96500.0,827.0,Houston,Northeast
77033.0,10103.0,61900.0,45500.0,77300.0,632.0,Houston,Southeast
77034.0,13539.0,99500.0,83000.0,126500.0,877.0,Houston,Southeast
77035.0,15589.0,174700.0,109900.0,248600.0,775.0,Houston,Southwest
77036.0,30486.0,116200.0,81000.0,147100.0,699.0,Houston,Southwest
77037.0,5671.0,86100.0,46600.0,113100.0,744.0,Houston,Northeast
77038.0,8239.0,89400.0,69000.0,119500.0,948.0,Houston,Northwest
77039.0,8310.0,84900.0,66000.0,106600.0,761.0,Houston,Northeast
77040.0,18271.0,129000.0,98300.0,187200.0,978.0,Houston,Northwest
77041.0,12170.0,140900.0,97200.0,268100.0,1175.0,Houston,Northwest
77042.0,21334.0,218500.0,85000.0,366400.0,941.0,Houston,Southwest
77043.0,9707.0,155100.0,107800.0,215600.0,880.0,Houston,Northwest
77044.0,12178.0,157500.0,87900.0,244300.0,1343.0,Houston,Northeast
77045.0,10372.0,81800.0,64900.0,98500.0,882.0,Houston,Southwest
77046.0,777.0,361300.0,287800.0,551700.0,1853.0,Houston,Inner Loop
77047.0,9515.0,109800.0,80600.0,143100.0,1096.0,Houston,Southeast
77048.0,6672.0,73000.0,57700.0,99800.0,728.0,Houston,Southeast
77049.0,10312.0,111900.0,77000.0,153000.0,1039.0,Houston,Northeast
77050.0,1623.0,70000.0,48400.0,89500.0,659.0,Houston,Northeast
77051.0,7108.0,67500.0,45900.0,102900.0,711.0,Houston,Southeast
77054.0,14539.0,125700.0,87900.0,211400.0,1010.0,Houston,Inner Loop
77055.0,16302.0,305500.0,137000.0,541800.0,897.0,Houston,Northwest
77056.0,12229.0,629800.0,308700.0,1004500.0,1603.0,Houston,Southwest
77057.0,22607.0,241800.0,148200.0,561400.0,1086.0,Houston,Southwest
