Zipcode,Total employed in civilian labor force,Aggregate travel time to work (in minutes),Cities,Houston Area Detail
77586.0,11589.0,306895.0,Seabrook,Other Cities
77587.0,7127.0,188745.0,South Houston,Other Cities
77598.0,13995.0,332770.0,Webster,Other Cities
77002.0,3433.0,60325.0,Houston,Inner Loop
77003.0,5584.0,128740.0,Houston,Inner Loop
77004.0,18092.0,347170.0,Houston,Inner Loop
77005.0,13091.0,226505.0,Houston,Inner Loop
77006.0,15693.0,273685.0,Houston,Inner Loop
77007.0,25450.0,530235.0,Houston,Inner Loop
77008.0,21682.0,473175.0,Houston,Inner Loop
77009.0,18773.0,434125.0,Houston,Inner Loop
77011.0,7595.0,191445.0,Houston,Inner Loop
77012.0,9561.0,260960.0,Houston,Inner Loop
77013.0,8748.0,214295.0,Houston,Northeast
77014.0,16132.0,474670.0,Houston,Northwest
77015.0,24232.0,625720.0,Houston,Northeast
77016.0,9867.0,292495.0,Houston,Northeast
77017.0,14250.0,393815.0,Houston,Southeast
77018.0,13911.0,342580.0,Houston,Northwest
77019.0,13668.0,240860.0,Houston,Inner Loop
77020.0,10478.0,286760.0,Houston,Inner Loop
77021.0,11485.0,268560.0,Houston,Inner Loop
77022.0,11697.0,319540.0,Houston,Northeast
77023.0,13161.0,308345.0,Houston,Inner Loop
77024.0,17046.0,333890.0,Houston,Southwest
77025.0,15282.0,346090.0,Houston,Inner Loop
77026.0,8538.0,258715.0,Houston,Inner Loop
77027.0,10332.0,176655.0,Houston,Inner Loop
77028.0,5635.0,149965.0,Houston,Northeast
77029.0,6981.0,174950.0,Houston,Southeast
77030.0,5831.0,115610.0,Houston,Inner Loop
77031.0,9306.0,239000.0,Houston,Southwest
77032.0,4384.0,134725.0,Houston,Northeast
77033.0,10127.0,276065.0,Houston,Southeast
77034.0,18413.0,497510.0,Houston,Southeast
77035.0,17713.0,467020.0,Houston,Southwest
77036.0,35864.0,958075.0,Houston,Southwest
77037.0,9142.0,271000.0,Houston,Northeast
77038.0,12711.0,379325.0,Houston,Northwest
77039.0,11776.0,346175.0,Houston,Northeast
77040.0,24786.0,699525.0,Houston,Northwest
77041.0,18108.0,461990.0,Houston,Northwest
77042.0,23021.0,568955.0,Houston,Southwest
77043.0,13607.0,345250.0,Houston,Northwest
77044.0,18147.0,529090.0,Houston,Northeast
77045.0,14278.0,428045.0,Houston,Southwest
77047.0,12611.0,364760.0,Houston,Southeast
77048.0,6740.0,194835.0,Houston,Southeast
77049.0,14609.0,404935.0,Houston,Northeast
77050.0,2110.0,62465.0,Houston,Northeast
77051.0,5194.0,135205.0,Houston,Southeast
77054.0,13595.0,262925.0,Houston,Inner Loop
77055.0,21977.0,505575.0,Houston,Northwest
77056.0,11630.0,197100.0,Houston,Southwest
77057.0,23309.0,492980.0,Houston,Southwest
77058.0,9722.0,223050.0,Houston,Southeast
77059.0,8532.0,211365.0,Houston,Southeast
77060.0,18056.0,500675.0,Houston,Northeast
77061.0,12207.0,360215.0,Houston,Southeast
77062.0,13486.0,332515.0,Houston,Southeast
77063.0,20422.0,478475.0,Houston,Southwest
77064.0,24764.0,693285.0,Houston,Northwest
77065.0,20037.0,529470.0,Houston,Northwest
77066.0,15979.0,460475.0,Houston,Northwest
77067.0,14737.0,427110.0,Houston,Other Cities
77068.0,6073.0,179560.0,Houston,Northwest
77069.0,9280.0,275735.0,Houston,Northwest
77070.0,26661.0,731270.0,Houston,Northwest
77071.0,13216.0,346945.0,Houston,Southwest
77072.0,28669.0,843345.0,Houston,Southwest
77073.0,19863.0,569100.0,Houston,Northeast
77074.0,18220.0,501925.0,Houston,Southwest
77075.0,19833.0,571680.0,Houston,Southeast
77076.0,14532.0,416235.0,Houston,Northeast
77077.0,31790.0,829260.0,Houston,Southwest
77078.0,5837.0,172275.0,Houston,Northeast
77079.0,15342.0,368815.0,Houston,Southwest
77080.0,23102.0,546355.0,Houston,Northwest
77081.0,23575.0,619225.0,Houston,Southwest
77082.0,28863.0,812990.0,Houston,Southwest
77083.0,36118.0,1114940.0,Houston,Southwest
77084.0,52857.0,1604535.0,Houston,Northwest
77085.0,8345.0,235145.0,Houston,Southwest
77086.0,11841.0,352900.0,Houston,Northwest
77087.0,16126.0,421425.0,Houston,Other Cities
77088.0,23039.0,676940.0,Houston,Northwest
77089.0,26461.0,825560.0,Houston,Southeast
77090.0,19146.0,541220.0,Houston,Northwest
77091.0,9893.0,298770.0,Houston,Northwest
77092.0,19223.0,476350.0,Houston,Northwest
77093.0,16238.0,454230.0,Houston,Other Cities
77094.0,4364.0,120560.0,Houston,Southwest
77095.0,36831.0,1194570.0,Houston,Northwest
77096.0,19016.0,465210.0,Houston,Southwest
77098.0,9296.0,159510.0,Houston,Inner Loop
77099.0,23352.0,643300.0,Houston,Southwest
77336.0,5675.0,204885.0,Huffman,Other Cities
77338.0,17794.0,487185.0,Humble,Other Cities
77339.0,20630.0,607320.0,Kingwood2,Other Cities
77345.0,13759.0,458945.0,Kingwood2,Other Cities
77346.0,29814.0,947175.0,Humble2,Other Cities
77373.0,28958.0,869490.0,Spring,Other Cities
77375.0,21550.0,627710.0,Tomball,Other Cities
77377.0,15843.0,492925.0,Tomball,Other Cities
77379.0,38735.0,1239410.0,Spring2,Other Cities
77388.0,22618.0,692940.0,Spring2,Other Cities
77389.0,14260.0,472685.0,Spring2,Other Cities
77396.0,24320.0,740225.0,Humble3,Other Cities
77401.0,8925.0,186755.0,Bellaire,Other Cities
77429.0,40644.0,1284675.0,Cypress2,Other Cities
77433.0,32113.0,1121405.0,Cypress2,Other Cities
77447.0,6908.0,261620.0,Hockley,Other Cities
77449.0,55736.0,1770860.0,Katy,Other Cities
77450.0,35673.0,1100610.0,Katy,Other Cities
77484.0,5013.0,165645.0,Waller,Other Cities
77493.0,14099.0,464175.0,Katy2,Other Cities
77502.0,15549.0,370715.0,Pasadena,Other Cities
77503.0,10514.0,259175.0,Pasadena,Other Cities
77504.0,10510.0,252825.0,Pasadena,Other Cities
77505.0,12469.0,305885.0,Pasadena,Other Cities
77506.0,14313.0,370855.0,Pasadena,Other Cities
77520.0,15452.0,353100.0,Baytown,Other Cities
77521.0,24368.0,565805.0,Baytown,Other Cities
77530.0,13262.0,325250.0,Channelview,Other Cities
77532.0,12739.0,388265.0,Crosby,Other Cities
77536.0,15530.0,334510.0,Deer Park,Other Cities
77547.0,4303.0,106225.0,Galena Park,Other Cities
77562.0,4143.0,96550.0,Highlands,Other Cities
77571.0,18984.0,481355.0,La Porte,Other Cities
