Zipcode,Median Household Income,Median Value,Cities,Houston Area Detail
77003.0,59575.0,272800.0,Houston,Inner Loop
77375.0,69446.0,168300.0,Tomball,Other Cities
77002.0,72306.0,233000.0,Houston,Inner Loop
77091.0,32500.0,110900.0,Houston,Northwest
77024.0,118561.0,898100.0,Houston,Southwest
77036.0,29744.0,129600.0,Houston,Southwest
77046.0,90036.0,348200.0,Houston,Inner Loop
77049.0,56760.0,126400.0,Houston,Northeast
77061.0,39180.0,116900.0,Houston,Southeast
77073.0,54079.0,119100.0,Houston,Northeast
77076.0,34842.0,88800.0,Houston,Northeast
77079.0,98774.0,444100.0,Houston,Southwest
77080.0,44386.0,171000.0,Houston,Northwest
77087.0,35302.0,89000.0,Houston,Other Cities
77092.0,39921.0,147100.0,Houston,Northwest
77095.0,92175.0,193100.0,Houston,Northwest
77016.0,32302.0,60600.0,Houston,Northeast
77018.0,81565.0,342200.0,Houston,Northwest
77029.0,32200.0,68500.0,Houston,Southeast
77044.0,76387.0,173400.0,Houston,Northeast
77048.0,41220.0,71900.0,Houston,Southeast
77051.0,27244.0,73800.0,Houston,Southeast
77066.0,61430.0,125900.0,Houston,Northwest
77054.0,48681.0,138800.0,Houston,Inner Loop
77059.0,126385.0,277700.0,Houston,Southeast
77062.0,88433.0,178900.0,Houston,Southeast
77075.0,50653.0,125900.0,Houston,Southeast
77078.0,35770.0,74500.0,Houston,Northeast
77085.0,55950.0,106300.0,Houston,Southwest
77484.0,66000.0,176200.0,Waller,Other Cities
77506.0,34838.0,73300.0,Pasadena,Other Cities
77520.0,46311.0,80200.0,Baytown,Other Cities
77532.0,62606.0,135300.0,Crosby,Other Cities
77586.0,90612.0,212500.0,Seabrook,Other Cities
77598.0,52167.0,138600.0,Webster,Other Cities
77502.0,46105.0,92500.0,Pasadena,Other Cities
77547.0,41037.0,67400.0,Galena Park,Other Cities
77503.0,45778.0,92900.0,Pasadena,Other Cities
77521.0,62513.0,135500.0,Baytown,Other Cities
