Zipcode,Total employed in civilian labor force,Aggregate travel time to work (in minutes),Cities,Houston Area Detail
77002.0,2925.0,49880.0,Houston,Inner Loop
77003.0,4696.0,107905.0,Houston,Inner Loop
77004.0,13483.0,262290.0,Houston,Inner Loop
77005.0,12797.0,198805.0,Houston,Inner Loop
77006.0,14673.0,256710.0,Houston,Inner Loop
77007.0,19156.0,360700.0,Houston,Inner Loop
77008.0,18637.0,372085.0,Houston,Inner Loop
77009.0,18318.0,413505.0,Houston,Inner Loop
77011.0,7553.0,193755.0,Houston,Inner Loop
77012.0,9485.0,293400.0,Houston,Inner Loop
77013.0,7690.0,179845.0,Houston,Northeast
77014.0,13725.0,378965.0,Houston,Northwest
77015.0,22996.0,558345.0,Houston,Northeast
77016.0,10355.0,296680.0,Houston,Northeast
77017.0,13852.0,356335.0,Houston,Southeast
77018.0,14585.0,326450.0,Houston,Northwest
77019.0,12657.0,221325.0,Houston,Inner Loop
77020.0,9684.0,254420.0,Houston,Inner Loop
77021.0,10029.0,230725.0,Houston,Inner Loop
77022.0,11398.0,296635.0,Houston,Northeast
77023.0,14348.0,338925.0,Houston,Inner Loop
77024.0,16129.0,308730.0,Houston,Southwest
77025.0,13929.0,276415.0,Houston,Inner Loop
77026.0,8088.0,237805.0,Houston,Inner Loop
77027.0,9745.0,171815.0,Houston,Inner Loop
77028.0,6218.0,179160.0,Houston,Northeast
77029.0,6666.0,167575.0,Houston,Southeast
77030.0,6615.0,120055.0,Houston,Inner Loop
77031.0,8135.0,199225.0,Houston,Southwest
77032.0,3789.0,110165.0,Houston,Northeast
77033.0,10071.0,280655.0,Houston,Southeast
77034.0,15261.0,383385.0,Houston,Southeast
77035.0,17140.0,424050.0,Houston,Southwest
77036.0,30046.0,738705.0,Houston,Southwest
77037.0,8216.0,226505.0,Houston,Northeast
77038.0,11230.0,309945.0,Houston,Northwest
77039.0,10538.0,280260.0,Houston,Northeast
77040.0,22602.0,569400.0,Houston,Northwest
77041.0,17550.0,480975.0,Houston,Northwest
77042.0,20223.0,480150.0,Houston,Southwest
77043.0,10798.0,253750.0,Houston,Northwest
77044.0,12998.0,372170.0,Houston,Northeast
77045.0,12918.0,341405.0,Houston,Southwest
77047.0,9988.0,272310.0,Houston,Southeast
