Zipcode,Median Household Income,Median Value,Cities,Houston Area Detail
77562.0,57394.0,95900.0,Highlands,Other Cities
77571.0,68102.0,122200.0,La Porte,Other Cities
77586.0,86786.0,190100.0,Seabrook,Other Cities
77587.0,36083.0,77900.0,South Houston,Other Cities
77598.0,46682.0,117100.0,Webster,Other Cities
77002.0,64093.0,208600.0,Houston,Inner Loop
77003.0,36412.0,162600.0,Houston,Inner Loop
77004.0,41983.0,191700.0,Houston,Inner Loop
77005.0,159732.0,754000.0,Houston,Inner Loop
77006.0,67458.0,327300.0,Houston,Inner Loop
77007.0,98725.0,308700.0,Houston,Inner Loop
77008.0,70293.0,292200.0,Houston,Inner Loop
77009.0,44651.0,163000.0,Houston,Inner Loop
77011.0,26838.0,80300.0,Houston,Inner Loop
77012.0,34975.0,82600.0,Houston,Inner Loop
77013.0,36829.0,84900.0,Houston,Northeast
77014.0,40659.0,119300.0,Houston,Northwest
77015.0,44167.0,92200.0,Houston,Northeast
77016.0,31327.0,63700.0,Houston,Northeast
77017.0,35586.0,86400.0,Houston,Southeast
77018.0,61980.0,218400.0,Houston,Northwest
77019.0,87394.0,378700.0,Houston,Inner Loop
77020.0,29401.0,70500.0,Houston,Inner Loop
77021.0,31103.0,83900.0,Houston,Inner Loop
77022.0,28810.0,81700.0,Houston,Northeast
77023.0,36033.0,102700.0,Houston,Inner Loop
77024.0,111139.0,658600.0,Houston,Southwest
77025.0,65828.0,331200.0,Houston,Inner Loop
77026.0,20024.0,59600.0,Houston,Inner Loop
77027.0,81661.0,475900.0,Houston,Inner Loop
77028.0,29389.0,59100.0,Houston,Northeast
77029.0,31715.0,69500.0,Houston,Southeast
77030.0,68980.0,501100.0,Houston,Inner Loop
77031.0,39278.0,114900.0,Houston,Southwest
77032.0,23389.0,72900.0,Houston,Northeast
77033.0,27272.0,65600.0,Houston,Southeast
77034.0,43905.0,99700.0,Houston,Southeast
77035.0,36345.0,156300.0,Houston,Southwest
77036.0,28266.0,113900.0,Houston,Southwest
77037.0,35518.0,84200.0,Houston,Northeast
77038.0,38160.0,86300.0,Houston,Northwest
77039.0,38167.0,85000.0,Houston,Northeast
77040.0,53194.0,121700.0,Houston,Northwest
77041.0,70608.0,137200.0,Houston,Northwest
77042.0,46159.0,211900.0,Houston,Southwest
77043.0,54359.0,140800.0,Houston,Northwest
77044.0,72761.0,140000.0,Houston,Northeast
77045.0,36952.0,85500.0,Houston,Southwest
77046.0,85493.0,295000.0,Houston,Inner Loop
77047.0,49246.0,103400.0,Houston,Southeast
77048.0,36818.0,81200.0,Houston,Southeast
77049.0,50348.0,104000.0,Houston,Northeast
77050.0,44327.0,73100.0,Houston,Northeast
77051.0,22920.0,58800.0,Houston,Southeast
77054.0,41694.0,119300.0,Houston,Inner Loop
77055.0,46987.0,230300.0,Houston,Northwest
77056.0,93069.0,555700.0,Houston,Southwest
77057.0,54594.0,224900.0,Houston,Southwest
77058.0,49589.0,158400.0,Houston,Southeast
77059.0,136355.0,243000.0,Houston,Southeast
77060.0,27750.0,90400.0,Houston,Northeast
77061.0,34566.0,113800.0,Houston,Southeast
77062.0,87960.0,160100.0,Houston,Southeast
77063.0,49873.0,176600.0,Houston,Southwest
77064.0,62610.0,133300.0,Houston,Northwest
