Zipcode,Total Housing Unit,Median Value,Lower value quartile (dollars),Upper value quartile (dollars),Median monthly housing costs,Cities,Houston Area Detail
77520.0,14451.0,76200.0,50400.0,108300.0,777.0,Baytown,Other Cities
77521.0,19965.0,118700.0,85800.0,160500.0,956.0,Baytown,Other Cities
77530.0,9808.0,85600.0,65100.0,104100.0,913.0,Channelview,Other Cities
77532.0,10070.0,123500.0,88200.0,167100.0,1047.0,Crosby,Other Cities
77536.0,11466.0,133900.0,105200.0,168400.0,1173.0,Deer Park,Other Cities
77547.0,2782.0,65900.0,53000.0,85900.0,727.0,Galena Park,Other Cities
77562.0,4101.0,98500.0,65300.0,149600.0,945.0,Highlands,Other Cities
77571.0,13386.0,123000.0,97800.0,158100.0,1094.0,La Porte,Other Cities
77586.0,9607.0,185500.0,145500.0,242000.0,1203.0,Seabrook,Other Cities
77587.0,5293.0,78200.0,59000.0,108800.0,737.0,South Houston,Other Cities
77598.0,11725.0,118000.0,103200.0,139600.0,952.0,Webster,Other Cities
77002.0,3730.0,204600.0,122200.0,273400.0,1304.0,Houston,Inner Loop
77003.0,5036.0,191700.0,87700.0,247400.0,981.0,Houston,Inner Loop
77004.0,17078.0,207800.0,113800.0,289500.0,1015.0,Houston,Inner Loop
77005.0,10467.0,799000.0,548400.0,1000001.0,2504.0,Houston,Inner Loop
77006.0,13468.0,341600.0,216600.0,482100.0,1185.0,Houston,Inner Loop
77007.0,18361.0,323900.0,236900.0,436900.0,1578.0,Houston,Inner Loop
77008.0,16687.0,312000.0,232500.0,415800.0,1247.0,Houston,Inner Loop
77009.0,16057.0,174300.0,99900.0,293000.0,854.0,Houston,Inner Loop
77011.0,6824.0,80600.0,64200.0,93000.0,583.0,Houston,Inner Loop
77012.0,7170.0,78400.0,61500.0,99400.0,642.0,Houston,Inner Loop
77013.0,6316.0,83500.0,62300.0,98900.0,790.0,Houston,Northeast
77014.0,11980.0,120800.0,89800.0,145900.0,925.0,Houston,Northwest
77015.0,18566.0,90100.0,68100.0,118700.0,798.0,Houston,Northeast
77016.0,10868.0,63200.0,43200.0,81000.0,571.0,Houston,Northeast
77017.0,11149.0,86500.0,70300.0,111100.0,755.0,Houston,Southeast
77018.0,11897.0,241200.0,164800.0,341600.0,1000.0,Houston,Northwest
77019.0,11050.0,386900.0,236300.0,961100.0,1541.0,Houston,Inner Loop
77020.0,9611.0,69600.0,53400.0,95500.0,603.0,Houston,Inner Loop
77021.0,12192.0,82700.0,57800.0,182700.0,796.0,Houston,Inner Loop
77022.0,10810.0,77500.0,56900.0,104800.0,628.0,Houston,Northeast
77023.0,10887.0,99100.0,83400.0,155000.0,704.0,Houston,Inner Loop
77024.0,16498.0,720200.0,362200.0,1000001.0,1839.0,Houston,Southwest
77025.0,13853.0,349700.0,221300.0,523300.0,1209.0,Houston,Inner Loop
77026.0,10077.0,59200.0,38000.0,86700.0,584.0,Houston,Inner Loop
77027.0,10629.0,505600.0,251300.0,859200.0,1395.0,Houston,Inner Loop
77028.0,6731.0,58500.0,43900.0,79600.0,523.0,Houston,Northeast
77029.0,6390.0,67800.0,51600.0,85500.0,663.0,Houston,Southeast
77030.0,5812.0,482700.0,215100.0,727400.0,1399.0,Houston,Inner Loop
77031.0,6496.0,116100.0,98500.0,140500.0,829.0,Houston,Southwest
77032.0,4352.0,73600.0,43600.0,92800.0,816.0,Houston,Northeast
77033.0,10067.0,64000.0,46800.0,78800.0,653.0,Houston,Southeast
77034.0,13286.0,98000.0,82000.0,121100.0,905.0,Houston,Southeast
77035.0,15757.0,161400.0,100800.0,233300.0,765.0,Houston,Southwest
77036.0,30430.0,112000.0,78200.0,139800.0,697.0,Houston,Southwest
77037.0,5549.0,84800.0,51100.0,110100.0,848.0,Houston,Northeast
77038.0,7963.0,85900.0,68300.0,113300.0,979.0,Houston,Northwest
77039.0,8192.0,83500.0,66900.0,101900.0,769.0,Houston,Northeast
77040.0,17916.0,128600.0,100200.0,182900.0,1009.0,Houston,Northwest
77041.0,11989.0,135800.0,97000.0,262000.0,1173.0,Houston,Northwest
77042.0,21077.0,225300.0,105000.0,353600.0,934.0,Houston,Southwest
77043.0,9626.0,153800.0,106800.0,201000.0,889.0,Houston,Northwest
77044.0,11515.0,140700.0,84100.0,231900.0,1335.0,Houston,Northeast
77045.0,10272.0,83700.0,66400.0,100000.0,914.0,Houston,Southwest
77046.0,818.0,310900.0,202900.0,480400.0,1761.0,Houston,Inner Loop
77047.0,8974.0,105700.0,80300.0,129300.0,1078.0,Houston,Southeast
77048.0,6891.0,78300.0,60800.0,99300.0,731.0,Houston,Southeast
77049.0,9948.0,103400.0,75100.0,145000.0,1057.0,Houston,Northeast
77050.0,1557.0,67500.0,35400.0,95600.0,674.0,Houston,Northeast
77051.0,6872.0,62400.0,42000.0,87800.0,681.0,Houston,Southeast
77054.0,14327.0,120900.0,83200.0,207600.0,972.0,Houston,Inner Loop
77055.0,16142.0,259700.0,121500.0,475800.0,883.0,Houston,Northwest
77056.0,11998.0,589300.0,309300.0,959200.0,1541.0,Houston,Southwest
77057.0,22742.0,238400.0,142900.0,561700.0,1087.0,Houston,Southwest
77058.0,9200.0,161700.0,116200.0,205100.0,951.0,Houston,Southeast
77059.0,6078.0,251600.0,183400.0,345800.0,1672.0,Houston,Southeast
77060.0,15918.0,86400.0,72200.0,106100.0,737.0,Houston,Northeast
77061.0,9769.0,112800.0,86300.0,140000.0,707.0,Houston,Southeast
77062.0,10177.0,162700.0,133800.0,197100.0,1278.0,Houston,Southeast
77063.0,19792.0,187000.0,98200.0,340900.0,956.0,Houston,Southwest
77064.0,16511.0,132200.0,97800.0,170900.0,1139.0,Houston,Northwest
77065.0,15487.0,140800.0,111500.0,181200.0,1078.0,Houston,Northwest
77066.0,10295.0,116500.0,89500.0,148800.0,1102.0,Houston,Northwest
77067.0,10792.0,94400.0,80700.0,115400.0,889.0,Houston,Other Cities
77068.0,4151.0,162700.0,129100.0,213600.0,1270.0,Houston,Northwest
77069.0,8499.0,198800.0,128900.0,305100.0,1115.0,Houston,Northwest
77070.0,20096.0,154100.0,118900.0,186600.0,1200.0,Houston,Northwest
77071.0,10565.0,120200.0,94700.0,160200.0,939.0,Houston,Southwest
77072.0,19755.0,94000.0,72500.0,115100.0,896.0,Houston,Southwest
77073.0,12858.0,106300.0,86700.0,126900.0,1156.0,Houston,Northeast
77074.0,14467.0,101800.0,80800.0,125800.0,768.0,Houston,Southwest
77075.0,13369.0,114300.0,89200.0,139600.0,992.0,Houston,Southeast
77076.0,10123.0,83900.0,65100.0,99300.0,780.0,Houston,Northeast
77077.0,27988.0,206800.0,155500.0,291600.0,1112.0,Houston,Southwest
77078.0,5244.0,67500.0,49600.0,83700.0,732.0,Houston,Northeast
77079.0,13309.0,337200.0,160100.0,480500.0,1277.0,Houston,Southwest
77080.0,16507.0,138700.0,102400.0,179500.0,837.0,Houston,Northwest
77081.0,19363.0,201800.0,114300.0,319600.0,727.0,Houston,Southwest
77082.0,23616.0,125200.0,98300.0,212100.0,1073.0,Houston,Southwest
77083.0,22166.0,116100.0,92600.0,146400.0,1147.0,Houston,Southwest
77084.0,34487.0,124700.0,100300.0,159000.0,1212.0,Houston,Northwest
77085.0,4954.0,102500.0,85100.0,119900.0,1060.0,Houston,Southwest
77086.0,8493.0,92300.0,79400.0,108500.0,955.0,Houston,Northwest
77087.0,11832.0,85500.0,69800.0,105600.0,705.0,Houston,Other Cities
77088.0,18307.0,92500.0,74100.0,114200.0,878.0,Houston,Northwest
77089.0,17293.0,121000.0,97800.0,155900.0,1108.0,Houston,Southeast
77090.0,16851.0,137800.0,99100.0,164600.0,922.0,Houston,Northwest
77091.0,10982.0,95800.0,66800.0,150500.0,711.0,Houston,Northwest
77092.0,15005.0,128800.0,88900.0,165200.0,755.0,Houston,Northwest
77093.0,13986.0,74300.0,53200.0,94400.0,622.0,Houston,Other Cities
77094.0,3233.0,308700.0,236900.0,485000.0,2047.0,Houston,Southwest
77095.0,24413.0,168400.0,138600.0,214200.0,1426.0,Houston,Northwest
77096.0,15815.0,264500.0,186200.0,352900.0,929.0,Houston,Southwest
77098.0,8890.0,428800.0,270400.0,623500.0,1474.0,Houston,Inner Loop
77099.0,17926.0,95500.0,82100.0,113300.0,877.0,Houston,Southwest
77336.0,4515.0,159000.0,93800.0,306900.0,1136.0,Huffman,Other Cities
77338.0,13385.0,102300.0,82500.0,132000.0,996.0,Humble,Other Cities
77339.0,16661.0,150300.0,124800.0,181000.0,1197.0,Kingwood2,Other Cities
77345.0,10334.0,243200.0,176500.0,329600.0,1671.0,Kingwood2,Other Cities
77346.0,19364.0,159100.0,129400.0,206100.0,1479.0,Humble2,Other Cities
77373.0,19799.0,112800.0,87100.0,151100.0,1230.0,Spring,Other Cities
77375.0,15415.0,145500.0,109600.0,179800.0,1197.0,Tomball,Other Cities
77377.0,10301.0,205800.0,147200.0,268900.0,1389.0,Tomball,Other Cities
77379.0,25620.0,193700.0,147700.0,277100.0,1555.0,Spring2,Other Cities
77388.0,14895.0,151600.0,118800.0,198100.0,1446.0,Spring2,Other Cities
77389.0,9094.0,202100.0,127200.0,353500.0,1707.0,Spring2,Other Cities
77396.0,15789.0,110300.0,77800.0,169600.0,1159.0,Humble3,Other Cities
77401.0,6942.0,645000.0,369700.0,891200.0,2159.0,Bellaire,Other Cities
77429.0,26298.0,186100.0,142300.0,275500.0,1508.0,Cypress2,Other Cities
77433.0,19071.0,184100.0,139000.0,282500.0,1594.0,Cypress2,Other Cities
77447.0,4200.0,122300.0,78600.0,239000.0,1076.0,Hockley,Other Cities
77449.0,30224.0,120100.0,97300.0,145800.0,1313.0,Katy,Other Cities
77450.0,25530.0,203300.0,145500.0,293800.0,1466.0,Katy,Other Cities
77484.0,4022.0,121900.0,70200.0,249500.0,782.0,Waller,Other Cities
77493.0,8191.0,153400.0,117300.0,191600.0,1307.0,Katy2,Other Cities
77502.0,11724.0,91500.0,72600.0,114100.0,853.0,Pasadena,Other Cities
77503.0,8626.0,88000.0,71200.0,105100.0,781.0,Pasadena,Other Cities
77504.0,10274.0,121000.0,76200.0,164400.0,825.0,Pasadena,Other Cities
77505.0,8993.0,162400.0,121400.0,199900.0,1193.0,Pasadena,Other Cities
77506.0,12133.0,71200.0,54300.0,85100.0,693.0,Pasadena,Other Cities
