Zipcode,Median Household Income,Median Value
77002,66776.0,220400.0
77003,35258.0,112500.0
77004,34079.0,209000.0
77005,147026.0,689600.0
77006,62821.0,329500.0
77007,86462.0,292200.0
77008,65306.0,274900.0
77009,41699.0,147800.0
77010,51154.0,-666666666.0
77011,26786.0,78500.0
77012,33834.0,80300.0
77013,41091.0,90200.0
77014,43729.0,130300.0
77015,45572.0,94300.0
77016,31725.0,66600.0
77017,35924.0,86800.0
77018,56342.0,194800.0
77019,90000.0,373600.0
77020,27700.0,71600.0
77021,31114.0,80900.0
77022,26305.0,85400.0
77023,35673.0,103500.0
77024,106052.0,600300.0
77025,62895.0,304900.0
77026,21434.0,59600.0
77027,81076.0,467700.0
77028,30807.0,60200.0
77029,31037.0,73200.0
77030,75968.0,448900.0
77031,42966.0,121400.0
77032,22447.0,79300.0
77033,30561.0,65200.0
77034,42997.0,103500.0
77035,39059.0,142300.0
77036,28450.0,116400.0
77037,38013.0,94800.0
77038,40581.0,91600.0
77039,40889.0,91000.0
77040,53666.0,125700.0
77041,69246.0,135100.0
77042,48438.0,199700.0
77043,53615.0,147600.0
77044,63892.0,127000.0
77045,40512.0,89300.0
77046,79185.0,306000.0
77047,47306.0,101200.0
77048,32500.0,83300.0
77049,53695.0,100900.0
77050,47083.0,76300.0
77051,23147.0,53400.0
77054,39561.0,121800.0
77055,45090.0,200600.0
77056,89197.0,546800.0
77057,56080.0,229200.0
77058,52114.0,153600.0
77059,131456.0,239700.0
77060,27911.0,92100.0
77061,33904.0,117700.0
77062,87288.0,155600.0
77063,46074.0,191100.0
77064,64453.0,135500.0
77065,58284.0,144100.0
77066,61204.0,121200.0
77067,38093.0,101600.0
77068,72069.0,164900.0
77069,67895.0,213200.0
77070,69122.0,158500.0
77071,44867.0,124300.0
77072,36457.0,97700.0
77073,50017.0,114800.0
77074,34512.0,107400.0
77075,48901.0,115100.0
77076,32243.0,90400.0
77077,60398.0,202800.0
77078,33995.0,73800.0
77079,92460.0,309500.0
77080,36453.0,129300.0
77081,28949.0,179800.0
77082,49163.0,131300.0
77083,57517.0,122400.0
77084,62025.0,128700.0
77085,51278.0,114100.0
77086,43892.0,98700.0
77087,39613.0,84600.0
77088,41104.0,96000.0
77089,62640.0,122500.0
77090,40151.0,141700.0
77091,28510.0,97300.0
77092,35647.0,126200.0
77093,32222.0,76300.0
77094,155256.0,284100.0
77095,92815.0,169900.0
77096,66460.0,247700.0
77098,76556.0,412300.0
77099,36306.0,101900.0
77201,-666666666.0,-666666666.0
77336,65212.0,134700.0
77338,47968.0,106600.0
77339,75176.0,148300.0
77345,123616.0,235000.0
77346,86581.0,157800.0
77373,67742.0,114600.0
77375,59324.0,146400.0
77377,94083.0,193100.0
77379,101715.0,193200.0
77388,84421.0,153800.0
77389,87675.0,165300.0
77396,58739.0,109400.0
77401,136000.0,538700.0
77429,98100.0,190400.0
77433,92150.0,172500.0
77447,62451.0,125000.0
77449,63836.0,122300.0
77450,99304.0,187500.0
77484,60544.0,147500.0
77493,77044.0,146500.0
77502,41763.0,94000.0
77503,43909.0,93900.0
77504,41691.0,119000.0
77505,73011.0,156200.0
77506,33394.0,76100.0
77507,-666666666.0,-666666666.0
77520,42906.0,79600.0
77521,55881.0,121000.0
77530,47579.0,87500.0
77532,63005.0,118600.0
77536,77228.0,130600.0
77547,35912.0,71600.0
77562,52139.0,91500.0
77571,69004.0,119700.0
77586,85746.0,192100.0
77587,37147.0,87400.0
77598,45773.0,118200.0
