Zipcode,Total employed in civilian labor force,Aggregate travel time to work (in minutes)
77003,5792.0,127315.0
77375,24456.0,690315.0
77002,3486.0,69225.0
77091,10722.0,326825.0
77024,17039.0,329595.0
77036,35913.0,955215.0
77046,693.0,
77049,15680.0,438055.0
77061,12206.0,354315.0
77073,20084.0,560640.0
77076,14507.0,420315.0
77079,15259.0,377125.0
77080,22586.0,549615.0
77087,16226.0,423395.0
77092,19542.0,503115.0
77095,37573.0,1216610.0
77016,10624.0,311960.0
77018,13805.0,353405.0
77029,6830.0,174575.0
77044,19423.0,588915.0
77048,6943.0,201145.0
77051,5602.0,142865.0
77066,17051.0,500865.0
77054,13392.0,274115.0
77059,8259.0,204040.0
77062,13062.0,325275.0
77075,20621.0,583075.0
77078,5739.0,169175.0
77085,8903.0,250375.0
77484,5159.0,160120.0
77506,14709.0,381310.0
77520,15411.0,364425.0
77532,12602.0,400465.0
77586,11927.0,310420.0
77598,14205.0,326300.0
77502,15298.0,370045.0
77547,4358.0,102070.0
77503,11074.0,267860.0
77521,24678.0,588030.0
77530,13579.0,341025.0
77571,18848.0,482785.0
77336,5764.0,214575.0
77094,4251.0,121845.0
77096,18119.0,449545.0
77379,37981.0,1200745.0
77389,15343.0,485615.0
77010,661.0,
77020,10286.0,286120.0
77021,11444.0,270140.0
77030,5708.0,108255.0
77037,9287.0,286095.0
77045,15716.0,459390.0
77082,29674.0,890680.0
77084,52623.0,1645330.0
77346,30372.0,1004770.0
77373,28938.0,873220.0
77035,19547.0,518180.0
77041,17967.0,478770.0
77050,2381.0,65170.0
77063,20596.0,486080.0
77071,13401.0,356745.0
77074,18918.0,519380.0
77088,23916.0,702100.0
77090,18737.0,532290.0
77098,9579.0,166900.0
77083,38191.0,1193235.0
77401,9420.0,207265.0
77433,35264.0,1269355.0
77504,10347.0,239830.0
77338,19472.0,542365.0
77339,20259.0,595770.0
77429,42215.0,1310855.0
77507,0.0,-666666666.0
77562,4064.0,97580.0
77004,18116.0,358865.0
77008,22919.0,504260.0
77006,16281.0,275610.0
77009,19262.0,438765.0
77014,17271.0,510880.0
77031,9313.0,244765.0
77034,18870.0,490030.0
77055,21914.0,513560.0
77072,29356.0,863590.0
77011,7761.0,205085.0
77012,9261.0,261120.0
77013,8537.0,219490.0
77449,59273.0,1876270.0
77450,36337.0,1118500.0
77505,12588.0,318125.0
77536,15485.0,348770.0
77587,6965.0,199325.0
77086,12511.0,351430.0
77493,15227.0,498665.0
77015,24780.0,655610.0
77022,11519.0,319320.0
77026,8524.0,253545.0
77027,10740.0,183410.0
77047,13523.0,393725.0
77005,13472.0,240400.0
77007,26737.0,559590.0
77017,14409.0,407530.0
77019,13860.0,252380.0
77396,26484.0,788650.0
77447,6724.0,230895.0
77025,15550.0,347555.0
77038,13260.0,391415.0
77039,11339.0,338240.0
77040,25041.0,704425.0
77057,23644.0,496550.0
77060,18199.0,518785.0
77067,15237.0,454830.0
77068,5916.0,171350.0
77077,32328.0,850215.0
77081,24564.0,676845.0
77028,6110.0,153805.0
77058,9432.0,221740.0
77023,13382.0,310165.0
77093,16517.0,462875.0
77032,5204.0,160940.0
77056,12699.0,214830.0
77065,19767.0,534650.0
77069,9339.0,272205.0
77070,26492.0,718235.0
77345,13065.0,422510.0
77377,16884.0,506850.0
77042,23377.0,566925.0
77388,23429.0,718840.0
77043,13615.0,333530.0
77089,26385.0,836775.0
77033,10487.0,277545.0
77064,25586.0,733785.0
77099,24315.0,690620.0
77201,0.0,-666666666.0
