Zipcode,Total Housing Unit,Median Value,Lower value quartile (dollars),Upper value quartile (dollars),Median monthly housing costs
77520,14451.0,76200.0,50400.0,108300.0,777.0
77521,19965.0,118700.0,85800.0,160500.0,956.0
77530,9808.0,85600.0,65100.0,104100.0,913.0
77532,10070.0,123500.0,88200.0,167100.0,1047.0
77536,11466.0,133900.0,105200.0,168400.0,1173.0
77547,2782.0,65900.0,53000.0,85900.0,727.0
77562,4101.0,98500.0,65300.0,149600.0,945.0
77571,13386.0,123000.0,97800.0,158100.0,1094.0
77586,9607.0,185500.0,145500.0,242000.0,1203.0
77587,5293.0,78200.0,59000.0,108800.0,737.0
77598,11725.0,118000.0,103200.0,139600.0,952.0
77002,3730.0,204600.0,122200.0,273400.0,1304.0
77003,5036.0,191700.0,87700.0,247400.0,981.0
77004,17078.0,207800.0,113800.0,289500.0,1015.0
77005,10467.0,799000.0,548400.0,1000001.0,2504.0
77006,13468.0,341600.0,216600.0,482100.0,1185.0
77007,18361.0,323900.0,236900.0,436900.0,1578.0
77008,16687.0,312000.0,232500.0,415800.0,1247.0
77009,16057.0,174300.0,99900.0,293000.0,854.0
77010,637.0,-666666666.0,-666666666.0,-666666666.0,2881.0
77011,6824.0,80600.0,64200.0,93000.0,583.0
77012,7170.0,78400.0,61500.0,99400.0,642.0
77013,6316.0,83500.0,62300.0,98900.0,790.0
77014,11980.0,120800.0,89800.0,145900.0,925.0
77015,18566.0,90100.0,68100.0,118700.0,798.0
77016,10868.0,63200.0,43200.0,81000.0,571.0
77017,11149.0,86500.0,70300.0,111100.0,755.0
77018,11897.0,241200.0,164800.0,341600.0,1000.0
77019,11050.0,386900.0,236300.0,961100.0,1541.0
77020,9611.0,69600.0,53400.0,95500.0,603.0
77021,12192.0,82700.0,57800.0,182700.0,796.0
77022,10810.0,77500.0,56900.0,104800.0,628.0
77023,10887.0,99100.0,83400.0,155000.0,704.0
77024,16498.0,720200.0,362200.0,1000001.0,1839.0
77025,13853.0,349700.0,221300.0,523300.0,1209.0
77026,10077.0,59200.0,38000.0,86700.0,584.0
