Zipcode,Total Housing Unit,Median Value,Lower value quartile (dollars),Upper value quartile (dollars),Median monthly housing costs
77002,3962.0,203200.0,123900.0,261800.0,1311.0
77003,5117.0,204800.0,90400.0,282000.0,990.0
77004,16680.0,215800.0,122500.0,308200.0,1018.0
77005,10656.0,836600.0,555300.0,1145400.0,2471.0
77006,13649.0,383500.0,232600.0,540500.0,1224.0
77007,18909.0,343100.0,251300.0,454200.0,1647.0
77008,16676.0,344000.0,247500.0,458800.0,1339.0
77009,16290.0,195600.0,104000.0,332600.0,867.0
77010,732.0,,,861100.0,2975.0
77011,6826.0,83700.0,65200.0,111000.0,615.0
77012,7201.0,79100.0,61600.0,101900.0,636.0
77013,6254.0,84900.0,66200.0,99300.0,793.0
77014,12373.0,123700.0,92200.0,147400.0,938.0
77015,18850.0,90000.0,66500.0,118700.0,799.0
77016,10836.0,63300.0,40900.0,82500.0,601.0
77017,11102.0,85700.0,69600.0,111000.0,758.0
77018,11856.0,271600.0,185500.0,387100.0,1028.0
77019,11195.0,437200.0,257600.0,1027700.0,1632.0
77020,9636.0,72800.0,54100.0,100900.0,617.0
77021,12156.0,81500.0,56400.0,169000.0,784.0
77022,10954.0,79000.0,57400.0,110000.0,607.0
77023,10909.0,100300.0,85300.0,152900.0,706.0
77024,16521.0,770200.0,378800.0,1255800.0,1934.0
77025,14127.0,352700.0,217600.0,549100.0,1250.0
77026,9790.0,60500.0,41100.0,87500.0,570.0
77027,10708.0,578800.0,310100.0,929800.0,1472.0
77028,6685.0,56400.0,40300.0,78500.0,522.0
77029,6473.0,68900.0,52300.0,84400.0,641.0
77030,5693.0,460900.0,174200.0,699500.0,1450.0
77031,6539.0,116000.0,97000.0,141200.0,814.0
77032,4408.0,81600.0,51800.0,96500.0,827.0
77033,10103.0,61900.0,45500.0,77300.0,632.0
77034,13539.0,99500.0,83000.0,126500.0,877.0
77035,15589.0,174700.0,109900.0,248600.0,775.0
77036,30486.0,116200.0,81000.0,147100.0,699.0
77037,5671.0,86100.0,46600.0,113100.0,744.0
77038,8239.0,89400.0,69000.0,119500.0,948.0
77039,8310.0,84900.0,66000.0,106600.0,761.0
77040,18271.0,129000.0,98300.0,187200.0,978.0
77041,12170.0,140900.0,97200.0,268100.0,1175.0
77042,21334.0,218500.0,85000.0,366400.0,941.0
77043,9707.0,155100.0,107800.0,215600.0,880.0
77044,12178.0,157500.0,87900.0,244300.0,1343.0
77045,10372.0,81800.0,64900.0,98500.0,882.0
77046,777.0,361300.0,287800.0,551700.0,1853.0
77047,9515.0,109800.0,80600.0,143100.0,1096.0
77048,6672.0,73000.0,57700.0,99800.0,728.0
77049,10312.0,111900.0,77000.0,153000.0,1039.0
77050,1623.0,70000.0,48400.0,89500.0,659.0
77051,7108.0,67500.0,45900.0,102900.0,711.0
77054,14539.0,125700.0,87900.0,211400.0,1010.0
77055,16302.0,305500.0,137000.0,541800.0,897.0
77056,12229.0,629800.0,308700.0,1004500.0,1603.0
77057,22607.0,241800.0,148200.0,561400.0,1086.0
77058,9179.0,166600.0,116600.0,217600.0,967.0
77059,6047.0,257100.0,183800.0,355400.0,1627.0
77060,16070.0,87800.0,73000.0,109400.0,725.0
77061,9820.0,109500.0,84900.0,136400.0,703.0
77062,10221.0,165300.0,136700.0,204400.0,1269.0
77063,19938.0,182400.0,92700.0,338400.0,951.0
77064,16824.0,131200.0,97300.0,172500.0,1115.0
77065,15689.0,141400.0,111200.0,184400.0,1063.0
77066,10416.0,116500.0,87900.0,151500.0,1068.0
77067,10877.0,94000.0,78300.0,113300.0,869.0
77068,4265.0,168500.0,134300.0,223000.0,1174.0
77069,8660.0,203300.0,133700.0,320100.0,1107.0
77070,20274.0,156100.0,119700.0,191600.0,1203.0
77071,11085.0,123400.0,95300.0,168300.0,927.0
77072,19774.0,94600.0,72400.0,115700.0,879.0
77073,13039.0,106000.0,85500.0,126600.0,1149.0
77074,14550.0,104700.0,82700.0,136500.0,767.0
77075,13611.0,116600.0,88500.0,141400.0,974.0
77076,10277.0,84200.0,66400.0,99700.0,760.0
77077,28267.0,219800.0,159900.0,325000.0,1136.0
77078,5226.0,70800.0,53800.0,87500.0,715.0
77079,13390.0,368100.0,173400.0,569000.0,1300.0
77080,16463.0,145200.0,105300.0,197300.0,854.0
77081,19660.0,171700.0,108000.0,351500.0,731.0
77082,23969.0,130200.0,99600.0,206900.0,1060.0
77083,22467.0,118200.0,93200.0,148200.0,1085.0
77084,35117.0,128700.0,102100.0,162200.0,1188.0
77085,5076.0,102300.0,84500.0,121300.0,1045.0
77086,8509.0,93200.0,79600.0,110700.0,943.0
77087,11859.0,85000.0,66800.0,106700.0,663.0
77088,18598.0,93800.0,75300.0,117500.0,851.0
77089,17559.0,123500.0,96400.0,161000.0,1083.0
77090,17388.0,143000.0,103800.0,167600.0,910.0
77091,11091.0,99300.0,64800.0,160400.0,712.0
77092,15236.0,132100.0,87300.0,171400.0,757.0
77093,14113.0,75700.0,54000.0,96700.0,612.0
77094,3269.0,337100.0,256300.0,490700.0,2020.0
77095,25036.0,170600.0,140700.0,217100.0,1371.0
77096,15901.0,274000.0,195500.0,368400.0,939.0
77098,8599.0,442900.0,283100.0,692300.0,1478.0
77099,17882.0,97200.0,83000.0,116400.0,868.0
77201,0.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
77336,4511.0,159400.0,85800.0,304400.0,1184.0
77338,13712.0,106500.0,86100.0,138900.0,998.0
77339,16402.0,154200.0,125500.0,196300.0,1195.0
77345,10389.0,242600.0,181100.0,332000.0,1625.0
77346,19994.0,163200.0,131700.0,215100.0,1481.0
77373,20228.0,115300.0,88500.0,154500.0,1193.0
77375,15555.0,151200.0,111900.0,199600.0,1239.0
77377,10870.0,220800.0,157800.0,291900.0,1428.0
77379,26479.0,202300.0,151500.0,285700.0,1482.0
77388,15324.0,155600.0,119000.0,204700.0,1416.0
77389,9811.0,232100.0,137700.0,376800.0,1711.0
77396,16464.0,117100.0,79400.0,184400.0,1157.0
77401,7164.0,708800.0,411300.0,940800.0,2278.0
77429,27072.0,194900.0,147300.0,292100.0,1506.0
77433,20493.0,194900.0,144000.0,296400.0,1584.0
77447,4307.0,126300.0,79100.0,233500.0,1058.0
77449,31746.0,122700.0,98700.0,150200.0,1299.0
77450,25902.0,214600.0,152000.0,315000.0,1451.0
77484,4214.0,134900.0,72700.0,261400.0,850.0
77493,8599.0,157100.0,117500.0,212800.0,1289.0
77502,11957.0,91400.0,72800.0,114300.0,827.0
77503,8548.0,90800.0,74000.0,110500.0,791.0
77504,10188.0,125700.0,87700.0,164500.0,819.0
77505,9018.0,161200.0,121800.0,203900.0,1141.0
77506,12117.0,69400.0,52400.0,84200.0,688.0
77507,0.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
77520,14494.0,78500.0,51100.0,114600.0,767.0
77521,20517.0,119000.0,84100.0,163300.0,920.0
