Zipcode,Total employed in civilian labor force,Aggregate travel time to work (in minutes)
77520,14767.0,331840.0
77521,21560.0,468405.0
77530,12755.0,324485.0
77532,12073.0,370650.0
77536,15056.0,333900.0
77547,3945.0,96300.0
77562,4547.0,113805.0
77571,18174.0,435125.0
77586,11147.0,295560.0
77587,6848.0,167545.0
77598,13435.0,303955.0
77002,3202.0,54940.0
77003,5353.0,123730.0
77004,16269.0,314695.0
77005,12592.0,200825.0
77006,15301.0,277275.0
77007,22794.0,457145.0
77008,20274.0,425085.0
77009,18726.0,431250.0
77010,522.0,
77011,7491.0,186985.0
77012,9772.0,268565.0
77013,8421.0,201290.0
77014,14685.0,419925.0
77015,23385.0,577965.0
77016,9529.0,279780.0
77017,14006.0,357865.0
77018,14225.0,330860.0
77019,12987.0,226925.0
77020,10122.0,274735.0
77021,10520.0,248405.0
77022,11361.0,296895.0
77023,13703.0,312160.0
77024,17089.0,325230.0
77025,14333.0,299065.0
77026,7662.0,232665.0
77027,10708.0,189745.0
77028,5443.0,141130.0
77029,6014.0,143065.0
77030,5979.0,107970.0
77031,8620.0,217815.0
77032,3972.0,113390.0
77033,9350.0,252880.0
77034,17278.0,451500.0
77035,16597.0,432065.0
77036,33143.0,838335.0
77037,8900.0,259625.0
77038,11418.0,349810.0
77039,11536.0,328120.0
77040,24838.0,658950.0
77041,18000.0,466045.0
77042,21657.0,515645.0
77043,12075.0,290165.0
77044,15403.0,456870.0
77045,13137.0,380420.0
77046,565.0,
77047,11014.0,299415.0
77048,6467.0,180305.0
77049,13422.0,350670.0
77050,2172.0,58775.0
77051,4534.0,112700.0
77054,13130.0,245250.0
77055,20541.0,464170.0
77056,10314.0,178970.0
77057,23785.0,510825.0
77058,9134.0,195680.0
77059,9078.0,222415.0
77060,18451.0,516060.0
77061,11662.0,322930.0
77062,13300.0,310355.0
77063,20218.0,486845.0
77064,23971.0,627580.0
77065,20127.0,520590.0
77066,15796.0,441470.0
77067,13723.0,370645.0
77068,5585.0,150985.0
77069,8843.0,254585.0
77070,25913.0,710605.0
77071,13070.0,333090.0
77072,28144.0,800370.0
77073,19101.0,538875.0
77074,17098.0,454500.0
77075,19010.0,548465.0
77076,13680.0,375630.0
77077,30762.0,773725.0
77078,5171.0,154415.0
77079,14998.0,322955.0
77080,22969.0,548690.0
77081,21442.0,557755.0
77082,27720.0,778630.0
77083,33835.0,1041115.0
77084,51040.0,1525830.0
77085,7321.0,213235.0
77086,12403.0,354870.0
77087,14932.0,376190.0
77088,22055.0,622340.0
77089,26464.0,772140.0
77090,16857.0,469245.0
77091,9653.0,258045.0
77092,16629.0,407330.0
77093,15736.0,430215.0
77094,4295.0,117030.0
77095,36986.0,1167445.0
77096,17789.0,419005.0
77098,9429.0,173085.0
77099,21031.0,611610.0
77201,0.0,-666666666.0
77336,5136.0,178725.0
77338,17005.0,435475.0
77339,20876.0,592850.0
77345,13737.0,447940.0
77346,27933.0,857800.0
77373,27180.0,789040.0
77375,18914.0,553555.0
77377,14394.0,457265.0
77379,35873.0,1090460.0
77388,21068.0,643620.0
77389,12356.0,384845.0
77396,23173.0,686520.0
77401,8854.0,172200.0
77429,38749.0,1150250.0
77433,27649.0,912300.0
77447,5481.0,216070.0
77449,48205.0,1504830.0
77450,36234.0,1053330.0
77484,5218.0,171575.0
77493,12675.0,379610.0
77502,14875.0,342055.0
77503,10519.0,259920.0
77504,10547.0,263355.0
77505,12414.0,311880.0
77506,13278.0,330425.0
77507,0.0,-666666666.0
