Zipcode,Total employed in civilian labor force,Aggregate travel time to work (in minutes)
77586,11589.0,306895.0
77587,7127.0,188745.0
77598,13995.0,332770.0
77002,3433.0,60325.0
77003,5584.0,128740.0
77004,18092.0,347170.0
77005,13091.0,226505.0
77006,15693.0,273685.0
77007,25450.0,530235.0
77008,21682.0,473175.0
77009,18773.0,434125.0
77010,624.0,
77011,7595.0,191445.0
77012,9561.0,260960.0
77013,8748.0,214295.0
77014,16132.0,474670.0
77015,24232.0,625720.0
77016,9867.0,292495.0
77017,14250.0,393815.0
77018,13911.0,342580.0
77019,13668.0,240860.0
77020,10478.0,286760.0
77021,11485.0,268560.0
77022,11697.0,319540.0
77023,13161.0,308345.0
77024,17046.0,333890.0
77025,15282.0,346090.0
77026,8538.0,258715.0
77027,10332.0,176655.0
77028,5635.0,149965.0
77029,6981.0,174950.0
77030,5831.0,115610.0
77031,9306.0,239000.0
77032,4384.0,134725.0
77033,10127.0,276065.0
77034,18413.0,497510.0
77035,17713.0,467020.0
77036,35864.0,958075.0
77037,9142.0,271000.0
77038,12711.0,379325.0
77039,11776.0,346175.0
77040,24786.0,699525.0
77041,18108.0,461990.0
77042,23021.0,568955.0
77043,13607.0,345250.0
77044,18147.0,529090.0
77045,14278.0,428045.0
77046,678.0,
77047,12611.0,364760.0
77048,6740.0,194835.0
77049,14609.0,404935.0
77050,2110.0,62465.0
77051,5194.0,135205.0
77054,13595.0,262925.0
77055,21977.0,505575.0
77056,11630.0,197100.0
77057,23309.0,492980.0
77058,9722.0,223050.0
77059,8532.0,211365.0
77060,18056.0,500675.0
77061,12207.0,360215.0
77062,13486.0,332515.0
77063,20422.0,478475.0
77064,24764.0,693285.0
77065,20037.0,529470.0
77066,15979.0,460475.0
77067,14737.0,427110.0
77068,6073.0,179560.0
77069,9280.0,275735.0
77070,26661.0,731270.0
77071,13216.0,346945.0
77072,28669.0,843345.0
77073,19863.0,569100.0
77074,18220.0,501925.0
77075,19833.0,571680.0
77076,14532.0,416235.0
77077,31790.0,829260.0
77078,5837.0,172275.0
77079,15342.0,368815.0
77080,23102.0,546355.0
77081,23575.0,619225.0
77082,28863.0,812990.0
77083,36118.0,1114940.0
77084,52857.0,1604535.0
77085,8345.0,235145.0
77086,11841.0,352900.0
77087,16126.0,421425.0
77088,23039.0,676940.0
77089,26461.0,825560.0
77090,19146.0,541220.0
77091,9893.0,298770.0
77092,19223.0,476350.0
77093,16238.0,454230.0
77094,4364.0,120560.0
77095,36831.0,1194570.0
77096,19016.0,465210.0
77098,9296.0,159510.0
77099,23352.0,643300.0
77201,0.0,-666666666.0
77336,5675.0,204885.0
77338,17794.0,487185.0
77339,20630.0,607320.0
77345,13759.0,458945.0
77346,29814.0,947175.0
77373,28958.0,869490.0
77375,21550.0,627710.0
77377,15843.0,492925.0
77379,38735.0,1239410.0
77388,22618.0,692940.0
77389,14260.0,472685.0
77396,24320.0,740225.0
77401,8925.0,186755.0
77429,40644.0,1284675.0
77433,32113.0,1121405.0
77447,6908.0,261620.0
77449,55736.0,1770860.0
77450,35673.0,1100610.0
77484,5013.0,165645.0
77493,14099.0,464175.0
77502,15549.0,370715.0
77503,10514.0,259175.0
77504,10510.0,252825.0
77505,12469.0,305885.0
77506,14313.0,370855.0
77507,0.0,-666666666.0
77520,15452.0,353100.0
77521,24368.0,565805.0
77530,13262.0,325250.0
77532,12739.0,388265.0
77536,15530.0,334510.0
77547,4303.0,106225.0
77562,4143.0,96550.0
77571,18984.0,481355.0
