Zipcode,Total employed in civilian labor force,Aggregate travel time to work (in minutes)
77002,2925.0,49880.0
77003,4696.0,107905.0
77004,13483.0,262290.0
77005,12797.0,198805.0
77006,14673.0,256710.0
77007,19156.0,360700.0
77008,18637.0,372085.0
77009,18318.0,413505.0
77010,130.0,
77011,7553.0,193755.0
77012,9485.0,293400.0
77013,7690.0,179845.0
77014,13725.0,378965.0
77015,22996.0,558345.0
77016,10355.0,296680.0
77017,13852.0,356335.0
77018,14585.0,326450.0
77019,12657.0,221325.0
77020,9684.0,254420.0
77021,10029.0,230725.0
77022,11398.0,296635.0
77023,14348.0,338925.0
77024,16129.0,308730.0
77025,13929.0,276415.0
77026,8088.0,237805.0
77027,9745.0,171815.0
77028,6218.0,179160.0
77029,6666.0,167575.0
77030,6615.0,120055.0
77031,8135.0,199225.0
77032,3789.0,110165.0
77033,10071.0,280655.0
77034,15261.0,383385.0
77035,17140.0,424050.0
77036,30046.0,738705.0
77037,8216.0,226505.0
77038,11230.0,309945.0
77039,10538.0,280260.0
77040,22602.0,569400.0
77041,17550.0,480975.0
77042,20223.0,480150.0
77043,10798.0,253750.0
77044,12998.0,372170.0
77045,12918.0,341405.0
77046,716.0,
77047,9988.0,272310.0
77048,5792.0,177120.0
77049,12498.0,313525.0
77050,1832.0,49010.0
77051,4712.0,110650.0
77054,12596.0,262910.0
77055,19908.0,449140.0
77056,9867.0,175320.0
77057,24033.0,510930.0
77058,9214.0,211645.0
77059,9571.0,239140.0
77060,19674.0,529105.0
77061,10968.0,281780.0
77062,12723.0,279530.0
77063,20396.0,492970.0
77064,23112.0,607295.0
77065,18985.0,517850.0
77066,15918.0,450305.0
77067,12586.0,329650.0
77068,5153.0,128410.0
77069,8050.0,213580.0
77070,23623.0,616190.0
77071,12613.0,319465.0
77072,26475.0,723755.0
77073,16870.0,469905.0
77074,16125.0,425510.0
77075,17694.0,457250.0
77076,13029.0,336845.0
77077,29361.0,737395.0
77078,5227.0,162485.0
77079,14976.0,318600.0
77080,21454.0,527325.0
77081,23001.0,580290.0
77082,25460.0,683020.0
77083,34073.0,1048065.0
77084,47413.0,1455665.0
77085,7306.0,195155.0
77086,10904.0,333105.0
77087,15526.0,387505.0
77088,21431.0,608835.0
77089,25320.0,680750.0
77090,15295.0,399110.0
77091,9417.0,249960.0
77092,15904.0,414090.0
77093,15400.0,416860.0
77094,3992.0,112885.0
77095,35029.0,1133080.0
77096,16127.0,372300.0
77098,8429.0,154760.0
77099,21148.0,569100.0
77201,0.0,-666666666.0
77336,5500.0,187100.0
77338,14982.0,355550.0
77339,19409.0,520540.0
77345,12267.0,403410.0
77346,26847.0,824035.0
77373,27216.0,790650.0
77375,17854.0,522760.0
77377,13777.0,415655.0
77379,35461.0,1018080.0
77388,20701.0,582825.0
77389,9642.0,298110.0
77396,18943.0,518460.0
77401,9186.0,156130.0
77429,35345.0,1088210.0
77433,21753.0,727985.0
77447,5599.0,188655.0
77449,40441.0,1298185.0
77450,33115.0,968690.0
77484,5345.0,178205.0
77493,11149.0,315015.0
77502,14473.0,351595.0
77503,9630.0,211440.0
77504,10600.0,255410.0
77505,11843.0,287230.0
77506,13870.0,319870.0
77507,0.0,-666666666.0
77520,14327.0,350720.0
77521,20375.0,465525.0
77530,12612.0,313425.0
77532,11022.0,338420.0
77536,15151.0,353240.0
77547,3726.0,84190.0
77562,4377.0,117735.0
77571,17834.0,397075.0
77586,10798.0,251195.0
77587,6828.0,172005.0
77598,13516.0,290145.0
