Zipcode,Median Household Income,Median Value
77586,87543.0,197200.0
77587,41840.0,83500.0
77598,48059.0,132000.0
77002,68229.0,229700.0
77003,46267.0,229700.0
77004,50681.0,225600.0
77005,174153.0,886100.0
77006,80908.0,388400.0
77007,113361.0,376500.0
77008,88248.0,367800.0
77009,47011.0,227000.0
77010,250001.0,-666666666.0
77011,29544.0,84700.0
77012,34617.0,77000.0
77013,37987.0,83300.0
77014,43207.0,128800.0
77015,43243.0,91600.0
77016,31949.0,62100.0
77017,40909.0,87500.0
77018,73274.0,301900.0
77019,102521.0,474800.0
77020,26896.0,74500.0
77021,32404.0,84800.0
77022,29277.0,81600.0
77023,35723.0,104500.0
77024,114336.0,837800.0
77025,67548.0,376100.0
77026,25354.0,61600.0
77027,88471.0,629600.0
77028,29272.0,56100.0
77029,31296.0,69400.0
77030,73689.0,481500.0
77031,41976.0,124000.0
77032,26061.0,81000.0
77033,31037.0,62100.0
77034,45271.0,104800.0
77035,38729.0,188500.0
77036,27576.0,121400.0
77037,39513.0,86500.0
77038,40832.0,95700.0
77039,36021.0,87100.0
77040,54468.0,136500.0
77041,75808.0,147800.0
77042,46383.0,231600.0
77043,58409.0,171000.0
77044,71788.0,168600.0
77045,44690.0,79900.0
77046,78750.0,317100.0
77047,52476.0,118400.0
77048,40077.0,68800.0
77049,52735.0,122100.0
77050,52963.0,69200.0
77051,26960.0,73200.0
77054,46646.0,124000.0
77055,47808.0,343400.0
77056,98862.0,628800.0
77057,57920.0,271100.0
77058,50981.0,166400.0
77059,131453.0,266300.0
77060,27439.0,89900.0
77061,35772.0,113500.0
77062,83452.0,169100.0
77063,44670.0,198000.0
77064,67095.0,139800.0
77065,54928.0,145600.0
77066,59640.0,120000.0
77067,38033.0,95000.0
77068,81920.0,183900.0
77069,65307.0,216800.0
77070,71428.0,160400.0
77071,44824.0,126300.0
77072,39103.0,94700.0
77073,52327.0,115000.0
77074,34920.0,108700.0
77075,48612.0,120800.0
77076,31930.0,86100.0
77077,63701.0,244400.0
77078,32040.0,69600.0
77079,101743.0,405700.0
77080,41285.0,157600.0
77081,27691.0,205500.0
77082,49825.0,138800.0
77083,55290.0,120700.0
77084,66914.0,134300.0
77085,53362.0,103900.0
77086,41119.0,92800.0
77087,34187.0,86500.0
77088,42287.0,95600.0
77089,64766.0,129900.0
77090,39583.0,142300.0
77091,31516.0,108100.0
77092,37706.0,139500.0
77093,31383.0,76400.0
77094,168611.0,351000.0
77095,88148.0,182200.0
77096,58538.0,292300.0
77098,83686.0,440000.0
77099,36355.0,98800.0
77201,-666666666.0,-666666666.0
77336,65655.0,158900.0
77338,48459.0,114100.0
77339,70554.0,163500.0
77345,125990.0,261500.0
77346,91446.0,170900.0
77373,67078.0,121200.0
77375,69046.0,159700.0
77377,92338.0,233700.0
77379,100997.0,215600.0
77388,84164.0,162100.0
77389,115783.0,267900.0
77396,60942.0,124200.0
77401,169545.0,768800.0
77429,101552.0,209100.0
77433,100457.0,211700.0
77447,74836.0,127900.0
77449,71096.0,132500.0
77450,100504.0,227800.0
77484,64048.0,162600.0
77493,82630.0,162800.0
77502,45813.0,91600.0
77503,43277.0,89100.0
77504,41487.0,128000.0
77505,74894.0,164100.0
77506,31840.0,70400.0
77507,-666666666.0,-666666666.0
77520,45936.0,78600.0
77521,58261.0,124500.0
77530,51209.0,88000.0
77532,62785.0,126300.0
77536,80152.0,141100.0
77547,43750.0,66900.0
77562,60533.0,96400.0
77571,72155.0,128800.0
