Zipcode,Total Housing Unit,Median Value,Lower value quartile (dollars),Upper value quartile (dollars),Median monthly housing costs
77586,9516.0,197200.0,149900.0,262300.0,1215.0
77587,4935.0,83500.0,61700.0,108700.0,717.0
77598,11750.0,132000.0,108600.0,155700.0,993.0
77002,4040.0,229700.0,139800.0,298900.0,1378.0
77003,5185.0,229700.0,115300.0,307600.0,1106.0
77004,16601.0,225600.0,127600.0,348700.0,1060.0
77005,10827.0,886100.0,564200.0,1228500.0,2454.0
77006,13874.0,388400.0,238500.0,541200.0,1336.0
77007,20050.0,376500.0,287800.0,480000.0,1788.0
77008,16959.0,367800.0,276100.0,488100.0,1417.0
77009,16485.0,227000.0,114400.0,370700.0,888.0
77010,790.0,-666666666.0,346100.0,863400.0,3041.0
77011,6863.0,84700.0,65500.0,111700.0,610.0
77012,7257.0,77000.0,62300.0,99500.0,650.0
77013,6481.0,83300.0,65300.0,97000.0,786.0
77014,12391.0,128800.0,98000.0,157800.0,973.0
77015,18984.0,91600.0,67200.0,121900.0,821.0
77016,11026.0,62100.0,40800.0,82800.0,583.0
77017,11200.0,87500.0,71200.0,112700.0,773.0
77018,12123.0,301900.0,210800.0,426800.0,1062.0
77019,11798.0,474800.0,269000.0,1125400.0,1669.0
77020,9810.0,74500.0,56700.0,103200.0,608.0
77021,12189.0,84800.0,58000.0,180100.0,784.0
77022,10821.0,81600.0,60800.0,113100.0,616.0
77023,10998.0,104500.0,86600.0,155300.0,721.0
77024,16735.0,837800.0,398600.0,1494000.0,1965.0
77025,14279.0,376100.0,227500.0,585800.0,1261.0
77026,9898.0,61600.0,43000.0,87000.0,582.0
77027,10685.0,629600.0,326300.0,1046200.0,1502.0
77028,6599.0,56100.0,40800.0,78900.0,519.0
77029,6594.0,69400.0,54400.0,86600.0,669.0
77030,5797.0,481500.0,178200.0,747300.0,1475.0
77031,6620.0,124000.0,98700.0,148900.0,827.0
77032,4417.0,81000.0,53400.0,97400.0,840.0
77033,10228.0,62100.0,45600.0,78900.0,639.0
77034,13627.0,104800.0,85200.0,132100.0,921.0
77035,15818.0,188500.0,114500.0,277100.0,790.0
77036,30892.0,121400.0,80900.0,161800.0,719.0
77037,5638.0,86500.0,40700.0,115300.0,721.0
77038,8616.0,95700.0,69900.0,128200.0,939.0
77039,8254.0,87100.0,66600.0,111000.0,784.0
77040,18380.0,136500.0,101300.0,196000.0,991.0
77041,12216.0,147800.0,100600.0,283600.0,1182.0
77042,21483.0,231600.0,89400.0,392700.0,978.0
77043,9940.0,171000.0,112600.0,265200.0,924.0
77044,12900.0,168600.0,92200.0,263900.0,1356.0
77045,10655.0,79900.0,64000.0,100600.0,844.0
77046,849.0,317100.0,270600.0,395900.0,1780.0
77047,9712.0,118400.0,81500.0,156100.0,1112.0
77048,6775.0,68800.0,54500.0,96700.0,662.0
77049,10709.0,122100.0,83300.0,162800.0,1029.0
77050,1504.0,69200.0,48600.0,98100.0,618.0
77051,7156.0,73200.0,50500.0,104800.0,720.0
77054,15072.0,124000.0,86400.0,222900.0,1039.0
77055,16633.0,343400.0,146900.0,595800.0,939.0
77056,12843.0,628800.0,305800.0,1049900.0,1676.0
77057,22627.0,271100.0,155700.0,600700.0,1100.0
77058,9233.0,166400.0,126700.0,218400.0,978.0
77059,6144.0,266300.0,191900.0,363300.0,1600.0
77060,16237.0,89900.0,72400.0,112900.0,731.0
77061,9908.0,113500.0,89600.0,147700.0,736.0
77062,10202.0,169100.0,139200.0,221400.0,1261.0
77063,20319.0,198000.0,101500.0,360900.0,984.0
77064,16852.0,139800.0,103900.0,187000.0,1151.0
77065,15835.0,145600.0,114500.0,192700.0,1090.0
77066,10595.0,120000.0,88500.0,155500.0,1093.0
77067,11108.0,95000.0,79600.0,117500.0,877.0
77068,4333.0,183900.0,144600.0,249400.0,1152.0
77069,8801.0,216800.0,157000.0,329300.0,1154.0
77070,20679.0,160400.0,125200.0,199600.0,1218.0
77071,10930.0,126300.0,95100.0,174100.0,927.0
77072,19573.0,94700.0,74000.0,117200.0,876.0
77073,13289.0,115000.0,91600.0,141500.0,1134.0
