Zipcode,Median Household Income,Median Value
77484,60998.0,142500.0
77493,77272.0,145900.0
77502,42939.0,93700.0
77503,42207.0,91500.0
77504,42226.0,116900.0
77505,72172.0,160000.0
77506,30590.0,75600.0
77507,-666666666.0,-666666666.0
77520,44181.0,79000.0
77521,57352.0,119400.0
77530,43439.0,88300.0
77532,64317.0,119300.0
77536,76482.0,130800.0
77547,40310.0,70600.0
77562,54504.0,90300.0
77571,66983.0,120900.0
77586,86474.0,191600.0
77587,36420.0,83400.0
77598,44884.0,117300.0
77002,57165.0,216400.0
77003,37664.0,116100.0
77004,39804.0,200800.0
77005,153041.0,723300.0
77006,63360.0,306000.0
77007,90860.0,296400.0
77008,65457.0,278900.0
77009,42944.0,155600.0
77010,149444.0,-666666666.0
77011,27458.0,78300.0
77012,33035.0,80600.0
77013,39701.0,86800.0
77014,41429.0,122600.0
77015,45912.0,93500.0
77016,31067.0,65200.0
77017,36796.0,86900.0
77018,59510.0,205600.0
77019,87582.0,379900.0
77020,28217.0,71900.0
77021,32096.0,82400.0
77022,27895.0,83900.0
77023,37735.0,103000.0
77024,108068.0,632700.0
77025,64202.0,324000.0
77026,20200.0,59900.0
77027,81202.0,455900.0
77028,31509.0,61000.0
77029,30811.0,73600.0
77030,67790.0,474400.0
77031,41769.0,118300.0
77032,22389.0,73100.0
77033,28510.0,65000.0
77034,44519.0,103800.0
77035,36151.0,151100.0
77036,28175.0,112500.0
77037,34864.0,93000.0
77038,38746.0,90300.0
77039,39483.0,88000.0
77040,53332.0,130000.0
77041,70413.0,137600.0
77042,46885.0,206600.0
77043,52263.0,143100.0
77044,66186.0,131000.0
77045,37276.0,87900.0
77046,85943.0,320900.0
77047,49625.0,104800.0
77048,36721.0,83300.0
77049,50182.0,100400.0
77050,46934.0,76400.0
77051,23481.0,54400.0
77054,42447.0,114800.0
77055,43470.0,215000.0
77056,90348.0,543600.0
77057,54614.0,221200.0
77058,52861.0,158500.0
77059,135394.0,242500.0
77060,28734.0,92200.0
77061,31854.0,113800.0
77062,88897.0,158400.0
77063,50460.0,188500.0
77064,64945.0,134800.0
77065,56110.0,143000.0
77066,61850.0,118700.0
77067,37254.0,97000.0
77068,73750.0,161300.0
77069,66856.0,202200.0
77070,70634.0,157900.0
77071,44958.0,121000.0
77072,35763.0,96100.0
77073,50745.0,113200.0
77074,35154.0,102900.0
77075,47737.0,116600.0
77076,32764.0,85800.0
77077,61702.0,209100.0
77078,32441.0,67700.0
77079,94924.0,319900.0
77080,36162.0,128200.0
77081,27789.0,221900.0
77082,49962.0,129800.0
77083,54639.0,119800.0
77084,62248.0,127400.0
77085,51250.0,112100.0
77086,43665.0,96300.0
77087,40440.0,85700.0
77088,41067.0,93900.0
77089,63027.0,123300.0
77090,38459.0,137000.0
77091,29000.0,91800.0
77092,35555.0,129400.0
77093,31550.0,76700.0
77094,155577.0,284600.0
77095,89752.0,168300.0
77096,65011.0,256300.0
77098,78652.0,392200.0
77099,35879.0,98700.0
77201,-666666666.0,-666666666.0
77336,63347.0,145100.0
77338,48673.0,106800.0
77339,71759.0,150100.0
77345,124055.0,237300.0
77346,87508.0,158300.0
77373,69604.0,112800.0
77375,61463.0,146100.0
77377,96630.0,192200.0
77379,100814.0,190800.0
77388,81650.0,150400.0
77389,92689.0,179000.0
77396,58775.0,112200.0
77401,147660.0,557500.0
77429,96759.0,187000.0
77433,92142.0,176500.0
77447,65263.0,128500.0
77449,65445.0,119000.0
77450,99575.0,191100.0
