Zipcode,Total employed in civilian labor force,Aggregate travel time to work (in minutes)
77484,5259.0,174485.0
77493,11440.0,303170.0
77502,14570.0,362725.0
77503,9585.0,219100.0
77504,10633.0,262100.0
77505,11979.0,287075.0
77506,13187.0,311480.0
77507,0.0,-666666666.0
77520,14571.0,347530.0
77521,20597.0,468820.0
77530,12318.0,309065.0
77532,12179.0,366790.0
77536,15053.0,340890.0
77547,3701.0,87600.0
77562,4553.0,118655.0
77571,17760.0,417860.0
77586,10853.0,265855.0
77587,6874.0,172890.0
77598,13391.0,304505.0
77002,2924.0,
77003,4805.0,106035.0
77004,14358.0,280305.0
77005,12478.0,196125.0
77006,14134.0,249765.0
77007,20595.0,409175.0
77008,18541.0,371810.0
77009,18044.0,407750.0
77010,225.0,
77011,7212.0,181725.0
77012,9206.0,267545.0
77013,7848.0,181425.0
77014,13774.0,385000.0
77015,22850.0,541330.0
77016,10094.0,298695.0
77017,13827.0,350235.0
77018,14508.0,326220.0
77019,12431.0,212070.0
77020,9590.0,253185.0
77021,10300.0,242470.0
77022,11791.0,305560.0
77023,14399.0,336955.0
77024,16207.0,316890.0
77025,13821.0,287105.0
77026,7481.0,237405.0
77027,9734.0,173000.0
77028,6218.0,182550.0
77029,6258.0,159990.0
77030,6208.0,115720.0
77031,8758.0,211800.0
77032,3708.0,105170.0
77033,9596.0,269385.0
77034,15764.0,400620.0
77035,16400.0,410380.0
77036,31026.0,771260.0
77037,7920.0,218445.0
77038,11213.0,324215.0
77039,10986.0,294425.0
77040,22843.0,591075.0
77041,17736.0,466685.0
77042,20437.0,499015.0
77043,10753.0,245470.0
77044,13525.0,388205.0
77045,12403.0,343135.0
77046,802.0,
77047,10289.0,281050.0
77048,6264.0,180970.0
77049,12452.0,307325.0
77050,1782.0,47465.0
77051,4569.0,108465.0
77054,13071.0,247485.0
77055,20181.0,432925.0
77056,9737.0,173265.0
77057,23717.0,515025.0
77058,9465.0,209020.0
77059,9411.0,227030.0
77060,19728.0,543335.0
77061,10864.0,286010.0
77062,13158.0,285615.0
77063,21381.0,514230.0
77064,23018.0,590630.0
77065,18800.0,484080.0
77066,15944.0,454575.0
77067,12826.0,320865.0
77068,5571.0,146120.0
77069,8175.0,230465.0
77070,24861.0,668065.0
77071,13051.0,326275.0
77072,25957.0,724080.0
77073,17207.0,492985.0
77074,16125.0,424910.0
77075,17819.0,474020.0
77076,13738.0,369030.0
77077,29101.0,722625.0
77078,5475.0,175120.0
77079,15000.0,324730.0
77080,23293.0,565240.0
77081,21574.0,545590.0
77082,26651.0,707675.0
77083,33405.0,1022275.0
77084,50382.0,1505955.0
77085,7336.0,197535.0
77086,11418.0,356850.0
77087,15766.0,391355.0
77088,21390.0,606580.0
77089,26570.0,714315.0
77090,16218.0,439580.0
77091,9484.0,242415.0
77092,15783.0,408430.0
77093,15454.0,423615.0
77094,3986.0,103720.0
77095,35289.0,1156790.0
77096,16772.0,377345.0
77098,8742.0,161510.0
77099,20392.0,536875.0
77201,0.0,-666666666.0
77336,5458.0,178450.0
77338,15671.0,380455.0
77339,19807.0,550020.0
77345,12998.0,437820.0
77346,26951.0,818675.0
77373,27348.0,795130.0
77375,18272.0,531510.0
77377,14171.0,439645.0
77379,36510.0,1083495.0
77388,20384.0,595370.0
77389,10613.0,338305.0
77396,19969.0,566445.0
77401,9077.0,158900.0
77429,36262.0,1091125.0
77433,23902.0,781220.0
77447,5686.0,209700.0
77449,42746.0,1371160.0
77450,33751.0,961815.0
