Zipcode,Median Household Income,Median Value
77003,59575.0,272800.0
77375,69446.0,168300.0
77002,72306.0,233000.0
77091,32500.0,110900.0
77024,118561.0,898100.0
77036,29744.0,129600.0
77046,90036.0,348200.0
77049,56760.0,126400.0
77061,39180.0,116900.0
77073,54079.0,119100.0
77076,34842.0,88800.0
77079,98774.0,444100.0
77080,44386.0,171000.0
77087,35302.0,89000.0
77092,39921.0,147100.0
77095,92175.0,193100.0
77016,32302.0,60600.0
77018,81565.0,342200.0
77029,32200.0,68500.0
77044,76387.0,173400.0
77048,41220.0,71900.0
77051,27244.0,73800.0
77066,61430.0,125900.0
77054,48681.0,138800.0
77059,126385.0,277700.0
77062,88433.0,178900.0
77075,50653.0,125900.0
77078,35770.0,74500.0
77085,55950.0,106300.0
77484,66000.0,176200.0
77506,34838.0,73300.0
77520,46311.0,80200.0
77532,62606.0,135300.0
77586,90612.0,212500.0
77598,52167.0,138600.0
77502,46105.0,92500.0
77547,41037.0,67400.0
77503,45778.0,92900.0
77521,62513.0,135500.0
77530,55761.0,91500.0
77571,75232.0,133600.0
77336,67563.0,162600.0
77094,158160.0,390000.0
77096,61583.0,320100.0
77379,99693.0,229000.0
77389,115725.0,283100.0
77010,250001.0,-666666666.0
77020,27587.0,77700.0
77021,35126.0,89900.0
77030,75290.0,471100.0
77037,41491.0,94400.0
77045,51170.0,80900.0
77082,53999.0,147200.0
77084,65617.0,142400.0
77346,98840.0,182900.0
77373,67924.0,132700.0
77035,44546.0,196400.0
77041,79503.0,159700.0
77050,57163.0,81300.0
77063,44957.0,207400.0
77071,49137.0,130900.0
77074,36593.0,114100.0
77088,44472.0,100000.0
77090,39392.0,140900.0
77098,87820.0,462500.0
77083,54786.0,130300.0
77401,172205.0,802300.0
77433,103773.0,227800.0
77504,40693.0,134700.0
77338,50263.0,128800.0
77339,73466.0,171800.0
77429,103092.0,215000.0
77507,-666666666.0,-666666666.0
77562,62077.0,106600.0
77004,48592.0,247300.0
77008,97690.0,396300.0
77006,82878.0,430600.0
77009,49383.0,250800.0
77014,45596.0,132700.0
77031,44459.0,135900.0
77034,47252.0,109400.0
77055,52269.0,383000.0
77072,41041.0,97500.0
77011,30665.0,85700.0
77012,36537.0,77400.0
77013,39513.0,85500.0
77449,72397.0,142600.0
77450,101240.0,242000.0
77505,77490.0,172600.0
77536,82420.0,147000.0
77587,44371.0,85200.0
77086,43116.0,97300.0
77493,85865.0,171200.0
77015,45917.0,95800.0
77022,30164.0,85900.0
77026,26644.0,62100.0
77027,91296.0,679000.0
77047,56706.0,122900.0
77005,180758.0,940800.0
77007,121458.0,398200.0
77017,44286.0,90300.0
77019,112243.0,510000.0
77396,64195.0,130800.0
77447,72775.0,134900.0
77025,71990.0,405900.0
77038,41347.0,105300.0
77039,34608.0,89200.0
77040,55438.0,150200.0
77057,57093.0,287000.0
77060,28948.0,95700.0
77067,40138.0,99900.0
77068,80313.0,194000.0
77077,66587.0,265300.0
77081,29079.0,256700.0
77028,30233.0,56200.0
77058,51635.0,171800.0
77023,37462.0,112800.0
77093,30837.0,75900.0
77032,30451.0,82500.0
77056,107003.0,631800.0
77065,54688.0,154000.0
77069,64313.0,233900.0
77070,69038.0,166900.0
77345,128646.0,272700.0
77377,96064.0,241800.0
77042,47297.0,239500.0
77388,87574.0,172300.0
77043,60043.0,194700.0
77089,66775.0,137400.0
77033,33750.0,62400.0
77064,67763.0,143000.0
77099,38878.0,105700.0
77201,-666666666.0,-666666666.0
