Zipcode,Total Housing Unit,Median Value,Lower value quartile (dollars),Upper value quartile (dollars),Median monthly housing costs
77562,4103.0,95900.0,63700.0,141400.0,911.0
77571,13405.0,122200.0,98500.0,154700.0,1094.0
77586,9611.0,190100.0,143700.0,242400.0,1225.0
77587,5474.0,77900.0,60700.0,106200.0,687.0
77598,11652.0,117100.0,102000.0,138000.0,940.0
77002,3738.0,208600.0,123200.0,259500.0,1261.0
77003,5013.0,162600.0,80800.0,230900.0,889.0
77004,16979.0,191700.0,107900.0,275100.0,890.0
77005,10257.0,754000.0,523400.0,1000001.0,2527.0
77006,13340.0,327300.0,205900.0,461700.0,1200.0
77007,17797.0,308700.0,232400.0,421100.0,1515.0
77008,16371.0,292200.0,219400.0,395000.0,1176.0
77009,15993.0,163000.0,97800.0,277000.0,861.0
77010,468.0,-666666666.0,-666666666.0,-666666666.0,2836.0
77011,6843.0,80300.0,64200.0,93900.0,572.0
77012,7276.0,82600.0,63500.0,100900.0,660.0
77013,6257.0,84900.0,64400.0,107500.0,785.0
77014,11873.0,119300.0,88500.0,145400.0,896.0
77015,18581.0,92200.0,68800.0,118800.0,804.0
77016,10960.0,63700.0,42800.0,81400.0,631.0
77017,11152.0,86400.0,70100.0,109600.0,756.0
77018,11786.0,218400.0,158800.0,300000.0,945.0
77019,10913.0,378700.0,237700.0,860800.0,1513.0
77020,9745.0,70500.0,53800.0,95100.0,580.0
77021,12011.0,83900.0,57800.0,179400.0,811.0
77022,10751.0,81700.0,59300.0,109400.0,650.0
77023,10969.0,102700.0,84300.0,155500.0,692.0
77024,15961.0,658600.0,327100.0,1000001.0,1761.0
77025,13468.0,331200.0,214300.0,467800.0,1161.0
77026,10156.0,59600.0,33800.0,87900.0,578.0
77027,10346.0,475900.0,237700.0,802200.0,1358.0
77028,6733.0,59100.0,42500.0,79600.0,517.0
77029,6337.0,69500.0,52600.0,87200.0,657.0
77030,6018.0,501100.0,230800.0,732300.0,1407.0
77031,6732.0,114900.0,98400.0,138500.0,803.0
77032,4658.0,72900.0,39200.0,93500.0,824.0
77033,10114.0,65600.0,48900.0,81000.0,660.0
77034,13118.0,99700.0,84300.0,122300.0,900.0
77035,15804.0,156300.0,100300.0,221800.0,764.0
77036,30483.0,113900.0,80800.0,141500.0,688.0
77037,5582.0,84200.0,52000.0,108800.0,821.0
77038,8019.0,86300.0,69800.0,110400.0,984.0
77039,8120.0,85000.0,67000.0,104000.0,761.0
