Zipcode,Total Housing Unit,Median Value,Lower value quartile (dollars),Upper value quartile (dollars),Median monthly housing costs
77003,5292.0,272800.0,145300.0,344200.0,1209.0
77375,17383.0,168300.0,131600.0,239900.0,1295.0
77002,4237.0,233000.0,126500.0,299900.0,1439.0
77091,11166.0,110900.0,69000.0,180700.0,751.0
77024,16770.0,898100.0,442700.0,1615900.0,2046.0
77036,31098.0,129600.0,80800.0,173700.0,746.0
77046,755.0,348200.0,289100.0,433800.0,1883.0
77049,11152.0,126400.0,87700.0,166800.0,1084.0
77061,9982.0,116900.0,92700.0,157800.0,768.0
77073,13669.0,119100.0,96000.0,148900.0,1130.0
77076,10600.0,88800.0,74100.0,115700.0,811.0
77079,14074.0,444100.0,232700.0,657600.0,1418.0
77080,16489.0,171000.0,122600.0,247200.0,894.0
77087,12044.0,89000.0,71400.0,113400.0,693.0
77092,15469.0,147100.0,88800.0,219300.0,796.0
77095,25500.0,193100.0,154500.0,241100.0,1384.0
77016,11094.0,60600.0,43500.0,82700.0,597.0
77018,12146.0,342200.0,238100.0,468500.0,1143.0
77029,6555.0,68500.0,52900.0,88400.0,678.0
77044,13627.0,173400.0,98000.0,275700.0,1407.0
77048,6844.0,71900.0,55800.0,108900.0,718.0
77051,7274.0,73800.0,53800.0,109400.0,707.0
77066,10845.0,125900.0,94500.0,165500.0,1085.0
77054,15165.0,138800.0,90400.0,229000.0,1065.0
77059,6138.0,277700.0,200800.0,373100.0,1605.0
77062,10028.0,178900.0,144500.0,233300.0,1273.0
77075,13638.0,125900.0,95400.0,150800.0,993.0
77078,5190.0,74500.0,55900.0,93000.0,718.0
77085,5312.0,106300.0,86700.0,129700.0,1062.0
77484,3953.0,176200.0,82700.0,278000.0,818.0
77506,12025.0,73300.0,57300.0,87800.0,728.0
77520,13968.0,80200.0,51700.0,117600.0,775.0
77532,10513.0,135300.0,90600.0,186900.0,1054.0
77586,9562.0,212500.0,156500.0,280600.0,1237.0
77598,11466.0,138600.0,117200.0,166000.0,1028.0
77502,11802.0,92500.0,72900.0,118900.0,796.0
77547,2889.0,67400.0,56300.0,84800.0,685.0
77503,8587.0,92900.0,70300.0,117100.0,837.0
77521,20941.0,135500.0,93300.0,182200.0,991.0
77530,9658.0,91500.0,67500.0,124100.0,877.0
77571,14135.0,133600.0,104400.0,170900.0,1074.0
77336,4832.0,162600.0,85000.0,318200.0,1105.0
77094,3447.0,390000.0,281300.0,515200.0,2095.0
77096,15926.0,320100.0,223600.0,415600.0,992.0
77379,27675.0,229000.0,166900.0,324100.0,1525.0
77389,11443.0,283100.0,160200.0,414300.0,1741.0
77010,862.0,-666666666.0,350000.0,912500.0,3096.0
77020,9789.0,77700.0,58000.0,109100.0,628.0
77021,12375.0,89900.0,60900.0,194700.0,812.0
77030,5859.0,471100.0,181500.0,798800.0,1512.0
77037,5766.0,94400.0,59200.0,117600.0,781.0
77045,10901.0,80900.0,64800.0,100800.0,851.0
77082,24741.0,147200.0,109100.0,213300.0,1126.0
77084,36033.0,142400.0,110900.0,179800.0,1204.0
77346,21182.0,182900.0,144800.0,246100.0,1484.0
77373,20939.0,132700.0,97400.0,175100.0,1203.0
77035,16047.0,196400.0,110600.0,291600.0,855.0
77041,12256.0,159700.0,109200.0,311400.0,1209.0
77050,1539.0,81300.0,51900.0,98700.0,571.0
77063,20235.0,207400.0,108700.0,365300.0,1036.0
77071,11039.0,130900.0,96700.0,188100.0,924.0
77074,14832.0,114100.0,83800.0,156700.0,826.0
77088,19141.0,100000.0,76000.0,129700.0,880.0
77090,17742.0,140900.0,107000.0,170800.0,942.0
77098,9046.0,462500.0,319700.0,697800.0,1586.0
77083,23141.0,130300.0,99000.0,162000.0,1077.0
77401,7403.0,802300.0,538000.0,1050700.0,2368.0
77433,24353.0,227800.0,158600.0,348500.0,1666.0
77504,10051.0,134700.0,89600.0,180700.0,874.0
77338,14590.0,128800.0,94200.0,164000.0,1072.0
77339,17004.0,171800.0,138200.0,235100.0,1265.0
77429,28930.0,215000.0,157600.0,317000.0,1537.0
77507,0.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
77562,4046.0,106600.0,67400.0,164900.0,752.0
77004,16549.0,247300.0,149400.0,359600.0,1082.0
77008,17313.0,396300.0,311600.0,536800.0,1522.0
77006,14197.0,430600.0,289600.0,600000.0,1422.0
77009,16284.0,250800.0,115600.0,437000.0,912.0
77014,12694.0,132700.0,102800.0,163300.0,1017.0
77031,6605.0,135900.0,104500.0,159700.0,840.0
77034,13835.0,109400.0,87300.0,136800.0,919.0
77055,16663.0,383000.0,171700.0,643400.0,981.0
77072,19713.0,97500.0,76900.0,120700.0,897.0
77011,6861.0,85700.0,70100.0,118700.0,625.0
77012,7109.0,77400.0,62700.0,101700.0,701.0
77013,6541.0,85500.0,70300.0,104800.0,807.0
77449,35116.0,142600.0,113400.0,172800.0,1370.0
77450,26032.0,242000.0,169500.0,350300.0,1472.0
77505,9116.0,172600.0,130100.0,224300.0,1200.0
77536,11697.0,147000.0,111800.0,194100.0,1172.0
77587,4908.0,85200.0,62200.0,115600.0,731.0
77086,8509.0,97300.0,81800.0,122400.0,953.0
77493,9524.0,171200.0,128500.0,243000.0,1372.0
77015,19073.0,95800.0,69700.0,127500.0,855.0
77022,10707.0,85900.0,63700.0,116600.0,630.0
77026,9707.0,62100.0,44000.0,84700.0,602.0
77027,10763.0,679000.0,376500.0,1109200.0,1555.0
77047,10291.0,122900.0,80100.0,162000.0,1123.0
77005,10920.0,940800.0,605500.0,1329800.0,2476.0
77007,20887.0,398200.0,319500.0,501400.0,1866.0
77017,11260.0,90300.0,73200.0,118000.0,791.0
77019,11883.0,510000.0,274600.0,1107400.0,1798.0
77396,17683.0,130800.0,87600.0,206600.0,1204.0
77447,4975.0,134900.0,83700.0,271200.0,1143.0
77025,14263.0,405900.0,240800.0,631600.0,1334.0
77038,8907.0,105300.0,78400.0,136800.0,941.0
77039,8301.0,89200.0,66500.0,113500.0,803.0
77040,18664.0,150200.0,105300.0,218700.0,995.0
77057,22485.0,287000.0,163600.0,633600.0,1142.0
77060,16330.0,95700.0,75100.0,119100.0,764.0
77067,11280.0,99900.0,81900.0,124800.0,893.0
77068,4305.0,194000.0,157300.0,270600.0,1169.0
77077,29475.0,265300.0,182900.0,368600.0,1219.0
77081,20314.0,256700.0,112300.0,467100.0,787.0
77028,6728.0,56200.0,40300.0,79500.0,578.0
77058,9257.0,171800.0,128600.0,232100.0,1004.0
77023,10898.0,112800.0,89000.0,168100.0,740.0
77093,14215.0,75900.0,52200.0,104400.0,626.0
77032,4630.0,82500.0,44400.0,101400.0,863.0
77056,13256.0,631800.0,304700.0,1035500.0,1740.0
77065,16049.0,154000.0,118400.0,197800.0,1122.0
77069,8800.0,233900.0,175400.0,335000.0,1168.0
77070,21170.0,166900.0,127400.0,217000.0,1244.0
77345,10094.0,272700.0,205200.0,362000.0,1657.0
77377,11983.0,241800.0,181300.0,308700.0,1513.0
77042,21978.0,239500.0,86500.0,412400.0,1019.0
77388,16238.0,172300.0,132700.0,232900.0,1420.0
77043,10105.0,194700.0,121600.0,302600.0,980.0
77089,18185.0,137400.0,106000.0,171400.0,1140.0
77033,10416.0,62400.0,44900.0,78100.0,625.0
77064,17181.0,143000.0,107800.0,193900.0,1168.0
77099,18293.0,105700.0,86900.0,125600.0,889.0
77201,0.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
