Zipcode,Total enrolled in school,"Enrolled in nursery school, preschool",Enrolled in kindergarten,Enrolled in grade 1 to grade 4,Enrolled in grade 5 to grade 8,Enrolled in grade 9 to grade 12,"Enrolled in college, undergraduate years",Graduate or professional school,Not enrolled in school
77002,1133.0,12.0,5.0,48.0,4.0,437.0,395.0,232.0,10382.0
77003,2337.0,223.0,144.0,545.0,440.0,407.0,455.0,123.0,7082.0
77004,9697.0,336.0,247.0,688.0,837.0,945.0,4939.0,1705.0,18260.0
77005,9603.0,925.0,369.0,1446.0,1541.0,1295.0,3031.0,996.0,15566.0
77006,3881.0,365.0,50.0,364.0,258.0,197.0,1564.0,1083.0,16111.0
77007,4040.0,265.0,208.0,435.0,498.0,542.0,1139.0,953.0,22621.0
77008,5240.0,540.0,375.0,956.0,561.0,992.0,1350.0,466.0,23076.0
77009,9253.0,625.0,602.0,2201.0,1758.0,1888.0,1584.0,595.0,27267.0
77010,49.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,149.0
77011,5588.0,317.0,522.0,1675.0,1196.0,1164.0,674.0,40.0,13552.0
77012,5065.0,386.0,398.0,1250.0,1040.0,1092.0,881.0,18.0,14618.0
77013,4981.0,291.0,364.0,1111.0,790.0,1329.0,941.0,155.0,13183.0
77014,9883.0,667.0,812.0,2337.0,1750.0,1926.0,2091.0,300.0,17503.0
77015,15689.0,840.0,1063.0,3684.0,3952.0,3859.0,2149.0,142.0,35269.0
77016,6728.0,335.0,472.0,1474.0,1725.0,1624.0,903.0,195.0,19301.0
77017,9828.0,638.0,824.0,2595.0,2032.0,2286.0,1372.0,81.0,22277.0
77018,5181.0,417.0,228.0,1129.0,1003.0,945.0,1193.0,266.0,20769.0
77019,3991.0,422.0,175.0,732.0,704.0,564.0,749.0,645.0,15343.0
77020,7226.0,380.0,543.0,2149.0,1833.0,1359.0,792.0,170.0,18626.0
77021,6962.0,410.0,461.0,1428.0,1192.0,1203.0,1699.0,569.0,17206.0
77022,7625.0,430.0,362.0,1641.0,2103.0,2145.0,850.0,94.0,19547.0
77023,8330.0,508.0,583.0,1929.0,1765.0,2005.0,1402.0,138.0,21068.0
77024,9236.0,606.0,483.0,1958.0,2420.0,2243.0,1133.0,393.0,24820.0
77025,6818.0,675.0,451.0,1072.0,962.0,1267.0,1328.0,1063.0,17687.0
77026,6795.0,613.0,319.0,1819.0,1536.0,1583.0,872.0,53.0,16668.0
77027,2726.0,290.0,62.0,274.0,373.0,332.0,648.0,747.0,12023.0
77028,4677.0,324.0,268.0,1083.0,1153.0,1176.0,573.0,100.0,11982.0
77029,4535.0,291.0,292.0,767.0,959.0,1220.0,901.0,105.0,12633.0
77030,3587.0,289.0,156.0,405.0,331.0,273.0,919.0,1214.0,7257.0
77031,4334.0,264.0,116.0,1035.0,969.0,812.0,1000.0,138.0,11036.0
