Zipcode,Less than high school graduate,High school graduate (includes equivalency),Some college or associate degree,Bachelor degree,Graduate or professional degree
77077,1814.0,5622.0,10899.0,12173.0,8506.0
77078,2843.0,3541.0,2433.0,556.0,153.0
77079,1224.0,2684.0,3769.0,8909.0,5145.0
77080,9973.0,8850.0,6039.0,3116.0,1196.0
77081,9886.0,7619.0,4492.0,3272.0,1773.0
77082,3971.0,8603.0,10940.0,8534.0,4449.0
77083,9710.0,10115.0,13111.0,8893.0,3422.0
77084,9729.0,15574.0,20486.0,13025.0,4658.0
77085,3112.0,2921.0,2472.0,1218.0,672.0
77086,6548.0,5520.0,3391.0,988.0,338.0
77087,9295.0,6318.0,4073.0,1500.0,477.0
77088,10111.0,10448.0,8494.0,3371.0,1294.0
77089,6144.0,8820.0,12105.0,4793.0,2149.0
77090,3579.0,5298.0,7355.0,3386.0,1664.0
77091,4516.0,4762.0,3856.0,1361.0,702.0
77092,7119.0,7003.0,5249.0,2592.0,1006.0
77093,12650.0,7134.0,3505.0,793.0,205.0
77094,95.0,479.0,1015.0,2515.0,1765.0
77095,3512.0,8541.0,14299.0,13038.0,5823.0
77096,2117.0,3810.0,5905.0,6852.0,5700.0
77098,244.0,293.0,1931.0,3811.0,3896.0
77099,8990.0,8046.0,7493.0,3241.0,1441.0
77201,0.0,0.0,0.0,0.0,0.0
77336,757.0,2592.0,2954.0,1279.0,288.0
77338,3647.0,6467.0,8421.0,3417.0,1072.0
77339,1107.0,4520.0,10069.0,7807.0,3508.0
77345,390.0,1939.0,4774.0,7483.0,4210.0
77346,2388.0,7079.0,13828.0,9778.0,3814.0
77373,3409.0,11240.0,13389.0,5398.0,2234.0
77375,2374.0,7960.0,8790.0,5650.0,2300.0
77377,1845.0,3450.0,6490.0,6069.0,2686.0
77379,3228.0,8212.0,14806.0,15085.0,8230.0
77388,2472.0,5696.0,10258.0,6523.0,3787.0
77389,1050.0,3139.0,5094.0,6166.0,2668.0
77396,5310.0,7625.0,9695.0,4845.0,2698.0
77401,287.0,658.0,1810.0,3935.0,5699.0
77429,2439.0,8876.0,14738.0,16384.0,6915.0
77433,3079.0,7308.0,9947.0,11536.0,5837.0
77447,1713.0,2900.0,2523.0,839.0,299.0
77449,9212.0,16359.0,21131.0,10708.0,3558.0
77450,2995.0,6507.0,13227.0,16714.0,8136.0
77493,2421.0,3882.0,5252.0,3412.0,1451.0
77502,8168.0,7193.0,5321.0,1111.0,496.0
77503,4238.0,4519.0,4394.0,887.0,378.0
77504,3370.0,4430.0,4799.0,1599.0,631.0
77505,1717.0,4239.0,5760.0,2652.0,1195.0
77506,9168.0,6648.0,3421.0,764.0,110.0
77507,0.0,0.0,0.0,0.0,0.0
77520,7449.0,5912.0,7182.0,1738.0,689.0
77521,5663.0,8593.0,12627.0,3999.0,1629.0
77530,5709.0,5832.0,4661.0,849.0,258.0
77532,2529.0,6004.0,6629.0,2628.0,801.0
77536,2513.0,5103.0,8757.0,3028.0,1243.0
77547,2251.0,1613.0,1448.0,295.0,66.0
77562,999.0,2490.0,2505.0,301.0,208.0
77571,2839.0,7733.0,9640.0,2910.0,1214.0
77586,612.0,2136.0,4929.0,5003.0,2263.0
77587,4200.0,2939.0,1466.0,497.0,190.0
77598,1871.0,3409.0,5620.0,3065.0,1165.0
