Zipcode,Less than high school graduate,High school graduate (includes equivalency),Some college or associate degree,Bachelor degree,Graduate or professional degree
77002,2384.0,2419.0,2087.0,1327.0,1179.0
77003,2115.0,1375.0,1783.0,1327.0,708.0
77004,2557.0,3132.0,5094.0,4795.0,4807.0
77005,266.0,728.0,1935.0,6103.0,8105.0
77006,644.0,1436.0,3684.0,5712.0,5732.0
77007,1967.0,2399.0,3822.0,10282.0,8316.0
77008,2227.0,3135.0,4983.0,9028.0,5735.0
77009,8051.0,5904.0,5050.0,3909.0,2760.0
77010,10.0,7.0,68.0,260.0,353.0
77011,6328.0,3064.0,1908.0,262.0,115.0
77012,6686.0,3138.0,2172.0,707.0,124.0
77013,5376.0,3616.0,2593.0,313.0,225.0
77014,4966.0,5084.0,6200.0,2300.0,894.0
77015,11495.0,8965.0,7851.0,2486.0,984.0
77016,4153.0,7546.0,4331.0,1061.0,734.0
77017,8358.0,6239.0,4221.0,962.0,451.0
77018,3037.0,4021.0,4584.0,4955.0,3224.0
77019,746.0,914.0,2759.0,6331.0,5120.0
77020,7325.0,4206.0,3107.0,779.0,313.0
77021,3266.0,4634.0,5035.0,2234.0,1900.0
77022,8241.0,5197.0,3452.0,841.0,325.0
77023,6777.0,4805.0,3928.0,1670.0,589.0
77024,862.0,1931.0,3905.0,10633.0,8763.0
77025,1398.0,1714.0,3498.0,5782.0,7673.0
77026,5776.0,4500.0,3294.0,708.0,241.0
77027,277.0,528.0,2446.0,5044.0,4361.0
77028,2625.0,4060.0,2237.0,475.0,233.0
77029,5272.0,3028.0,2474.0,494.0,262.0
77030,139.0,256.0,803.0,2372.0,3739.0
77031,3139.0,2557.0,2583.0,1722.0,640.0
77032,2593.0,1831.0,1754.0,256.0,157.0
77033,5368.0,7004.0,3920.0,833.0,292.0
77034,6615.0,6261.0,6166.0,2457.0,484.0
77035,6519.0,4662.0,5499.0,3681.0,2478.0
77036,17492.0,11299.0,8632.0,4889.0,1756.0
77037,6928.0,3144.0,1577.0,380.0,39.0
77038,6961.0,4639.0,2920.0,950.0,357.0
77039,8205.0,4676.0,2397.0,458.0,155.0
77040,6080.0,8110.0,8414.0,5167.0,2519.0
77041,4563.0,5077.0,5679.0,4921.0,3182.0
77042,3292.0,4148.0,7630.0,7733.0,4149.0
77043,3212.0,3663.0,4546.0,3566.0,1317.0
77044,3839.0,5297.0,6841.0,3876.0,2209.0
77045,5298.0,6244.0,5299.0,1598.0,838.0
77046,0.0,23.0,218.0,387.0,248.0
77047,2436.0,4396.0,5186.0,2750.0,1558.0
77048,2333.0,3268.0,2986.0,952.0,442.0
77049,4913.0,4187.0,5059.0,2070.0,1055.0
77050,1043.0,1036.0,796.0,205.0,100.0
77051,2216.0,3294.0,2977.0,659.0,227.0
77054,276.0,1620.0,4414.0,4850.0,4906.0
77055,8254.0,5713.0,4897.0,5353.0,3152.0
77056,252.0,1048.0,2788.0,6793.0,4094.0
77057,4197.0,2864.0,6186.0,9475.0,6256.0
77058,913.0,1830.0,4390.0,2923.0,2008.0
77059,618.0,893.0,2133.0,4963.0,3539.0
77060,11195.0,6627.0,4210.0,812.0,424.0
77061,5132.0,5069.0,2905.0,1391.0,327.0
77062,1305.0,2689.0,5840.0,5542.0,2878.0
77063,3005.0,4313.0,7003.0,7319.0,3851.0
77064,4423.0,7892.0,9556.0,7325.0,2402.0
77065,3234.0,6380.0,8189.0,4775.0,1997.0
77066,4357.0,5906.0,5846.0,3092.0,1187.0
77067,5182.0,5260.0,5505.0,1449.0,422.0
77068,1151.0,1642.0,2202.0,1901.0,826.0
77069,478.0,2056.0,4439.0,4117.0,1988.0
77070,2168.0,6979.0,11109.0,8777.0,3488.0
77071,2969.0,3883.0,4933.0,4025.0,2295.0
77072,14055.0,9136.0,7763.0,3914.0,1078.0
77073,4738.0,7560.0,7374.0,2723.0,908.0
77074,7023.0,6583.0,5276.0,3199.0,1142.0
77075,7351.0,7311.0,5778.0,2551.0,970.0
77076,8993.0,6077.0,2739.0,598.0,121.0
