Zipcode,Total Travel Time,Travel Time Less than 5 minutes,Travel Time 5 to 9 minutes,Travel Time 10 to 14 minutes,Travel Time 15 to 19 minutes,Travel Time 15 to 19 minutes,Travel Time 20 to 24 minutes,Travel Time 25 to 29 minutes,Travel Time 30 to 34 minutes,Travel Time 35 to 39 minutes,Travel Time 40 to 44 minutes,Travel Time 45 to 59 minutes,Travel Time 60 to 89 minutes,Travel Time 90 or more minutes
77520,14204.0,459.0,1596.0,2228.0,3143.0,3143.0,2151.0,600.0,1831.0,266.0,290.0,715.0,473.0,452.0
77521,20413.0,654.0,2263.0,3320.0,3689.0,3689.0,3486.0,1237.0,2071.0,383.0,654.0,1293.0,1011.0,352.0
77530,12369.0,381.0,1025.0,1439.0,1814.0,1814.0,1853.0,912.0,1985.0,473.0,465.0,1105.0,555.0,362.0
77532,11520.0,298.0,759.0,659.0,744.0,744.0,1294.0,818.0,1961.0,823.0,849.0,2138.0,998.0,179.0
77536,14495.0,372.0,1899.0,1784.0,2704.0,2704.0,2059.0,900.0,1922.0,652.0,503.0,1090.0,517.0,93.0
77547,3802.0,103.0,248.0,367.0,1043.0,1043.0,383.0,266.0,833.0,21.0,50.0,291.0,68.0,129.0
77562,4465.0,222.0,226.0,383.0,988.0,988.0,712.0,144.0,727.0,146.0,179.0,396.0,289.0,53.0
77571,17478.0,582.0,1660.0,2294.0,2644.0,2644.0,2866.0,943.0,2575.0,550.0,614.0,1448.0,1098.0,204.0
77586,10608.0,133.0,803.0,1674.0,1532.0,1532.0,1350.0,908.0,1196.0,363.0,397.0,1146.0,832.0,274.0
77587,6548.0,83.0,667.0,948.0,1080.0,1080.0,756.0,277.0,1303.0,143.0,266.0,428.0,462.0,135.0
77598,13152.0,302.0,2001.0,2299.0,1746.0,1746.0,1712.0,687.0,1862.0,332.0,479.0,822.0,765.0,145.0
77002,2969.0,57.0,455.0,545.0,616.0,616.0,607.0,214.0,211.0,85.0,4.0,101.0,47.0,27.0
77003,5092.0,123.0,549.0,547.0,933.0,933.0,860.0,474.0,768.0,98.0,76.0,129.0,439.0,96.0
77004,15093.0,545.0,1926.0,3196.0,3133.0,3133.0,2126.0,596.0,1548.0,322.0,274.0,559.0,502.0,366.0
77005,11460.0,321.0,1336.0,2466.0,2995.0,2995.0,1975.0,548.0,1015.0,216.0,182.0,284.0,69.0,53.0
77006,14250.0,593.0,1643.0,3125.0,2796.0,2796.0,2009.0,810.0,1952.0,237.0,223.0,437.0,272.0,153.0
77007,21473.0,383.0,1734.0,3466.0,4543.0,4543.0,3533.0,1953.0,3604.0,596.0,406.0,756.0,348.0,151.0
77008,19023.0,546.0,1374.0,2563.0,3216.0,3216.0,3702.0,1547.0,3526.0,402.0,705.0,1036.0,321.0,85.0
77009,17442.0,382.0,1459.0,2089.0,3068.0,3068.0,3438.0,700.0,3293.0,445.0,720.0,889.0,562.0,397.0
77010,488.0,18.0,80.0,97.0,101.0,101.0,52.0,28.0,95.0,0.0,0.0,17.0,0.0,0.0
77011,7207.0,163.0,521.0,685.0,1095.0,1095.0,817.0,684.0,2002.0,184.0,246.0,322.0,336.0,152.0
77012,9413.0,210.0,461.0,882.0,1460.0,1460.0,1828.0,442.0,1971.0,243.0,218.0,549.0,819.0,330.0
77013,8152.0,87.0,481.0,1197.0,1422.0,1422.0,1096.0,475.0,1764.0,210.0,331.0,580.0,509.0,0.0
77014,14448.0,18.0,641.0,1455.0,1910.0,1910.0,1903.0,582.0,3613.0,564.0,499.0,2060.0,1058.0,145.0
77015,22572.0,463.0,2230.0,2735.0,3670.0,3670.0,3013.0,1141.0,4564.0,586.0,816.0,1830.0,1135.0,389.0
77016,9187.0,43.0,256.0,562.0,1271.0,1271.0,1904.0,483.0,1971.0,358.0,410.0,959.0,844.0,126.0
77017,13549.0,154.0,655.0,1562.0,2274.0,2274.0,2139.0,641.0,3326.0,294.0,800.0,896.0,571.0,237.0
77018,13323.0,217.0,720.0,1398.0,2006.0,2006.0,2577.0,1431.0,2784.0,411.0,509.0,755.0,362.0,153.0
77019,12362.0,236.0,1924.0,2700.0,2169.0,2169.0,1908.0,700.0,1712.0,321.0,175.0,318.0,100.0,99.0
77020,9753.0,112.0,561.0,1152.0,1450.0,1450.0,1477.0,476.0,2111.0,233.0,317.0,769.0,845.0,250.0
77021,10056.0,293.0,762.0,1708.0,1619.0,1619.0,1617.0,606.0,1598.0,334.0,201.0,541.0,479.0,298.0
77022,10791.0,150.0,655.0,942.0,1588.0,1588.0,2108.0,528.0,2410.0,233.0,370.0,917.0,649.0,241.0
77023,13189.0,345.0,1154.0,1784.0,2236.0,2236.0,2086.0,749.0,2574.0,281.0,472.0,708.0,696.0,104.0
77024,15673.0,408.0,1412.0,2332.0,3114.0,3114.0,3260.0,1199.0,2293.0,377.0,372.0,576.0,254.0,76.0
77025,13397.0,289.0,985.0,1951.0,2796.0,2796.0,2884.0,1005.0,1863.0,230.0,300.0,450.0,474.0,170.0
77026,7334.0,200.0,291.0,914.0,1072.0,1072.0,948.0,245.0,1692.0,156.0,337.0,323.0,883.0,273.0
77027,10100.0,345.0,1174.0,2127.0,1829.0,1829.0,1970.0,717.0,1191.0,157.0,96.0,359.0,75.0,60.0
77028,5166.0,66.0,145.0,567.0,805.0,805.0,808.0,396.0,1348.0,156.0,119.0,368.0,318.0,70.0
77029,5768.0,166.0,436.0,757.0,957.0,957.0,1010.0,380.0,1031.0,54.0,149.0,407.0,362.0,59.0
77030,5765.0,159.0,621.0,1417.0,1102.0,1102.0,1015.0,281.0,677.0,64.0,84.0,160.0,147.0,38.0
77031,8056.0,21.0,151.0,990.0,541.0,541.0,2476.0,749.0,1445.0,511.0,220.0,387.0,421.0,144.0
77032,3646.0,27.0,235.0,249.0,556.0,556.0,287.0,85.0,1068.0,94.0,164.0,382.0,448.0,51.0
77033,8978.0,84.0,338.0,776.0,1365.0,1365.0,2144.0,587.0,1921.0,167.0,200.0,478.0,632.0,286.0
77034,16672.0,415.0,1217.0,2408.0,2171.0,2171.0,2417.0,1062.0,2972.0,306.0,801.0,1390.0,1056.0,457.0
77035,15888.0,179.0,834.0,1238.0,2309.0,2309.0,3426.0,1239.0,3356.0,457.0,900.0,912.0,708.0,330.0
77036,31404.0,526.0,1133.0,2143.0,3704.0,3704.0,7414.0,4326.0,5471.0,1480.0,1065.0,2057.0,1683.0,402.0
77037,8574.0,151.0,388.0,613.0,756.0,756.0,1201.0,453.0,2693.0,133.0,420.0,963.0,474.0,329.0
77038,11078.0,108.0,401.0,805.0,1522.0,1522.0,1260.0,788.0,2885.0,355.0,735.0,950.0,962.0,307.0
