Zipcode,Estimate!!Total,Estimate!!Total!!Below 100 percent of the poverty level,Estimate!!Total!!100 to 149 percent of the poverty level,Estimate!!Total!!At or above 150 percent of the poverty level,Estimate!!Total!!Same house 1 year ago,Estimate!!Total!!Same house 1 year ago!!Below 100 percent of the poverty level,Estimate!!Total!!Same house 1 year ago!!100 to 149 percent of the poverty level,Estimate!!Total!!Same house 1 year ago!!At or above 150 percent of the poverty level,Estimate!!Total!!Moved within same county,Estimate!!Total!!Moved within same county!!Below 100 percent of the poverty level,Estimate!!Total!!Moved within same county!!100 to 149 percent of the poverty level,Estimate!!Total!!Moved within same county!!At or above 150 percent of the poverty level,Estimate!!Total!!Moved from different county within same state,Estimate!!Total!!Moved from different county within same state!!Below 100 percent of the poverty level,Estimate!!Total!!Moved from different county within same state!!100 to 149 percent of the poverty level,Estimate!!Total!!Moved from different county within same state!!At or above 150 percent of the poverty level,Estimate!!Total!!Moved from different state,Estimate!!Total!!Moved from different state!!Below 100 percent of the poverty level,Estimate!!Total!!Moved from different state!!100 to 149 percent of the poverty level,Estimate!!Total!!Moved from different state!!At or above 150 percent of the poverty level,Estimate!!Total!!Moved from abroad,Estimate!!Total!!Moved from abroad!!Below 100 percent of the poverty level,Estimate!!Total!!Moved from abroad!!100 to 149 percent of the poverty level,Estimate!!Total!!Moved from abroad!!At or above 150 percent of the poverty level
77562,10674.0,1279.0,1296.0,8099.0,8837.0,822.0,951.0,7064.0,1215.0,239.0,139.0,837.0,387.0,0.0,206.0,181.0,235.0,218.0,0.0,17.0,0.0,0.0,0.0,0.0
77571,35284.0,3618.0,3204.0,28462.0,29840.0,2851.0,2518.0,24471.0,3765.0,507.0,408.0,2850.0,1219.0,117.0,123.0,979.0,433.0,143.0,155.0,135.0,27.0,0.0,0.0,27.0
77586,21540.0,1374.0,1013.0,19153.0,18151.0,896.0,640.0,16615.0,1298.0,201.0,157.0,940.0,1088.0,239.0,133.0,716.0,795.0,38.0,83.0,674.0,208.0,0.0,0.0,208.0
77587,16379.0,5041.0,2362.0,8976.0,13672.0,3573.0,2083.0,8016.0,2504.0,1442.0,197.0,865.0,36.0,0.0,21.0,15.0,148.0,26.0,42.0,80.0,19.0,0.0,19.0,0.0
77598,22945.0,3271.0,2890.0,16784.0,14821.0,1463.0,1783.0,11575.0,4619.0,1273.0,748.0,2598.0,2059.0,365.0,177.0,1517.0,1218.0,170.0,113.0,935.0,228.0,0.0,69.0,159.0
77002,4511.0,848.0,370.0,3293.0,2469.0,384.0,114.0,1971.0,1141.0,236.0,101.0,804.0,340.0,165.0,23.0,152.0,436.0,52.0,98.0,286.0,125.0,11.0,34.0,80.0
77003,10447.0,4020.0,1155.0,5272.0,8574.0,3254.0,1093.0,4227.0,1271.0,516.0,35.0,720.0,427.0,178.0,27.0,222.0,124.0,36.0,0.0,88.0,51.0,36.0,0.0,15.0
77004,25535.0,7244.0,2336.0,15955.0,18609.0,4554.0,1502.0,12553.0,4724.0,1904.0,706.0,2114.0,1062.0,529.0,81.0,452.0,679.0,147.0,9.0,523.0,461.0,110.0,38.0,313.0
77005,22893.0,654.0,436.0,21803.0,20247.0,493.0,344.0,19410.0,1229.0,77.0,77.0,1075.0,302.0,1.0,6.0,295.0,603.0,67.0,9.0,527.0,512.0,16.0,0.0,496.0
77006,19936.0,2440.0,1422.0,16074.0,14793.0,1569.0,1078.0,12146.0,3337.0,540.0,204.0,2593.0,682.0,165.0,24.0,493.0,718.0,93.0,116.0,509.0,406.0,73.0,0.0,333.0
77007,30465.0,2936.0,1545.0,25984.0,22680.0,2136.0,1236.0,19308.0,5236.0,456.0,223.0,4557.0,968.0,124.0,33.0,811.0,1139.0,160.0,53.0,926.0,442.0,60.0,0.0,382.0
77008,29844.0,2791.0,1863.0,25190.0,23847.0,1830.0,1440.0,20577.0,4381.0,440.0,328.0,3613.0,788.0,291.0,17.0,480.0,599.0,101.0,78.0,420.0,229.0,129.0,0.0,100.0
77009,38733.0,10571.0,4502.0,23660.0,32154.0,8470.0,3767.0,19917.0,5401.0,1689.0,668.0,3044.0,492.0,322.0,50.0,120.0,451.0,88.0,6.0,357.0,235.0,2.0,11.0,222.0
77010,564.0,52.0,0.0,512.0,247.0,0.0,0.0,247.0,153.0,52.0,0.0,101.0,34.0,0.0,0.0,34.0,121.0,0.0,0.0,121.0,9.0,0.0,0.0,9.0
77011,19164.0,6685.0,3699.0,8780.0,15860.0,5095.0,2935.0,7830.0,2569.0,1345.0,535.0,689.0,268.0,132.0,36.0,100.0,267.0,39.0,117.0,111.0,200.0,74.0,76.0,50.0
77012,21415.0,5861.0,4653.0,10901.0,17454.0,4319.0,3343.0,9792.0,3504.0,1383.0,1139.0,982.0,245.0,138.0,92.0,15.0,132.0,14.0,74.0,44.0,80.0,7.0,5.0,68.0
77013,18017.0,4772.0,2677.0,10568.0,14088.0,3428.0,2109.0,8551.0,3106.0,942.0,532.0,1632.0,414.0,182.0,18.0,214.0,273.0,122.0,18.0,133.0,136.0,98.0,0.0,38.0
77014,29904.0,8013.0,3745.0,18146.0,22023.0,3798.0,2773.0,15452.0,6610.0,3648.0,778.0,2184.0,139.0,5.0,0.0,134.0,981.0,439.0,194.0,348.0,151.0,123.0,0.0,28.0
77015,55781.0,12588.0,9745.0,33448.0,46904.0,9537.0,8258.0,29109.0,7498.0,2613.0,1326.0,3559.0,717.0,198.0,109.0,410.0,468.0,224.0,42.0,202.0,194.0,16.0,10.0,168.0
77016,26441.0,7362.0,4176.0,14903.0,23538.0,6362.0,3826.0,13350.0,2432.0,860.0,284.0,1288.0,331.0,128.0,17.0,186.0,129.0,12.0,49.0,68.0,11.0,0.0,0.0,11.0
77017,32602.0,8226.0,6892.0,17484.0,28083.0,6921.0,5950.0,15212.0,3567.0,1036.0,861.0,1670.0,261.0,26.0,46.0,189.0,537.0,230.0,35.0,272.0,154.0,13.0,0.0,141.0
77018,26069.0,4722.0,2434.0,18913.0,21964.0,3450.0,1855.0,16659.0,3036.0,785.0,488.0,1763.0,537.0,180.0,77.0,280.0,271.0,164.0,14.0,93.0,261.0,143.0,0.0,118.0
77019,19656.0,1934.0,805.0,16917.0,13999.0,1204.0,330.0,12465.0,3730.0,413.0,141.0,3176.0,756.0,92.0,210.0,454.0,925.0,208.0,109.0,608.0,246.0,17.0,15.0,214.0
77020,26168.0,9011.0,4537.0,12620.0,23121.0,7637.0,4105.0,11379.0,2675.0,1171.0,367.0,1137.0,163.0,100.0,26.0,37.0,95.0,36.0,39.0,20.0,114.0,67.0,0.0,47.0
77021,24729.0,7585.0,3688.0,13456.0,20308.0,5899.0,2844.0,11565.0,3672.0,1494.0,741.0,1437.0,179.0,70.0,0.0,109.0,451.0,103.0,50.0,298.0,119.0,19.0,53.0,47.0
77022,28153.0,8549.0,5909.0,13695.0,24366.0,7000.0,5374.0,11992.0,3404.0,1415.0,450.0,1539.0,115.0,40.0,12.0,63.0,81.0,35.0,37.0,9.0,187.0,59.0,36.0,92.0
77023,29400.0,8170.0,5073.0,16157.0,24886.0,5965.0,4363.0,14558.0,3614.0,1812.0,585.0,1217.0,491.0,267.0,18.0,206.0,270.0,105.0,42.0,123.0,139.0,21.0,65.0,53.0
77024,34891.0,1240.0,1045.0,32606.0,28928.0,863.0,783.0,27282.0,4184.0,228.0,209.0,3747.0,657.0,133.0,18.0,506.0,659.0,0.0,0.0,659.0,463.0,16.0,35.0,412.0
77025,25923.0,2552.0,1475.0,21896.0,20276.0,1797.0,1110.0,17369.0,3271.0,425.0,115.0,2731.0,799.0,134.0,22.0,643.0,1084.0,114.0,118.0,852.0,493.0,82.0,110.0,301.0
77026,22448.0,10313.0,3634.0,8501.0,18514.0,7422.0,3314.0,7778.0,3599.0,2705.0,297.0,597.0,198.0,161.0,10.0,27.0,75.0,4.0,0.0,71.0,62.0,21.0,13.0,28.0
77027,15251.0,916.0,699.0,13636.0,11198.0,513.0,471.0,10214.0,2619.0,179.0,124.0,2316.0,472.0,152.0,0.0,320.0,736.0,72.0,16.0,648.0,226.0,0.0,88.0,138.0
77028,15504.0,3898.0,2732.0,8874.0,14113.0,3514.0,2393.0,8206.0,1207.0,314.0,267.0,626.0,70.0,28.0,0.0,42.0,9.0,9.0,0.0,0.0,105.0,33.0,72.0,0.0
77029,17782.0,5508.0,3466.0,8808.0,15493.0,4132.0,3120.0,8241.0,2070.0,1277.0,282.0,511.0,43.0,0.0,22.0,21.0,46.0,46.0,0.0,0.0,130.0,53.0,42.0,35.0
77030,10667.0,1350.0,272.0,9045.0,7928.0,632.0,182.0,7114.0,1475.0,279.0,46.0,1150.0,520.0,279.0,0.0,241.0,396.0,54.0,0.0,342.0,348.0,106.0,44.0,198.0
77031,17693.0,4393.0,2852.0,10448.0,14201.0,2755.0,2309.0,9137.0,3101.0,1434.0,530.0,1137.0,155.0,36.0,0.0,119.0,179.0,132.0,13.0,34.0,57.0,36.0,0.0,21.0
77032,12758.0,4991.0,2871.0,4896.0,9820.0,3544.0,2130.0,4146.0,2123.0,1078.0,578.0,467.0,491.0,201.0,58.0,232.0,289.0,168.0,105.0,16.0,35.0,0.0,0.0,35.0
77033,26860.0,8406.0,5351.0,13103.0,23114.0,6916.0,4597.0,11601.0,3264.0,1403.0,621.0,1240.0,183.0,38.0,82.0,63.0,246.0,17.0,43.0,186.0,53.0,32.0,8.0,13.0
77034,34733.0,7168.0,4921.0,22644.0,27528.0,5115.0,3925.0,18488.0,5503.0,1625.0,641.0,3237.0,982.0,276.0,289.0,417.0,592.0,152.0,18.0,422.0,128.0,0.0,48.0,80.0
77035,34697.0,9668.0,5890.0,19139.0,27730.0,6873.0,4347.0,16510.0,4494.0,1784.0,1057.0,1653.0,1113.0,284.0,210.0,619.0,586.0,188.0,176.0,222.0,774.0,539.0,100.0,135.0
77036,66410.0,23377.0,13035.0,29998.0,50486.0,16448.0,9705.0,24333.0,12564.0,5550.0,2608.0,4406.0,828.0,278.0,113.0,437.0,1022.0,348.0,342.0,332.0,1510.0,753.0,267.0,490.0
77037,19665.0,6862.0,3070.0,9733.0,17228.0,5874.0,2546.0,8808.0,2200.0,813.0,524.0,863.0,94.0,77.0,0.0,17.0,5.0,4.0,0.0,1.0,138.0,94.0,0.0,44.0
77038,27606.0,7983.0,4528.0,15095.0,23378.0,6264.0,3767.0,13347.0,3602.0,1549.0,644.0,1409.0,98.0,37.0,59.0,2.0,227.0,68.0,0.0,159.0,301.0,65.0,58.0,178.0
77039,27332.0,8009.0,5349.0,13974.0,23435.0,6023.0,4967.0,12445.0,3408.0,1746.0,338.0,1324.0,207.0,63.0,33.0,111.0,116.0,79.0,0.0,37.0,166.0,98.0,11.0,57.0
77040,43951.0,5802.0,4542.0,33607.0,37214.0,4360.0,3570.0,29284.0,5246.0,1217.0,871.0,3158.0,358.0,98.0,11.0,249.0,958.0,107.0,66.0,785.0,175.0,20.0,24.0,131.0
77041,36161.0,4794.0,4414.0,26953.0,31016.0,4106.0,3949.0,22961.0,3703.0,525.0,159.0,3019.0,353.0,69.0,32.0,252.0,759.0,0.0,233.0,526.0,330.0,94.0,41.0,195.0
77042,35985.0,6033.0,3720.0,26232.0,25043.0,3511.0,2431.0,19101.0,7445.0,1433.0,975.0,5037.0,1372.0,200.0,60.0,1112.0,1297.0,346.0,238.0,713.0,828.0,543.0,16.0,269.0
77043,22779.0,4231.0,1811.0,16737.0,20154.0,3116.0,1511.0,15527.0,2331.0,1037.0,287.0,1007.0,65.0,12.0,8.0,45.0,97.0,19.0,5.0,73.0,132.0,47.0,0.0,85.0
77044,33046.0,4971.0,3276.0,24799.0,29152.0,3841.0,3219.0,22092.0,2833.0,866.0,57.0,1910.0,714.0,264.0,0.0,450.0,180.0,0.0,0.0,180.0,167.0,0.0,0.0,167.0
77045,32130.0,9353.0,5836.0,16941.0,29627.0,8628.0,5112.0,15887.0,1825.0,474.0,587.0,764.0,458.0,208.0,84.0,166.0,207.0,37.0,53.0,117.0,13.0,6.0,0.0,7.0
77046,1103.0,59.0,35.0,1009.0,815.0,47.0,14.0,754.0,127.0,12.0,10.0,105.0,0.0,0.0,0.0,0.0,104.0,0.0,11.0,93.0,57.0,0.0,0.0,57.0
77047,22008.0,2928.0,2713.0,16367.0,19310.0,2388.0,2362.0,14560.0,1773.0,466.0,323.0,984.0,604.0,27.0,13.0,564.0,262.0,47.0,15.0,200.0,59.0,0.0,0.0,59.0
77048,15797.0,3775.0,2127.0,9895.0,12962.0,2869.0,1556.0,8537.0,2448.0,620.0,546.0,1282.0,131.0,96.0,9.0,26.0,163.0,111.0,16.0,36.0,93.0,79.0,0.0,14.0
77049,28957.0,4997.0,4752.0,19208.0,25675.0,3733.0,4330.0,17612.0,2649.0,969.0,332.0,1348.0,343.0,175.0,60.0,108.0,94.0,46.0,30.0,18.0,196.0,74.0,0.0,122.0
77050,4123.0,867.0,682.0,2574.0,3650.0,742.0,576.0,2332.0,361.0,93.0,75.0,193.0,16.0,0.0,0.0,16.0,33.0,0.0,0.0,33.0,63.0,32.0,31.0,0.0
77051,14602.0,5289.0,3384.0,5929.0,11997.0,4114.0,2687.0,5196.0,2329.0,1059.0,686.0,584.0,149.0,43.0,0.0,106.0,115.0,73.0,11.0,31.0,12.0,0.0,0.0,12.0
77054,21293.0,5367.0,1098.0,14828.0,12959.0,3077.0,570.0,9312.0,5095.0,1367.0,390.0,3338.0,1285.0,368.0,89.0,828.0,870.0,141.0,19.0,710.0,1084.0,414.0,30.0,640.0
77055,43052.0,11703.0,6432.0,24917.0,35099.0,8433.0,5592.0,21074.0,6434.0,2950.0,730.0,2754.0,495.0,53.0,58.0,384.0,502.0,69.0,42.0,391.0,522.0,198.0,10.0,314.0
77056,16978.0,773.0,934.0,15271.0,12655.0,518.0,660.0,11477.0,2021.0,153.0,18.0,1850.0,770.0,13.0,107.0,650.0,712.0,51.0,89.0,572.0,820.0,38.0,60.0,722.0
77057,38924.0,7469.0,3951.0,27504.0,27976.0,5053.0,2901.0,20022.0,7294.0,1575.0,763.0,4956.0,1359.0,309.0,56.0,994.0,908.0,160.0,31.0,717.0,1387.0,372.0,200.0,815.0
