Zipcode,Total enrolled in school,"Enrolled in nursery school, preschool",Enrolled in kindergarten,Enrolled in grade 1 to grade 4,Enrolled in grade 5 to grade 8,Enrolled in grade 9 to grade 12,"Enrolled in college, undergraduate years",Graduate or professional school,Not enrolled in school
77002,877.0,13.0,0.0,0.0,5.0,223.0,445.0,191.0,10955.0
77003,2846.0,280.0,231.0,489.0,543.0,457.0,682.0,164.0,7308.0
77004,15086.0,567.0,182.0,1181.0,606.0,651.0,10522.0,1377.0,19745.0
77005,9523.0,675.0,543.0,1639.0,1239.0,1248.0,3420.0,759.0,16677.0
77006,4362.0,360.0,114.0,299.0,293.0,444.0,1654.0,1198.0,16945.0
77007,4974.0,383.0,202.0,750.0,585.0,724.0,1096.0,1234.0,27055.0
77008,5122.0,581.0,157.0,967.0,907.0,671.0,1159.0,680.0,25099.0
77009,10200.0,937.0,629.0,1874.0,2196.0,2299.0,1702.0,563.0,27555.0
77010,116.0,0.0,0.0,28.0,0.0,21.0,22.0,45.0,683.0
77011,6278.0,367.0,451.0,1385.0,1567.0,1207.0,1209.0,92.0,12303.0
77012,4907.0,403.0,436.0,1125.0,1032.0,1003.0,847.0,61.0,14386.0
77013,5506.0,216.0,496.0,1680.0,1102.0,1131.0,830.0,51.0,14402.0
77014,11398.0,577.0,528.0,2543.0,2142.0,2697.0,2734.0,177.0,20712.0
77015,16495.0,864.0,1164.0,4081.0,4084.0,3657.0,2429.0,216.0,37401.0
77016,6892.0,403.0,596.0,1336.0,1513.0,1576.0,1303.0,165.0,18798.0
77017,9712.0,726.0,695.0,2143.0,2216.0,2175.0,1621.0,136.0,22552.0
77018,5706.0,629.0,364.0,1385.0,970.0,924.0,1023.0,411.0,20360.0
77019,3596.0,360.0,156.0,494.0,636.0,706.0,667.0,577.0,16502.0
77020,6798.0,545.0,487.0,1581.0,1728.0,1514.0,861.0,82.0,17775.0
77021,7431.0,540.0,333.0,1151.0,1306.0,1498.0,2063.0,540.0,17799.0
77022,7345.0,342.0,445.0,1936.0,1773.0,1676.0,1137.0,36.0,19865.0
77023,7914.0,473.0,475.0,1987.0,1612.0,1536.0,1636.0,195.0,19106.0
77024,9981.0,968.0,697.0,1968.0,2330.0,2319.0,1169.0,530.0,26226.0
77025,7549.0,945.0,387.0,1044.0,1072.0,1203.0,1646.0,1252.0,19541.0
77026,5780.0,495.0,303.0,1361.0,1377.0,1382.0,766.0,96.0,15989.0
77027,2833.0,80.0,68.0,280.0,365.0,414.0,1028.0,598.0,12491.0
77028,3589.0,215.0,298.0,1100.0,733.0,602.0,555.0,86.0,10512.0
77029,4670.0,266.0,297.0,1170.0,1071.0,1059.0,749.0,58.0,12283.0
77030,3210.0,141.0,83.0,477.0,344.0,192.0,574.0,1399.0,6569.0
77031,5283.0,304.0,603.0,1163.0,1165.0,777.0,1080.0,191.0,12187.0
77032,4043.0,254.0,253.0,1133.0,997.0,1065.0,338.0,3.0,8045.0
77033,7283.0,430.0,461.0,1696.0,1780.0,1686.0,1195.0,35.0,19266.0
77034,11946.0,789.0,644.0,2808.0,2618.0,2368.0,2377.0,342.0,25192.0
77035,9907.0,755.0,451.0,2796.0,2265.0,1844.0,1338.0,458.0,24803.0
77036,19102.0,1091.0,1476.0,5410.0,4666.0,3450.0,2589.0,420.0,51429.0
77037,6119.0,407.0,608.0,1570.0,1636.0,1195.0,681.0,22.0,13918.0
77038,9547.0,357.0,724.0,2357.0,2507.0,2193.0,1291.0,118.0,17794.0
77039,8748.0,441.0,777.0,2525.0,1916.0,2000.0,1065.0,24.0,19282.0
77040,12647.0,500.0,775.0,3103.0,2056.0,2988.0,2571.0,654.0,32186.0
77041,10722.0,600.0,630.0,2229.0,2465.0,2499.0,1956.0,343.0,24550.0
77042,9137.0,819.0,430.0,1810.0,1815.0,1138.0,2574.0,551.0,28331.0
77043,6460.0,483.0,342.0,1324.0,1157.0,1632.0,1289.0,233.0,17528.0
77044,12591.0,924.0,1057.0,3322.0,2616.0,2168.0,1880.0,624.0,22781.0
77045,11290.0,792.0,542.0,2510.0,2551.0,2409.0,2167.0,319.0,21290.0
77046,77.0,0.0,0.0,0.0,0.0,0.0,14.0,63.0,863.0
77047,7352.0,560.0,488.0,1536.0,1549.0,1082.0,1555.0,582.0,16634.0
77048,4821.0,164.0,233.0,958.0,942.0,1470.0,930.0,124.0,10825.0
77049,10378.0,590.0,699.0,2155.0,1829.0,2456.0,2269.0,380.0,19158.0
77050,1337.0,281.0,42.0,516.0,113.0,194.0,191.0,0.0,3361.0
77051,4221.0,356.0,264.0,951.0,631.0,751.0,1103.0,165.0,10012.0
77054,8149.0,408.0,265.0,464.0,404.0,271.0,3527.0,2810.0,13951.0
77055,11267.0,973.0,651.0,2704.0,2742.0,2357.0,1582.0,258.0,29861.0
77056,3181.0,187.0,164.0,433.0,461.0,285.0,1104.0,547.0,14927.0
77057,6812.0,750.0,389.0,1610.0,1155.0,789.0,1437.0,682.0,31012.0
77058,4729.0,119.0,198.0,697.0,599.0,715.0,1480.0,921.0,11750.0
77059,5677.0,238.0,190.0,1012.0,1458.0,1660.0,767.0,352.0,11988.0
77060,13246.0,934.0,1282.0,4005.0,2785.0,2643.0,1509.0,88.0,28935.0
77061,7381.0,402.0,425.0,1532.0,1741.0,1700.0,1398.0,183.0,16696.0
77062,7210.0,618.0,312.0,1241.0,1248.0,1639.0,1584.0,568.0,18370.0
77063,7364.0,354.0,569.0,1370.0,1115.0,1182.0,2020.0,754.0,27025.0
77064,12150.0,854.0,672.0,2712.0,2502.0,2921.0,2067.0,422.0,33643.0
77065,11758.0,545.0,607.0,2780.0,2447.0,2402.0,2421.0,556.0,25566.0
77066,9897.0,405.0,555.0,2085.0,2260.0,2235.0,2128.0,229.0,21678.0
77067,11018.0,570.0,763.0,2403.0,2072.0,2810.0,2151.0,249.0,19373.0
77068,2490.0,55.0,89.0,421.0,707.0,422.0,690.0,106.0,8199.0
77069,3206.0,241.0,124.0,658.0,645.0,747.0,740.0,51.0,13501.0
77070,13372.0,800.0,574.0,2737.0,2293.0,2814.0,3040.0,1114.0,34008.0
77071,8028.0,576.0,220.0,1731.0,1435.0,1912.0,1707.0,447.0,18888.0
77072,16583.0,622.0,925.0,3292.0,3418.0,4227.0,3812.0,287.0,39633.0
77073,14101.0,784.0,754.0,3173.0,3162.0,2658.0,3128.0,442.0,25207.0
77074,10084.0,646.0,786.0,2138.0,2010.0,1819.0,2394.0,291.0,24942.0
77075,12815.0,894.0,671.0,2720.0,3208.0,2631.0,2403.0,288.0,27232.0
77076,10179.0,453.0,891.0,2996.0,2332.0,2469.0,1008.0,30.0,22212.0
77077,13643.0,1151.0,768.0,2434.0,2131.0,2714.0,3421.0,1024.0,39182.0
77078,4548.0,336.0,198.0,1059.0,1125.0,1112.0,695.0,23.0,10815.0
77079,9705.0,702.0,460.0,2185.0,2350.0,2286.0,1260.0,462.0,22369.0
77080,11384.0,522.0,641.0,3271.0,2601.0,2466.0,1564.0,319.0,33406.0
77081,13616.0,872.0,1196.0,3560.0,2994.0,2253.0,2080.0,661.0,28960.0
77082,14143.0,1091.0,745.0,2730.0,2300.0,2622.0,3852.0,803.0,37668.0
77083,23017.0,1184.0,1286.0,4775.0,4222.0,4970.0,5736.0,844.0,47596.0
77084,30316.0,1614.0,1362.0,6277.0,6819.0,6599.0,6574.0,1071.0,67864.0
77085,5721.0,269.0,242.0,1439.0,1369.0,1186.0,1158.0,58.0,11302.0
77086,8413.0,544.0,767.0,1424.0,2353.0,1786.0,1406.0,133.0,18874.0
77087,10895.0,603.0,600.0,2697.0,2343.0,2375.0,2225.0,52.0,24071.0
77088,15537.0,865.0,921.0,4100.0,3542.0,3440.0,2406.0,263.0,37169.0
77089,16167.0,946.0,993.0,2529.0,3074.0,3346.0,4353.0,926.0,35203.0
77090,10599.0,623.0,649.0,2147.0,2076.0,2087.0,2574.0,443.0,22826.0
77091,6524.0,514.0,292.0,1447.0,1271.0,1257.0,1611.0,132.0,15982.0
77092,9569.0,472.0,630.0,2274.0,2141.0,2344.0,1501.0,207.0,25121.0
77093,12372.0,840.0,835.0,3237.0,2738.0,3017.0,1582.0,123.0,28217.0
77094,2633.0,95.0,73.0,500.0,771.0,662.0,381.0,151.0,5943.0
77095,21575.0,1787.0,876.0,4792.0,4495.0,4534.0,3686.0,1405.0,47145.0
77096,9750.0,976.0,546.0,2203.0,1773.0,1446.0,2208.0,598.0,24857.0
77098,2164.0,145.0,42.0,180.0,232.0,183.0,742.0,640.0,9897.0
77099,14194.0,854.0,612.0,3431.0,2961.0,2810.0,3023.0,503.0,31066.0
77201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77336,3172.0,168.0,233.0,852.0,566.0,933.0,390.0,30.0,8516.0
