Zipcode,Total enrolled in school,"Enrolled in nursery school, preschool",Enrolled in kindergarten,Enrolled in grade 1 to grade 4,Enrolled in grade 5 to grade 8,Enrolled in grade 9 to grade 12,"Enrolled in college, undergraduate years",Graduate or professional school,Not enrolled in school
77562,3086.0,182.0,234.0,692.0,405.0,806.0,689.0,78.0,7315.0
77571,10263.0,548.0,405.0,2355.0,2314.0,2197.0,2116.0,328.0,24329.0
77586,6316.0,511.0,377.0,1329.0,1074.0,1677.0,903.0,445.0,15011.0
77587,5332.0,367.0,243.0,1353.0,1365.0,1271.0,634.0,99.0,10568.0
77598,6000.0,387.0,380.0,1235.0,1100.0,820.0,1721.0,357.0,16210.0
77002,917.0,7.0,0.0,53.0,9.0,222.0,441.0,185.0,10593.0
77003,2972.0,266.0,84.0,626.0,521.0,625.0,764.0,86.0,7319.0
77004,12025.0,403.0,228.0,894.0,730.0,884.0,7545.0,1341.0,18562.0
77005,9162.0,526.0,374.0,1528.0,1423.0,1257.0,3298.0,756.0,15711.0
77006,3800.0,380.0,78.0,225.0,137.0,191.0,1722.0,1067.0,16370.0
77007,4318.0,354.0,259.0,578.0,592.0,537.0,946.0,1052.0,25460.0
77008,5209.0,451.0,214.0,843.0,880.0,831.0,1299.0,691.0,23934.0
77009,9881.0,809.0,635.0,2057.0,1987.0,2024.0,1763.0,606.0,27946.0
77010,88.0,0.0,0.0,28.0,0.0,0.0,15.0,45.0,476.0
77011,5603.0,366.0,418.0,1361.0,1299.0,1122.0,1005.0,32.0,12990.0
77012,5044.0,371.0,406.0,1322.0,1084.0,846.0,977.0,38.0,15397.0
77013,4845.0,254.0,473.0,1204.0,844.0,1153.0,849.0,68.0,13073.0
77014,9975.0,632.0,587.0,2196.0,1836.0,2160.0,2353.0,211.0,18795.0
77015,16861.0,766.0,1079.0,4027.0,3739.0,4213.0,2892.0,145.0,36761.0
77016,6756.0,351.0,566.0,1419.0,1689.0,1510.0,1024.0,197.0,19317.0
77017,9801.0,515.0,828.0,2308.0,2201.0,2460.0,1374.0,115.0,22140.0
77018,5641.0,569.0,326.0,1370.0,1077.0,895.0,1115.0,289.0,19830.0
77019,3803.0,420.0,199.0,533.0,672.0,631.0,630.0,718.0,15534.0
77020,7263.0,548.0,614.0,1980.0,1577.0,1516.0,878.0,150.0,18168.0
77021,6829.0,494.0,293.0,1028.0,1122.0,1418.0,1909.0,565.0,17581.0
77022,7913.0,453.0,431.0,1925.0,1840.0,2145.0,1076.0,43.0,19596.0
77023,8107.0,477.0,501.0,1990.0,1693.0,1595.0,1687.0,164.0,20259.0
77024,9339.0,818.0,622.0,1857.0,2320.0,2186.0,980.0,556.0,25201.0
77025,7040.0,892.0,537.0,1063.0,918.0,983.0,1379.0,1268.0,18204.0
77026,6401.0,580.0,263.0,1594.0,1555.0,1578.0,782.0,49.0,15553.0
77027,2683.0,128.0,96.0,283.0,230.0,251.0,987.0,708.0,12460.0
77028,3898.0,222.0,317.0,1044.0,863.0,859.0,529.0,64.0,11367.0
77029,4492.0,259.0,362.0,896.0,1108.0,1044.0,728.0,95.0,12763.0
77030,3479.0,204.0,190.0,386.0,392.0,206.0,736.0,1365.0,7026.0
77031,5169.0,234.0,492.0,1209.0,1261.0,821.0,983.0,169.0,12108.0
77032,3948.0,478.0,290.0,1037.0,907.0,915.0,307.0,14.0,8932.0
77033,7348.0,509.0,479.0,1448.0,1634.0,2106.0,1136.0,36.0,19122.0
77034,10713.0,635.0,456.0,2596.0,2435.0,1870.0,2380.0,341.0,22567.0
77035,9404.0,708.0,528.0,2680.0,2032.0,1717.0,1392.0,347.0,24427.0
77036,16874.0,1141.0,1218.0,4600.0,3966.0,2947.0,2482.0,520.0,46873.0
77037,6262.0,507.0,528.0,1763.0,1568.0,1415.0,463.0,18.0,12867.0
77038,8936.0,483.0,664.0,2150.0,2381.0,2140.0,957.0,161.0,17724.0
77039,8435.0,353.0,557.0,2417.0,2080.0,1930.0,1043.0,55.0,18058.0
77040,11303.0,492.0,808.0,2645.0,2071.0,2752.0,2082.0,453.0,31395.0
77041,11060.0,486.0,668.0,2408.0,2505.0,2605.0,2094.0,294.0,24108.0
77042,8349.0,686.0,307.0,1538.0,1434.0,1121.0,2649.0,614.0,26540.0
77043,5858.0,516.0,143.0,1213.0,951.0,1678.0,1147.0,210.0,16486.0
77044,11232.0,732.0,845.0,2896.0,2263.0,2153.0,1985.0,358.0,20024.0
77045,10640.0,768.0,365.0,2705.0,2313.0,2302.0,1830.0,357.0,20696.0
77046,110.0,0.0,0.0,0.0,12.0,0.0,30.0,68.0,971.0
77047,6355.0,360.0,259.0,1291.0,1347.0,1074.0,1563.0,461.0,14731.0
77048,4781.0,160.0,184.0,861.0,982.0,1468.0,1035.0,91.0,10592.0
77049,10308.0,422.0,604.0,1874.0,2045.0,2427.0,2467.0,469.0,17525.0
77050,1019.0,156.0,54.0,288.0,168.0,162.0,167.0,24.0,3038.0
77051,3894.0,321.0,276.0,826.0,788.0,841.0,793.0,49.0,10208.0
77054,8230.0,428.0,179.0,425.0,457.0,247.0,3166.0,3328.0,12688.0
77055,11619.0,973.0,747.0,3038.0,3217.0,2100.0,1214.0,330.0,30288.0
77056,2786.0,229.0,204.0,223.0,207.0,299.0,1032.0,592.0,13897.0
77057,6610.0,648.0,426.0,1694.0,1107.0,839.0,1261.0,635.0,31152.0
77058,4159.0,195.0,283.0,609.0,412.0,485.0,1240.0,935.0,11451.0
77059,6201.0,246.0,194.0,1198.0,1603.0,1743.0,858.0,359.0,12410.0
77060,13038.0,835.0,1290.0,3961.0,3002.0,2379.0,1470.0,101.0,28359.0
77061,6720.0,377.0,374.0,1606.0,1595.0,1400.0,1266.0,102.0,16633.0
77062,6832.0,603.0,239.0,1421.0,1228.0,1643.0,1198.0,500.0,18045.0
77063,6932.0,506.0,419.0,1329.0,1072.0,828.0,1953.0,825.0,27018.0
77064,12657.0,713.0,709.0,2743.0,2850.0,2906.0,2308.0,428.0,31404.0
77065,11181.0,544.0,675.0,2491.0,2533.0,2260.0,2251.0,427.0,24876.0
77066,8763.0,278.0,435.0,2200.0,1917.0,2259.0,1459.0,215.0,21264.0
77067,10282.0,580.0,795.0,2451.0,1933.0,2280.0,2052.0,191.0,18710.0
77068,2466.0,116.0,83.0,471.0,722.0,316.0,629.0,129.0,7479.0
77069,3235.0,206.0,186.0,637.0,596.0,643.0,857.0,110.0,12364.0
77070,11768.0,608.0,540.0,2233.0,2333.0,2513.0,2853.0,688.0,32738.0
77071,7998.0,461.0,264.0,1728.0,1592.0,1882.0,1597.0,474.0,17582.0
77072,15970.0,506.0,967.0,3099.0,3403.0,3916.0,3732.0,347.0,37403.0
77073,13059.0,763.0,909.0,3375.0,2566.0,2502.0,2558.0,386.0,22968.0
77074,10659.0,755.0,687.0,2369.0,2146.0,1946.0,2513.0,243.0,24467.0
77075,11863.0,980.0,753.0,2738.0,2922.0,2358.0,1849.0,263.0,25550.0
77076,10649.0,731.0,916.0,2628.0,2414.0,2636.0,1228.0,96.0,21913.0
77077,13111.0,1160.0,693.0,2274.0,2132.0,2389.0,3392.0,1071.0,37737.0
77078,4660.0,453.0,252.0,982.0,1203.0,1034.0,656.0,80.0,10874.0
77079,8243.0,1015.0,314.0,1801.0,1736.0,1723.0,1244.0,410.0,21529.0
77080,11864.0,678.0,734.0,3153.0,2668.0,2746.0,1662.0,223.0,34130.0
77081,11625.0,804.0,1307.0,2700.0,2653.0,1780.0,1772.0,609.0,28307.0
77082,13680.0,954.0,789.0,2152.0,2388.0,2845.0,3580.0,972.0,34234.0
77083,22907.0,1031.0,1489.0,5420.0,4479.0,4790.0,4999.0,699.0,45659.0
77084,29374.0,1646.0,1599.0,6459.0,6076.0,6254.0,6429.0,911.0,65634.0
77085,5099.0,257.0,310.0,1177.0,1251.0,1149.0,896.0,59.0,10443.0
77086,8584.0,571.0,636.0,1874.0,2081.0,2085.0,1207.0,130.0,17510.0
77087,11187.0,492.0,567.0,3063.0,2714.0,2489.0,1759.0,103.0,25130.0
77088,15568.0,973.0,880.0,3574.0,3803.0,3738.0,2354.0,246.0,34627.0
77089,15183.0,852.0,1173.0,2928.0,2868.0,2957.0,3646.0,759.0,33737.0
77090,9966.0,511.0,551.0,2222.0,1928.0,1961.0,2459.0,334.0,21519.0
77091,6527.0,390.0,341.0,1809.0,1304.0,1311.0,1263.0,109.0,15820.0
77092,8634.0,664.0,463.0,2400.0,1950.0,1871.0,1157.0,129.0,24447.0
77093,12573.0,904.0,765.0,3289.0,2701.0,3334.0,1501.0,79.0,27913.0
77094,2511.0,83.0,107.0,372.0,565.0,795.0,445.0,144.0,5696.0
77095,21525.0,1914.0,1280.0,4683.0,4714.0,4325.0,3402.0,1207.0,44576.0
77096,9428.0,970.0,470.0,2059.0,1732.0,1509.0,1942.0,746.0,24201.0
77098,2367.0,198.0,43.0,95.0,307.0,283.0,769.0,672.0,10011.0
77099,13668.0,508.0,755.0,3335.0,3139.0,2650.0,2740.0,541.0,29967.0
77201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77336,3406.0,169.0,215.0,1051.0,661.0,891.0,394.0,25.0,8310.0
