Cities_by_Zipcodes,Population_2011
Houston,2842163.0
North Houston,0.0
Kingwood,0.0
Huffman,12345.0
Hufsmith,0.0
Humble,31596.0
Kingwood2,64777.0
Humble2,51262.0
Spring,53728.0
Tomball,66228.0
Spring2,129639.0
Humble3,42873.0
Bellaire,17452.0
Cypress,0.0
Alief,0.0
Barker,0.0
Cypress2,115434.0
Hockley,11941.0
Katy,154522.0
Waller,10630.0
Katy2,22815.0
Pasadena,144184.0
Baytown,84032.0
Channelview,31322.0
Crosby,24270.0
Deer Park,30588.0
Galena Park,9798.0
Highlands,10456.0
La Porte,35975.0
Seabrook,20955.0
South Houston,16515.0
Webster,23461.0
