Zipcode,House Value less than 10k,House Value from 10k to 14.9k,House Value from 15k to 19.9k,House Value from 20k to 24.9k,House Value from 25k to 29.9k,House Value from 30k to 34.9k,House Value from 35k to 39.9k,House Value from 40k to 49.9k,House Value from 50k to 59.9k,House Value from 60k to 69.9k,House Value from 70k to 79.9k,House Value from 80k to 89.9k,House Value from 90k to 99.9k,House Value from 100k to 124.9k,House Value from 125k to 149.9k,House Value from 150k to 174.9k,House Value from 175k to 199.9k,House Value from 200k to 249.9k,House Value from 250k to 299.9k,House Value from 300k to 399.9k,House Value from 400k to 499.9k,House Value from 500k to 749.9k,House Value from 800k to 999.9k,House Value from 1 million to 1.499 millions
77520,167.0,37.0,75.0,147.0,165.0,89.0,253.0,896.0,629.0,846.0,648.0,722.0,619.0,792.0,379.0,459.0,125.0,231.0,59.0,33.0,10.0,9.0,12.0,5.0
77521,336.0,117.0,90.0,39.0,68.0,12.0,140.0,228.0,395.0,421.0,576.0,715.0,924.0,2148.0,1811.0,1130.0,717.0,803.0,275.0,277.0,47.0,36.0,0.0,17.0
77530,309.0,74.0,83.0,63.0,116.0,14.0,97.0,143.0,325.0,505.0,590.0,1153.0,823.0,892.0,223.0,260.0,64.0,67.0,69.0,0.0,18.0,18.0,0.0,14.0
77532,104.0,74.0,60.0,31.0,110.0,267.0,65.0,281.0,164.0,193.0,334.0,225.0,509.0,1402.0,1158.0,919.0,406.0,409.0,316.0,215.0,74.0,55.0,24.0,77.0
77536,44.0,135.0,155.0,35.0,0.0,0.0,11.0,31.0,68.0,98.0,161.0,475.0,465.0,1780.0,1771.0,1230.0,568.0,591.0,319.0,174.0,62.0,8.0,0.0,0.0
77547,15.0,34.0,5.0,7.0,8.0,32.0,33.0,226.0,269.0,432.0,193.0,121.0,198.0,143.0,11.0,5.0,28.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
77562,13.0,44.0,76.0,11.0,31.0,96.0,10.0,102.0,165.0,220.0,152.0,304.0,124.0,428.0,221.0,245.0,96.0,75.0,158.0,12.0,13.0,51.0,11.0,0.0
77571,161.0,162.0,34.0,48.0,104.0,68.0,16.0,36.0,245.0,212.0,257.0,399.0,710.0,2331.0,1764.0,1080.0,530.0,539.0,205.0,118.0,23.0,24.0,30.0,98.0
77586,27.0,15.0,17.0,35.0,14.0,4.0,40.0,28.0,70.0,45.0,52.0,96.0,0.0,569.0,576.0,1109.0,651.0,1316.0,457.0,296.0,159.0,231.0,109.0,23.0
77587,180.0,26.0,24.0,73.0,0.0,0.0,90.0,154.0,176.0,316.0,450.0,202.0,306.0,335.0,219.0,134.0,26.0,63.0,0.0,6.0,0.0,13.0,11.0,16.0
77598,0.0,39.0,0.0,40.0,0.0,54.0,24.0,75.0,70.0,15.0,7.0,43.0,33.0,854.0,465.0,125.0,25.0,25.0,37.0,37.0,13.0,17.0,21.0,14.0
77002,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,101.0,45.0,15.0,60.0,80.0,141.0,96.0,75.0,4.0,18.0,25.0,0.0
77003,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,81.0,124.0,100.0,105.0,105.0,76.0,62.0,46.0,150.0,383.0,205.0,160.0,28.0,0.0,0.0,0.0
77004,17.0,8.0,0.0,0.0,29.0,17.0,20.0,138.0,61.0,80.0,109.0,172.0,167.0,420.0,168.0,294.0,299.0,645.0,638.0,488.0,242.0,121.0,20.0,45.0
77005,28.0,17.0,7.0,22.0,0.0,0.0,0.0,17.0,36.0,0.0,0.0,9.0,35.0,158.0,47.0,50.0,27.0,57.0,149.0,243.0,480.0,1748.0,1587.0,2165.0
77006,21.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,27.0,19.0,60.0,73.0,23.0,200.0,179.0,150.0,167.0,377.0,421.0,914.0,633.0,780.0,55.0,105.0
77007,59.0,0.0,0.0,0.0,0.0,0.0,30.0,43.0,12.0,34.0,44.0,58.0,33.0,234.0,160.0,258.0,369.0,991.0,1289.0,2161.0,1143.0,873.0,291.0,181.0
77008,61.0,14.0,8.0,1.0,0.0,0.0,0.0,9.0,7.0,58.0,49.0,44.0,42.0,178.0,236.0,315.0,249.0,1136.0,1357.0,2111.0,957.0,802.0,251.0,150.0
77009,35.0,0.0,35.0,42.0,39.0,81.0,0.0,36.0,182.0,240.0,369.0,377.0,355.0,718.0,463.0,620.0,261.0,712.0,928.0,869.0,355.0,322.0,47.0,65.0
77010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0
77011,0.0,0.0,0.0,0.0,32.0,67.0,40.0,99.0,194.0,313.0,344.0,561.0,123.0,243.0,47.0,101.0,27.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0
77012,22.0,27.0,9.0,81.0,7.0,24.0,42.0,201.0,153.0,420.0,322.0,376.0,215.0,392.0,58.0,38.0,20.0,48.0,19.0,21.0,0.0,19.0,0.0,0.0
77013,39.0,79.0,38.0,25.0,55.0,40.0,13.0,38.0,195.0,213.0,228.0,508.0,269.0,222.0,175.0,74.0,44.0,12.0,13.0,0.0,0.0,0.0,0.0,0.0
77014,93.0,20.0,0.0,0.0,82.0,55.0,15.0,57.0,162.0,229.0,245.0,261.0,254.0,1150.0,1220.0,602.0,184.0,109.0,117.0,0.0,0.0,0.0,0.0,0.0
77015,265.0,72.0,53.0,44.0,183.0,181.0,140.0,273.0,483.0,656.0,959.0,1127.0,899.0,1784.0,727.0,544.0,202.0,197.0,56.0,0.0,25.0,0.0,20.0,0.0
77016,162.0,81.0,63.0,137.0,172.0,418.0,363.0,705.0,838.0,951.0,904.0,701.0,284.0,301.0,93.0,100.0,110.0,35.0,8.0,17.0,16.0,11.0,0.0,12.0
77017,72.0,83.0,12.0,0.0,52.0,62.0,62.0,117.0,182.0,722.0,880.0,808.0,692.0,932.0,511.0,195.0,94.0,56.0,0.0,8.0,4.0,0.0,0.0,0.0
77018,66.0,32.0,52.0,51.0,16.0,70.0,13.0,34.0,30.0,33.0,94.0,68.0,80.0,331.0,404.0,739.0,511.0,1216.0,1066.0,1278.0,460.0,378.0,146.0,83.0
77019,59.0,24.0,0.0,0.0,0.0,16.0,0.0,8.0,0.0,0.0,45.0,17.0,34.0,173.0,117.0,206.0,296.0,346.0,489.0,762.0,500.0,413.0,276.0,1203.0
77020,42.0,21.0,30.0,50.0,59.0,60.0,62.0,484.0,566.0,649.0,510.0,337.0,235.0,332.0,70.0,179.0,73.0,151.0,63.0,20.0,0.0,6.0,0.0,0.0
77021,68.0,37.0,16.0,33.0,79.0,100.0,119.0,354.0,246.0,473.0,370.0,382.0,169.0,293.0,103.0,95.0,189.0,207.0,185.0,158.0,142.0,156.0,12.0,8.0
77022,29.0,12.0,34.0,39.0,55.0,110.0,43.0,406.0,470.0,463.0,592.0,459.0,305.0,717.0,173.0,121.0,25.0,94.0,12.0,27.0,7.0,6.0,8.0,0.0
77023,47.0,8.0,0.0,50.0,0.0,8.0,0.0,68.0,55.0,207.0,409.0,615.0,712.0,693.0,225.0,399.0,210.0,298.0,139.0,83.0,10.0,0.0,0.0,0.0
77024,31.0,0.0,0.0,18.0,0.0,0.0,0.0,15.0,43.0,55.0,133.0,161.0,254.0,236.0,185.0,250.0,125.0,306.0,331.0,734.0,787.0,1743.0,1581.0,3411.0
77025,128.0,12.0,0.0,0.0,16.0,0.0,0.0,35.0,36.0,39.0,114.0,42.0,49.0,102.0,186.0,269.0,117.0,605.0,468.0,1184.0,730.0,826.0,489.0,165.0
77026,63.0,0.0,34.0,169.0,220.0,290.0,126.0,374.0,464.0,325.0,229.0,391.0,168.0,223.0,73.0,131.0,19.0,56.0,19.0,8.0,16.0,0.0,0.0,10.0
77027,13.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,25.0,49.0,58.0,48.0,82.0,76.0,171.0,75.0,99.0,59.0,65.0,376.0,313.0,561.0,495.0,486.0
77028,42.0,17.0,73.0,87.0,95.0,273.0,96.0,498.0,673.0,391.0,407.0,425.0,51.0,181.0,128.0,28.0,8.0,32.0,0.0,0.0,0.0,0.0,0.0,7.0
77029,54.0,16.0,38.0,112.0,40.0,75.0,128.0,266.0,460.0,528.0,494.0,353.0,259.0,271.0,27.0,49.0,3.0,17.0,15.0,0.0,0.0,0.0,0.0,0.0
77030,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,20.0,103.0,24.0,48.0,110.0,89.0,43.0,119.0,87.0,95.0,335.0,532.0,217.0,277.0
77031,0.0,23.0,4.0,9.0,38.0,18.0,0.0,13.0,10.0,19.0,0.0,38.0,511.0,827.0,507.0,239.0,64.0,79.0,4.0,13.0,17.0,0.0,0.0,0.0
77032,35.0,0.0,0.0,38.0,87.0,32.0,103.0,82.0,79.0,148.0,125.0,177.0,241.0,10.0,37.0,59.0,29.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0
77033,60.0,41.0,16.0,58.0,52.0,253.0,328.0,824.0,761.0,853.0,969.0,545.0,346.0,191.0,80.0,49.0,8.0,8.0,0.0,7.0,4.0,14.0,0.0,0.0
77034,60.0,41.0,0.0,38.0,0.0,20.0,0.0,12.0,120.0,314.0,713.0,952.0,928.0,1566.0,726.0,222.0,73.0,63.0,115.0,14.0,0.0,31.0,0.0,15.0
77035,18.0,12.0,42.0,29.0,79.0,30.0,8.0,182.0,72.0,243.0,169.0,296.0,214.0,566.0,591.0,601.0,515.0,857.0,473.0,478.0,119.0,51.0,5.0,0.0
77036,61.0,61.0,70.0,94.0,108.0,81.0,51.0,178.0,193.0,155.0,261.0,225.0,376.0,1293.0,1001.0,395.0,160.0,98.0,80.0,76.0,12.0,9.0,16.0,11.0
77037,401.0,92.0,108.0,30.0,44.0,75.0,31.0,58.0,178.0,238.0,309.0,316.0,404.0,721.0,105.0,203.0,0.0,65.0,9.0,0.0,12.0,7.0,27.0,0.0
77038,67.0,76.0,94.0,54.0,61.0,103.0,0.0,32.0,84.0,447.0,542.0,556.0,327.0,733.0,341.0,217.0,11.0,19.0,0.0,0.0,0.0,0.0,12.0,0.0
77039,89.0,73.0,19.0,55.0,17.0,47.0,57.0,81.0,291.0,538.0,645.0,825.0,521.0,621.0,252.0,113.0,21.0,61.0,33.0,28.0,5.0,14.0,0.0,0.0
77040,85.0,34.0,61.0,29.0,12.0,17.0,10.0,48.0,125.0,282.0,218.0,747.0,614.0,2149.0,1183.0,1033.0,805.0,929.0,450.0,264.0,42.0,24.0,0.0,41.0
77041,139.0,119.0,100.0,79.0,119.0,103.0,0.0,73.0,133.0,150.0,206.0,665.0,514.0,1697.0,906.0,667.0,373.0,592.0,401.0,907.0,613.0,366.0,20.0,33.0
77042,36.0,12.0,67.0,24.0,38.0,18.0,35.0,289.0,183.0,235.0,110.0,94.0,51.0,274.0,237.0,331.0,157.0,597.0,429.0,977.0,432.0,185.0,62.0,114.0
77043,30.0,19.0,31.0,0.0,0.0,7.0,7.0,20.0,78.0,146.0,214.0,260.0,184.0,762.0,543.0,690.0,604.0,653.0,240.0,258.0,52.0,12.0,0.0,0.0
77044,190.0,146.0,114.0,162.0,62.0,82.0,12.0,162.0,287.0,374.0,302.0,569.0,415.0,1123.0,410.0,656.0,720.0,941.0,715.0,543.0,394.0,47.0,0.0,88.0
77045,62.0,0.0,63.0,16.0,67.0,39.0,23.0,204.0,543.0,939.0,872.0,1120.0,911.0,982.0,181.0,138.0,120.0,50.0,22.0,114.0,9.0,0.0,0.0,0.0
77046,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,28.0,14.0,26.0,41.0,55.0,28.0,66.0,0.0,0.0
77047,66.0,142.0,9.0,58.0,0.0,50.0,43.0,238.0,250.0,306.0,294.0,562.0,541.0,1705.0,898.0,481.0,112.0,47.0,14.0,44.0,0.0,13.0,19.0,0.0
77048,41.0,6.0,13.0,0.0,15.0,42.0,172.0,274.0,260.0,590.0,390.0,580.0,237.0,352.0,235.0,185.0,0.0,16.0,0.0,55.0,0.0,0.0,0.0,7.0
77049,159.0,23.0,0.0,51.0,10.0,130.0,12.0,91.0,241.0,497.0,696.0,598.0,493.0,984.0,900.0,598.0,259.0,199.0,244.0,44.0,10.0,34.0,0.0,0.0
77050,43.0,60.0,0.0,0.0,57.0,80.0,20.0,71.0,74.0,104.0,100.0,80.0,65.0,94.0,8.0,0.0,17.0,42.0,52.0,0.0,0.0,0.0,0.0,0.0
77051,15.0,73.0,55.0,62.0,51.0,109.0,128.0,305.0,248.0,249.0,242.0,157.0,90.0,186.0,111.0,83.0,0.0,43.0,0.0,0.0,0.0,5.0,0.0,0.0
77054,11.0,25.0,12.0,28.0,8.0,9.0,54.0,94.0,87.0,29.0,61.0,140.0,45.0,384.0,172.0,85.0,108.0,230.0,193.0,74.0,0.0,0.0,0.0,0.0
77055,93.0,20.0,8.0,0.0,23.0,51.0,48.0,97.0,78.0,127.0,61.0,150.0,362.0,561.0,493.0,376.0,180.0,405.0,355.0,778.0,708.0,898.0,334.0,198.0
77056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,14.0,0.0,102.0,34.0,69.0,99.0,75.0,141.0,217.0,271.0,414.0,426.0,784.0,690.0,969.0
77057,34.0,0.0,12.0,0.0,0.0,0.0,0.0,72.0,7.0,66.0,75.0,251.0,177.0,558.0,502.0,694.0,263.0,668.0,322.0,414.0,441.0,1138.0,227.0,528.0
77058,15.0,0.0,0.0,0.0,0.0,0.0,16.0,59.0,112.0,65.0,44.0,109.0,102.0,201.0,319.0,562.0,302.0,494.0,83.0,104.0,0.0,14.0,0.0,8.0
77059,52.0,12.0,0.0,0.0,7.0,17.0,0.0,0.0,0.0,6.0,14.0,12.0,22.0,163.0,350.0,554.0,584.0,990.0,863.0,1245.0,308.0,307.0,103.0,12.0
77060,123.0,8.0,57.0,23.0,30.0,26.0,0.0,58.0,151.0,182.0,514.0,569.0,407.0,645.0,182.0,42.0,16.0,0.0,12.0,15.0,0.0,0.0,15.0,0.0
77061,7.0,11.0,36.0,0.0,17.0,27.0,36.0,88.0,19.0,112.0,149.0,378.0,177.0,824.0,568.0,290.0,34.0,97.0,34.0,49.0,0.0,0.0,0.0,8.0
77062,32.0,87.0,0.0,0.0,0.0,0.0,0.0,26.0,25.0,31.0,103.0,76.0,91.0,961.0,1306.0,2061.0,992.0,722.0,370.0,475.0,118.0,53.0,41.0,0.0
77063,11.0,0.0,11.0,0.0,0.0,41.0,6.0,69.0,168.0,222.0,342.0,177.0,166.0,451.0,114.0,456.0,272.0,424.0,351.0,652.0,242.0,212.0,207.0,136.0
77064,81.0,57.0,0.0,37.0,61.0,34.0,79.0,15.0,154.0,180.0,494.0,505.0,942.0,1828.0,1369.0,1739.0,762.0,846.0,309.0,157.0,37.0,11.0,0.0,23.0
77065,76.0,7.0,14.0,0.0,15.0,18.0,44.0,0.0,0.0,7.0,83.0,250.0,374.0,1823.0,1176.0,1102.0,794.0,426.0,343.0,162.0,96.0,66.0,0.0,37.0
77066,42.0,24.0,10.0,73.0,12.0,0.0,0.0,27.0,158.0,210.0,466.0,679.0,626.0,1514.0,1209.0,1018.0,220.0,221.0,35.0,83.0,0.0,0.0,22.0,7.0
77067,13.0,0.0,23.0,26.0,30.0,24.0,18.0,37.0,111.0,245.0,446.0,729.0,786.0,951.0,347.0,224.0,39.0,14.0,22.0,0.0,0.0,15.0,0.0,0.0
77068,0.0,40.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,82.0,370.0,391.0,524.0,274.0,220.0,68.0,113.0,156.0,57.0,38.0,0.0
77069,24.0,8.0,17.0,16.0,13.0,0.0,0.0,71.0,63.0,137.0,162.0,193.0,106.0,294.0,370.0,501.0,367.0,738.0,380.0,522.0,299.0,312.0,39.0,17.0
77070,195.0,25.0,36.0,9.0,0.0,0.0,47.0,18.0,15.0,64.0,150.0,295.0,465.0,1436.0,1678.0,2282.0,1080.0,1041.0,171.0,343.0,120.0,26.0,13.0,114.0
77071,29.0,43.0,0.0,0.0,0.0,41.0,29.0,57.0,60.0,203.0,127.0,405.0,710.0,1171.0,828.0,669.0,251.0,346.0,130.0,139.0,9.0,56.0,0.0,0.0
