Zipcode,House Value less than 10k,House Value from 10k to 14.9k,House Value from 15k to 19.9k,House Value from 20k to 24.9k,House Value from 25k to 29.9k,House Value from 30k to 34.9k,House Value from 35k to 39.9k,House Value from 40k to 49.9k,House Value from 50k to 59.9k,House Value from 60k to 69.9k,House Value from 70k to 79.9k,House Value from 80k to 89.9k,House Value from 90k to 99.9k,House Value from 100k to 124.9k,House Value from 125k to 149.9k,House Value from 150k to 174.9k,House Value from 175k to 199.9k,House Value from 200k to 249.9k,House Value from 250k to 299.9k,House Value from 300k to 399.9k,House Value from 400k to 499.9k,House Value from 500k to 749.9k,House Value from 800k to 999.9k,House Value from 1 million to 1.499 millions
77493,83.0,111.0,24.0,67.0,18.0,0.0,0.0,59.0,44.0,90.0,90.0,365.0,265.0,674.0,1093.0,1047.0,483.0,540.0,135.0,237.0,120.0,59.0,0.0,6.0
77502,154.0,138.0,56.0,64.0,36.0,36.0,45.0,60.0,185.0,372.0,681.0,1119.0,1263.0,1599.0,693.0,248.0,37.0,0.0,34.0,0.0,7.0,0.0,0.0,9.0
77503,117.0,58.0,74.0,37.0,45.0,0.0,24.0,106.0,142.0,169.0,716.0,592.0,909.0,882.0,333.0,99.0,44.0,44.0,23.0,14.0,0.0,0.0,0.0,0.0
77504,157.0,49.0,69.0,43.0,46.0,57.0,56.0,139.0,115.0,171.0,105.0,222.0,277.0,586.0,481.0,543.0,285.0,254.0,88.0,0.0,16.0,17.0,0.0,28.0
77505,41.0,87.0,30.0,0.0,0.0,11.0,10.0,0.0,10.0,16.0,57.0,99.0,211.0,977.0,843.0,1266.0,844.0,856.0,256.0,153.0,6.0,10.0,10.0,0.0
77506,36.0,0.0,14.0,8.0,46.0,119.0,107.0,296.0,558.0,597.0,716.0,1033.0,286.0,253.0,115.0,62.0,46.0,36.0,0.0,0.0,0.0,6.0,15.0,19.0
77507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77520,107.0,77.0,75.0,148.0,100.0,126.0,135.0,748.0,884.0,822.0,587.0,700.0,605.0,951.0,431.0,447.0,112.0,247.0,119.0,28.0,9.0,20.0,14.0,4.0
77521,319.0,136.0,176.0,77.0,86.0,95.0,146.0,181.0,219.0,377.0,593.0,643.0,801.0,2250.0,1977.0,1272.0,616.0,540.0,280.0,209.0,113.0,52.0,0.0,0.0
77530,193.0,56.0,160.0,55.0,78.0,49.0,91.0,239.0,290.0,419.0,574.0,1168.0,983.0,1132.0,370.0,246.0,53.0,67.0,48.0,25.0,18.0,0.0,0.0,36.0
77532,76.0,67.0,18.0,51.0,110.0,93.0,111.0,171.0,237.0,196.0,409.0,253.0,494.0,1512.0,763.0,1009.0,417.0,378.0,235.0,124.0,60.0,44.0,19.0,62.0
77536,84.0,116.0,106.0,7.0,25.0,29.0,7.0,87.0,81.0,96.0,187.0,505.0,490.0,2031.0,1670.0,1293.0,580.0,514.0,264.0,195.0,52.0,6.0,0.0,47.0
77547,16.0,21.0,0.0,16.0,0.0,65.0,0.0,109.0,165.0,489.0,389.0,106.0,242.0,151.0,16.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
77562,52.0,69.0,119.0,27.0,55.0,49.0,24.0,123.0,123.0,257.0,222.0,234.0,190.0,299.0,332.0,266.0,76.0,68.0,77.0,11.0,0.0,45.0,0.0,0.0
77571,223.0,165.0,70.0,49.0,103.0,60.0,11.0,77.0,208.0,166.0,328.0,387.0,668.0,2563.0,1926.0,970.0,513.0,367.0,209.0,59.0,47.0,57.0,27.0,64.0
