Zipcode,Less than high school graduate,High school graduate (includes equivalency),Some college or associate degree,Bachelor degree,Graduate or professional degree
77586,597.0,2399.0,4880.0,4924.0,2180.0
77587,4217.0,3171.0,1439.0,466.0,114.0
77598,2118.0,3239.0,5686.0,3218.0,1265.0
77002,2193.0,2364.0,2147.0,1539.0,1130.0
77003,1955.0,1256.0,1759.0,1430.0,878.0
77004,2474.0,3425.0,5215.0,5065.0,4914.0
77005,282.0,636.0,2022.0,6281.0,8340.0
77006,581.0,1177.0,3655.0,6055.0,6198.0
77007,1503.0,2400.0,4104.0,11256.0,8956.0
77008,1892.0,3282.0,5087.0,9365.0,6137.0
77009,7693.0,5411.0,5142.0,4061.0,3087.0
77010,10.0,13.0,80.0,261.0,395.0
77011,5906.0,2870.0,1964.0,342.0,167.0
77012,7080.0,3018.0,1991.0,595.0,80.0
77013,5207.0,3328.0,3012.0,472.0,204.0
77014,5006.0,4991.0,7089.0,2698.0,693.0
77015,11593.0,9033.0,7828.0,2404.0,1155.0
77016,4584.0,7224.0,4506.0,1138.0,747.0
77017,8077.0,5893.0,4312.0,1007.0,511.0
77018,3235.0,3813.0,4301.0,5321.0,3253.0
77019,704.0,927.0,2633.0,6735.0,5474.0
77020,6913.0,4281.0,3209.0,939.0,368.0
77021,2941.0,4625.0,5287.0,2384.0,1815.0
77022,8128.0,5094.0,3586.0,818.0,296.0
77023,6525.0,4681.0,3938.0,1848.0,592.0
77024,831.0,2049.0,3690.0,10756.0,9447.0
77025,1441.0,1739.0,3475.0,5935.0,7856.0
77026,5645.0,4891.0,3589.0,921.0,202.0
77027,245.0,572.0,2100.0,5416.0,4031.0
77028,2784.0,3913.0,2287.0,465.0,267.0
77029,4943.0,3082.0,2512.0,571.0,278.0
77030,150.0,265.0,785.0,2368.0,3806.0
77031,3214.0,2491.0,2550.0,1881.0,715.0
77032,2637.0,1915.0,1716.0,304.0,182.0
77033,5425.0,6683.0,4172.0,978.0,284.0
77034,6369.0,6369.0,6101.0,2643.0,608.0
77035,6436.0,4743.0,5929.0,3628.0,2762.0
77036,17101.0,12263.0,9010.0,4930.0,1918.0
77037,6861.0,3248.0,1364.0,273.0,37.0
77038,6984.0,4820.0,3269.0,963.0,437.0
77039,7975.0,4549.0,2503.0,366.0,87.0
77040,6507.0,7449.0,8632.0,5463.0,2610.0
77041,4557.0,5250.0,5959.0,4914.0,2871.0
77042,3181.0,4333.0,7432.0,8289.0,4165.0
77043,3781.0,3668.0,4331.0,3902.0,1680.0
77044,4224.0,5980.0,6985.0,4519.0,2080.0
77045,5549.0,6400.0,4862.0,1811.0,938.0
77046,0.0,17.0,254.0,434.0,260.0
77047,2340.0,4374.0,5636.0,2719.0,1732.0
77048,2265.0,3104.0,3246.0,1035.0,565.0
77049,5169.0,4246.0,5484.0,2151.0,964.0
77050,1109.0,944.0,847.0,282.0,103.0
77051,2112.0,3402.0,3015.0,765.0,224.0
77054,228.0,1621.0,4526.0,4827.0,5111.0
77055,8099.0,6129.0,5016.0,5737.0,3540.0
77056,276.0,1297.0,3016.0,7221.0,4442.0
77057,4032.0,2951.0,5289.0,9665.0,6457.0
77058,922.0,1871.0,4329.0,2968.0,1903.0
