Zipcode,Estimate!!Total,Estimate!!Total!!Family households,Estimate!!Total!!Family households!!Married-couple family,Estimate!!Total!!Family households!!Other family,"Estimate!!Total!!Family households!!Other family!!Male householder, no wife present","Estimate!!Total!!Family households!!Other family!!Female householder, no husband present",Estimate!!Total!!Nonfamily households,Estimate!!Total!!Nonfamily households!!Householder living alone,Estimate!!Total!!Nonfamily households!!Householder not living alone
77520,12131.0,8652.0,5571.0,3081.0,734.0,2347.0,3479.0,3047.0,432.0
77521,17771.0,13308.0,8917.0,4391.0,1123.0,3268.0,4463.0,3879.0,584.0
77530,9098.0,6872.0,4527.0,2345.0,697.0,1648.0,2226.0,1742.0,484.0
77532,9364.0,7729.0,5892.0,1837.0,704.0,1133.0,1635.0,1298.0,337.0
77536,10797.0,8677.0,6609.0,2068.0,600.0,1468.0,2120.0,1832.0,288.0
77547,2695.0,2193.0,1339.0,854.0,168.0,686.0,502.0,389.0,113.0
77562,3558.0,2697.0,1913.0,784.0,295.0,489.0,861.0,790.0,71.0
77571,12309.0,9390.0,6870.0,2520.0,915.0,1605.0,2919.0,2210.0,709.0
77586,8392.0,5467.0,4524.0,943.0,340.0,603.0,2925.0,2566.0,359.0
77587,4591.0,3771.0,2664.0,1107.0,277.0,830.0,820.0,644.0,176.0
77598,10070.0,5079.0,2665.0,2414.0,811.0,1603.0,4991.0,4054.0,937.0
77002,2981.0,508.0,388.0,120.0,17.0,103.0,2473.0,2100.0,373.0
77003,4344.0,2082.0,1026.0,1056.0,235.0,821.0,2262.0,1795.0,467.0
77004,12731.0,5577.0,3106.0,2471.0,560.0,1911.0,7154.0,5697.0,1457.0
77005,9454.0,6456.0,5840.0,616.0,157.0,459.0,2998.0,2661.0,337.0
77006,11832.0,3378.0,2621.0,757.0,420.0,337.0,8454.0,6611.0,1843.0
77007,16581.0,6473.0,5273.0,1200.0,583.0,617.0,10108.0,7706.0,2402.0
77008,15081.0,7345.0,5401.0,1944.0,665.0,1279.0,7736.0,6270.0,1466.0
77009,13995.0,8304.0,4788.0,3516.0,1040.0,2476.0,5691.0,4283.0,1408.0
77010,476.0,191.0,191.0,0.0,0.0,0.0,285.0,268.0,17.0
77011,5455.0,4124.0,2503.0,1621.0,585.0,1036.0,1331.0,1008.0,323.0
77012,6182.0,4470.0,2607.0,1863.0,733.0,1130.0,1712.0,1353.0,359.0
77013,5673.0,4308.0,2583.0,1725.0,609.0,1116.0,1365.0,1120.0,245.0
77014,10480.0,7346.0,4335.0,3011.0,692.0,2319.0,3134.0,2568.0,566.0
77015,16681.0,12355.0,8124.0,4231.0,1353.0,2878.0,4326.0,3531.0,795.0
77016,9333.0,6129.0,2688.0,3441.0,1020.0,2421.0,3204.0,2979.0,225.0
77017,9918.0,7305.0,4980.0,2325.0,873.0,1452.0,2613.0,2110.0,503.0
