Zipcode,Less than high school graduate,High school graduate (includes equivalency),Some college or associate degree,Bachelor degree,Graduate or professional degree
77002,2462.0,2452.0,1845.0,1172.0,961.0
77003,2508.0,1272.0,1191.0,931.0,692.0
77004,3285.0,3327.0,3694.0,4055.0,4006.0
77005,286.0,804.0,1577.0,5654.0,7799.0
77006,845.0,1979.0,3175.0,5076.0,5019.0
77007,2909.0,2167.0,3698.0,8122.0,5170.0
77008,3393.0,3556.0,4740.0,6631.0,4519.0
77009,8520.0,6078.0,4361.0,3094.0,2472.0
77010,0.0,0.0,0.0,121.0,41.0
77011,6889.0,3051.0,1495.0,314.0,121.0
77012,6782.0,3286.0,1791.0,661.0,112.0
77013,4756.0,3256.0,2152.0,476.0,402.0
77014,3703.0,4417.0,5068.0,2081.0,845.0
77015,10590.0,9220.0,7717.0,2099.0,898.0
77016,6068.0,6681.0,4160.0,1022.0,473.0
77017,7689.0,5968.0,4372.0,947.0,457.0
77018,3369.0,4735.0,4984.0,4213.0,2072.0
77019,969.0,1436.0,2677.0,5309.0,4753.0
77020,8599.0,4372.0,1908.0,983.0,374.0
77021,3760.0,5067.0,4286.0,1853.0,1626.0
77022,7852.0,5182.0,2662.0,826.0,215.0
77023,8767.0,4446.0,3496.0,1493.0,570.0
77024,713.0,2264.0,4634.0,9547.0,7369.0
77025,1142.0,1970.0,3153.0,5259.0,5972.0
77026,6332.0,5039.0,2673.0,459.0,341.0
77027,312.0,773.0,2038.0,4452.0,4273.0
77028,3987.0,4050.0,2439.0,588.0,131.0
77029,5333.0,2836.0,2214.0,431.0,197.0
77030,297.0,467.0,864.0,2337.0,3775.0
77031,2711.0,2320.0,2575.0,1598.0,689.0
77032,2886.0,2216.0,1562.0,172.0,142.0
77033,5924.0,6314.0,4568.0,827.0,403.0
77034,6138.0,5355.0,5855.0,1739.0,611.0
77035,5646.0,5240.0,5345.0,3586.0,1933.0
77036,16060.0,8648.0,7255.0,4807.0,1702.0
77037,5748.0,2774.0,1868.0,298.0,26.0
77038,6137.0,4009.0,2873.0,992.0,170.0
77039,7276.0,4078.0,2570.0,389.0,111.0
77040,5284.0,7842.0,7032.0,4769.0,2037.0
77041,3887.0,5024.0,4898.0,5430.0,2488.0
77042,2080.0,3805.0,7437.0,7098.0,2934.0
77043,2533.0,3597.0,4434.0,3154.0,941.0
77044,3594.0,4585.0,4849.0,2208.0,1415.0
77045,5931.0,5842.0,4559.0,1615.0,800.0
77046,0.0,55.0,130.0,318.0,316.0
77047,2591.0,3509.0,4256.0,2017.0,1054.0
77048,2291.0,3318.0,2352.0,663.0,315.0
77049,3906.0,4818.0,4529.0,1291.0,777.0
