Zipcode,Less than high school graduate,High school graduate (includes equivalency),Some college or associate degree,Bachelor degree,Graduate or professional degree
77050,1077.0,978.0,476.0,163.0,117.0
77051,1949.0,3952.0,2586.0,600.0,155.0
77054,405.0,1628.0,3340.0,4342.0,4532.0
77055,9893.0,5394.0,4420.0,4459.0,2585.0
77056,270.0,1025.0,3179.0,5210.0,4115.0
77057,4568.0,3172.0,6977.0,9417.0,4980.0
77058,955.0,1658.0,3865.0,3465.0,1873.0
77059,486.0,1036.0,2343.0,5016.0,3744.0
77060,11207.0,6016.0,3702.0,767.0,229.0
77061,5463.0,4089.0,2809.0,1332.0,647.0
77062,1057.0,2349.0,4584.0,5778.0,3443.0
77063,3093.0,3752.0,6644.0,7651.0,3515.0
77064,4199.0,7683.0,7968.0,6004.0,1909.0
77065,2379.0,5239.0,7873.0,5179.0,1680.0
77066,3972.0,6042.0,5141.0,2759.0,1077.0
77067,4793.0,4316.0,4291.0,1182.0,405.0
77068,804.0,958.0,1980.0,1942.0,634.0
77069,348.0,1642.0,3103.0,4058.0,1595.0
77070,2723.0,6920.0,8739.0,7901.0,2989.0
77071,3036.0,3913.0,4627.0,2678.0,1738.0
77072,10778.0,9700.0,7723.0,3401.0,1310.0
77073,4144.0,6097.0,5473.0,2562.0,853.0
77074,8031.0,5161.0,5117.0,2463.0,1284.0
77075,6223.0,6327.0,6079.0,2173.0,457.0
77076,9364.0,5557.0,2224.0,375.0,76.0
77077,2229.0,5418.0,9873.0,12070.0,6702.0
77078,3234.0,2496.0,1865.0,286.0,233.0
77079,604.0,2403.0,4510.0,8287.0,4785.0
77080,10599.0,6550.0,5457.0,3457.0,1213.0
77081,12135.0,4864.0,4219.0,3064.0,1456.0
77082,3606.0,6517.0,10024.0,6984.0,3395.0
77083,9535.0,10549.0,11742.0,7680.0,2441.0
77084,9657.0,15626.0,17535.0,10787.0,3620.0
77085,3237.0,2277.0,2430.0,1099.0,273.0
77086,5138.0,4674.0,3053.0,1309.0,393.0
77087,10679.0,6380.0,3641.0,1079.0,530.0
77088,8775.0,9829.0,7771.0,2373.0,1171.0
77089,5490.0,8732.0,9875.0,4879.0,1883.0
77090,3178.0,4344.0,6797.0,3041.0,1613.0
77091,4549.0,4463.0,3864.0,1367.0,573.0
77092,6906.0,6080.0,4313.0,2437.0,1018.0
77093,12991.0,6098.0,3366.0,780.0,92.0
77094,29.0,462.0,881.0,2483.0,1725.0
77095,2647.0,7266.0,12774.0,12761.0,4765.0
77096,1811.0,2669.0,5859.0,6660.0,4930.0
77098,359.0,686.0,2151.0,3367.0,3021.0
77099,8090.0,8162.0,6713.0,3624.0,1053.0
77201,0.0,0.0,0.0,0.0,0.0
77336,1175.0,2673.0,2576.0,1105.0,247.0
77338,3758.0,5042.0,6808.0,2333.0,927.0
77339,1407.0,4542.0,8383.0,7708.0,3477.0
77345,463.0,2063.0,4852.0,6502.0,3416.0
77346,1966.0,6993.0,12204.0,7563.0,3425.0
77373,3530.0,9344.0,13614.0,5254.0,1695.0
77375,2763.0,6641.0,8033.0,4227.0,1492.0
77377,1660.0,3377.0,5394.0,4710.0,1829.0
77379,2599.0,6850.0,13187.0,14115.0,6825.0
77388,2038.0,5549.0,9126.0,6034.0,2479.0
77389,1000.0,2403.0,4239.0,3491.0,1245.0
77396,5587.0,6498.0,7183.0,3695.0,1939.0
77401,287.0,746.0,1649.0,4408.0,4572.0
77429,2341.0,8873.0,13174.0,13703.0,5144.0
77433,2231.0,4922.0,7883.0,8018.0,2809.0
77447,1035.0,2731.0,2082.0,876.0,334.0
77449,8814.0,13699.0,16897.0,8536.0,2647.0
77450,2076.0,5905.0,12392.0,15409.0,6495.0
77484,1133.0,2643.0,1626.0,897.0,425.0
77493,2053.0,3274.0,4614.0,2534.0,897.0
77502,7573.0,6237.0,4807.0,1101.0,394.0
77503,4302.0,4948.0,3742.0,751.0,118.0
77504,3253.0,4228.0,4589.0,1651.0,597.0
77505,1964.0,4125.0,5145.0,2269.0,925.0
77506,10288.0,6373.0,2755.0,612.0,123.0
77507,0.0,0.0,0.0,0.0,0.0
77520,6674.0,6536.0,6803.0,1538.0,750.0
77521,5336.0,7468.0,10532.0,3684.0,1553.0
77530,5256.0,6567.0,3825.0,1005.0,487.0
77532,2258.0,5623.0,5880.0,1940.0,683.0
77536,2556.0,5880.0,7286.0,2971.0,1124.0
77547,2422.0,1871.0,1083.0,217.0,51.0
77562,1291.0,2078.0,2457.0,388.0,235.0
77571,3621.0,7730.0,7557.0,2691.0,1186.0
77586,531.0,1914.0,4430.0,4515.0,2483.0
77587,4123.0,2486.0,1964.0,427.0,196.0
77598,1781.0,3643.0,5008.0,2550.0,1107.0
