Zipcode,Total enrolled in school,"Enrolled in nursery school, preschool",Enrolled in kindergarten,Enrolled in grade 1 to grade 4,Enrolled in grade 5 to grade 8,Enrolled in grade 9 to grade 12,"Enrolled in college, undergraduate years",Graduate or professional school,Not enrolled in school
77520,10858.0,641.0,754.0,2289.0,2503.0,2787.0,1722.0,162.0,25380.0
77521,16482.0,810.0,896.0,3825.0,4149.0,3021.0,3291.0,490.0,34103.0
77530,10418.0,615.0,545.0,2759.0,2283.0,2268.0,1735.0,213.0,18538.0
77532,8222.0,683.0,458.0,1847.0,1605.0,1784.0,1519.0,326.0,18905.0
77536,9041.0,513.0,351.0,2021.0,2008.0,2057.0,1763.0,328.0,21455.0
77547,2979.0,115.0,197.0,628.0,959.0,631.0,449.0,0.0,6651.0
77562,3043.0,204.0,147.0,805.0,521.0,722.0,579.0,65.0,7333.0
77571,10705.0,619.0,401.0,2131.0,2417.0,2545.0,2238.0,354.0,24411.0
77586,6123.0,471.0,403.0,1220.0,1227.0,1635.0,933.0,234.0,15257.0
77587,5290.0,271.0,299.0,1388.0,1315.0,1164.0,751.0,102.0,11000.0
77598,6628.0,427.0,453.0,1341.0,1174.0,1052.0,1833.0,348.0,16512.0
77002,856.0,13.0,0.0,28.0,4.0,186.0,432.0,193.0,10684.0
77003,3129.0,315.0,143.0,573.0,510.0,544.0,856.0,188.0,7327.0
77004,13720.0,514.0,186.0,1091.0,740.0,683.0,9165.0,1341.0,19400.0
77005,9257.0,543.0,412.0,1456.0,1397.0,1380.0,3325.0,744.0,16059.0
77006,3914.0,322.0,70.0,258.0,180.0,279.0,1725.0,1080.0,16811.0
77007,4768.0,393.0,275.0,758.0,606.0,623.0,1049.0,1064.0,26104.0
77008,5338.0,529.0,131.0,924.0,964.0,882.0,1250.0,658.0,24479.0
77009,10531.0,847.0,666.0,2124.0,2110.0,2194.0,1878.0,712.0,27119.0
77010,101.0,0.0,0.0,26.0,0.0,0.0,23.0,52.0,614.0
77011,5729.0,322.0,376.0,1344.0,1279.0,1291.0,1033.0,84.0,12635.0
77012,4671.0,423.0,400.0,1135.0,909.0,860.0,892.0,52.0,14948.0
77013,5742.0,216.0,496.0,1571.0,1234.0,1232.0,968.0,25.0,13986.0
77014,10643.0,593.0,621.0,2188.0,2081.0,2330.0,2626.0,204.0,19566.0
77015,15933.0,791.0,1044.0,3848.0,3668.0,3745.0,2597.0,240.0,36374.0
77016,6695.0,274.0,609.0,1367.0,1554.0,1553.0,1158.0,180.0,19051.0
77017,9868.0,698.0,828.0,2216.0,2060.0,2506.0,1462.0,98.0,22776.0
77018,5501.0,593.0,329.0,1341.0,970.0,885.0,1034.0,349.0,20189.0
77019,3491.0,335.0,160.0,473.0,620.0,562.0,600.0,741.0,16108.0
