Zipcode,Cost less than $100,Cost from $100 to $199,Cost from $200 to $299,Cost from $300 to $399,Cost from $400 to $499,Cost from $500 to $599,Cost from $600 to $699,Cost from $700 to $799,Cost from $800 to $899,Cost from $900 to $999,Cost from $1k to $1.499k,Cost from $1.5k to 1.999k,Cost from $2k to $2.499,Cost from $2.5k to $2.999k
77520,81.0,336.0,771.0,1024.0,898.0,1054.0,1007.0,917.0,1239.0,838.0,2560.0,841.0,202.0,363.0
77521,57.0,284.0,495.0,605.0,838.0,1500.0,1503.0,1369.0,1283.0,1481.0,4483.0,2516.0,1104.0,253.0
77530,0.0,112.0,325.0,397.0,779.0,502.0,782.0,995.0,479.0,905.0,2771.0,686.0,244.0,121.0
77532,14.0,139.0,443.0,460.0,511.0,592.0,465.0,566.0,646.0,455.0,2816.0,1443.0,594.0,220.0
77536,0.0,151.0,263.0,372.0,487.0,641.0,801.0,398.0,448.0,465.0,3378.0,2133.0,1066.0,194.0
77547,0.0,181.0,126.0,306.0,351.0,139.0,120.0,135.0,119.0,187.0,774.0,99.0,0.0,158.0
77562,16.0,149.0,182.0,221.0,243.0,124.0,163.0,306.0,201.0,343.0,1054.0,371.0,143.0,42.0
77571,7.0,192.0,357.0,402.0,880.0,754.0,738.0,561.0,709.0,712.0,3524.0,2672.0,636.0,165.0
77586,0.0,31.0,69.0,140.0,197.0,432.0,490.0,728.0,774.0,526.0,1545.0,1446.0,2004.0,10.0
77587,18.0,158.0,278.0,392.0,428.0,392.0,415.0,454.0,301.0,342.0,1048.0,139.0,93.0,133.0
77598,0.0,22.0,16.0,83.0,204.0,359.0,894.0,1294.0,1388.0,1439.0,3360.0,756.0,208.0,47.0
77002,0.0,0.0,65.0,41.0,171.0,95.0,101.0,158.0,75.0,117.0,1210.0,530.0,375.0,43.0
77003,27.0,204.0,144.0,181.0,280.0,267.0,295.0,244.0,164.0,373.0,705.0,759.0,573.0,128.0
77004,65.0,203.0,419.0,434.0,488.0,1041.0,1126.0,1057.0,896.0,467.0,2293.0,1998.0,2030.0,214.0
77005,12.0,34.0,11.0,43.0,0.0,83.0,221.0,217.0,186.0,172.0,1316.0,1354.0,5645.0,160.0
77006,8.0,0.0,46.0,80.0,117.0,612.0,554.0,946.0,1309.0,1000.0,2528.0,1763.0,2669.0,200.0
77007,12.0,51.0,174.0,189.0,374.0,457.0,316.0,630.0,908.0,838.0,3766.0,3046.0,5630.0,190.0
77008,16.0,125.0,277.0,305.0,586.0,604.0,492.0,1218.0,1104.0,924.0,3185.0,2008.0,3960.0,277.0
77009,104.0,227.0,643.0,825.0,1005.0,1095.0,1464.0,1012.0,845.0,986.0,2501.0,1633.0,1323.0,332.0
77010,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,34.0,425.0,0.0
77011,18.0,197.0,442.0,625.0,729.0,711.0,606.0,363.0,204.0,518.0,746.0,56.0,18.0,222.0
77012,60.0,158.0,375.0,522.0,461.0,894.0,1076.0,648.0,334.0,424.0,845.0,66.0,70.0,249.0
77013,11.0,139.0,292.0,211.0,332.0,605.0,518.0,759.0,740.0,524.0,1297.0,165.0,12.0,68.0
77014,26.0,74.0,209.0,271.0,297.0,1154.0,1193.0,631.0,1138.0,917.0,2562.0,1427.0,529.0,52.0
77015,16.0,275.0,650.0,1080.0,1037.0,1524.0,1878.0,1789.0,1346.0,1646.0,4059.0,830.0,330.0,221.0
77016,92.0,600.0,1022.0,1228.0,907.0,748.0,682.0,752.0,544.0,469.0,1446.0,289.0,20.0,534.0
77017,65.0,174.0,492.0,765.0,661.0,946.0,1267.0,1084.0,908.0,566.0,2296.0,514.0,46.0,134.0
77018,41.0,149.0,287.0,371.0,713.0,899.0,1118.0,890.0,516.0,323.0,1696.0,1607.0,2007.0,213.0
