Zipcode,Median household income in the past 12 months,Total Number of House-hold in the past 12 months,"Total Number of House-hold with Less than $10,000","Total Number of House-hold with an Income of $10,000 to $14,999","Total Number of House-hold with an Income of $15,000 to $19,999","Total Number of House-hold with an Income of $20,000 to $24,999","Total Number of House-hold with an Income of $25,000 to $29,999","Total Number of House-hold with an Income of $30,000 to $34,999","Total Number of House-hold with an Income of $35,000 to $39,999","Total Number of House-hold with an Income of $40,000 to $44,999","Total Number of House-hold with an Income of $45,000 to $49,999","Total Number of House-hold with an Income of $50,000 to $59,999","Total Number of House-hold with an Income of $60,000 to $74,999","Total Number of House-hold with an Income of $75,000 to $99,999","Total Number of House-hold with an Income of $100,000 to $124,999","Total Number of House-hold with an Income of $125,000 to $149,999","Total Number of House-hold with an Income of $150,000 to $199,999","Total Number of House-hold with an Income of $200,000 or more"
77002,62089.0,3185.0,359.0,215.0,104.0,25.0,36.0,103.0,90.0,173.0,143.0,281.0,279.0,397.0,284.0,152.0,219.0,325.0
77003,39039.0,4363.0,521.0,415.0,363.0,153.0,302.0,305.0,164.0,169.0,92.0,183.0,225.0,425.0,249.0,288.0,347.0,162.0
77004,47523.0,12892.0,1771.0,1112.0,806.0,703.0,435.0,456.0,405.0,509.0,358.0,793.0,868.0,954.0,874.0,792.0,955.0,1101.0
77005,166203.0,9691.0,298.0,221.0,276.0,106.0,222.0,122.0,202.0,137.0,182.0,267.0,600.0,680.0,640.0,564.0,894.0,4280.0
77006,71158.0,11894.0,764.0,433.0,346.0,496.0,619.0,418.0,310.0,421.0,279.0,984.0,970.0,991.0,1192.0,579.0,1048.0,2044.0
77007,107580.0,17211.0,643.0,495.0,315.0,486.0,411.0,398.0,339.0,459.0,226.0,814.0,1105.0,2118.0,2077.0,1425.0,2381.0,3519.0
77008,82058.0,15283.0,636.0,222.0,515.0,396.0,644.0,784.0,514.0,298.0,634.0,1084.0,1429.0,1613.0,1394.0,964.0,1528.0,2628.0
77009,43830.0,14072.0,1223.0,1068.0,961.0,970.0,893.0,866.0,593.0,564.0,643.0,720.0,971.0,1483.0,852.0,544.0,662.0,1059.0
77010,250001.0,510.0,60.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,51.0,19.0,38.0,44.0,274.0
77011,26922.0,5629.0,740.0,572.0,615.0,630.0,528.0,310.0,256.0,253.0,364.0,360.0,398.0,345.0,129.0,110.0,19.0,0.0
