Zipcode,Cost less than $100,Cost from $100 to $199,Cost from $200 to $299,Cost from $300 to $399,Cost from $400 to $499,Cost from $500 to $599,Cost from $600 to $699,Cost from $700 to $799,Cost from $800 to $899,Cost from $900 to $999,Cost from $1k to $1.499k,Cost from $1.5k to 1.999k,Cost from $2k to $2.499,Cost from $2.5k to $2.999k,Cost from $3k and more
77099,42.0,160.0,433.0,495.0,665.0,1178.0,1782.0,1876.0,2042.0,1979.0,4334.0,1085.0,192.0,17.0,41.0
77201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77336,22.0,94.0,98.0,251.0,210.0,190.0,217.0,203.0,350.0,275.0,1166.0,476.0,247.0,265.0,246.0
77338,12.0,73.0,510.0,367.0,576.0,455.0,724.0,820.0,940.0,1652.0,4482.0,1874.0,140.0,51.0,96.0
77339,13.0,39.0,122.0,427.0,459.0,565.0,549.0,689.0,827.0,1369.0,5461.0,3468.0,939.0,409.0,333.0
77345,0.0,50.0,51.0,105.0,185.0,253.0,173.0,434.0,332.0,587.0,1889.0,2309.0,1433.0,996.0,1103.0
77346,44.0,47.0,77.0,405.0,413.0,673.0,551.0,595.0,987.0,872.0,5783.0,6047.0,1971.0,820.0,503.0
77373,19.0,193.0,348.0,657.0,897.0,962.0,624.0,833.0,785.0,958.0,8240.0,3297.0,918.0,251.0,85.0
77375,52.0,167.0,253.0,320.0,605.0,361.0,502.0,660.0,706.0,775.0,4900.0,3039.0,1024.0,482.0,635.0
77377,16.0,86.0,287.0,231.0,246.0,498.0,351.0,472.0,550.0,494.0,2556.0,2274.0,1481.0,925.0,667.0
77379,24.0,74.0,231.0,327.0,587.0,733.0,898.0,1102.0,1158.0,1594.0,6215.0,6002.0,2987.0,1764.0,2219.0
77388,16.0,45.0,183.0,271.0,458.0,699.0,455.0,441.0,744.0,510.0,4541.0,4666.0,1334.0,584.0,296.0
77389,0.0,14.0,113.0,122.0,297.0,118.0,436.0,323.0,341.0,165.0,1698.0,1915.0,1569.0,1030.0,1406.0
77396,21.0,172.0,266.0,496.0,422.0,574.0,552.0,644.0,836.0,1182.0,6417.0,2183.0,841.0,280.0,772.0
