Zipcode,Employment Status Total Estimate,Estimate Total In labor force,Estimate Total Not in labor force
77586,17763.0,12235.0,5528.0
77587,12053.0,7740.0,4313.0
77598,19144.0,15149.0,3995.0
77002,11748.0,3657.0,8091.0
77003,8325.0,6110.0,2215.0
77004,32837.0,19993.0,12844.0
77005,21994.0,13473.0,8521.0
77006,20182.0,16330.0,3852.0
77007,31259.0,26165.0,5094.0
77008,27670.0,22397.0,5273.0
77009,30059.0,20182.0,9877.0
77010,793.0,624.0,169.0
77011,13670.0,8369.0,5301.0
77012,15481.0,10274.0,5207.0
77013,15160.0,9505.0,5655.0
77014,24950.0,17308.0,7642.0
77015,41012.0,27196.0,13816.0
77016,21380.0,11978.0,9402.0
77017,24615.0,15404.0,9211.0
77018,21760.0,14627.0,7133.0
77019,18746.0,14067.0,4679.0
77020,19169.0,11638.0,7531.0
77021,21121.0,13066.0,8055.0
77022,20898.0,12496.0,8402.0
77023,21273.0,14290.0,6983.0
77024,29523.0,17552.0,11971.0
77025,23171.0,16003.0,7168.0
77026,17877.0,9690.0,8187.0
77027,13941.0,10678.0,3263.0
77028,11355.0,6503.0,4852.0
77029,13400.0,7938.0,5462.0
77030,8788.0,6104.0,2684.0
77031,13728.0,10171.0,3557.0
77032,8876.0,4991.0,3885.0
77033,21586.0,11943.0,9643.0
77034,27907.0,20099.0,7808.0
77035,27514.0,19595.0,7919.0
77036,55825.0,39169.0,16656.0
77037,14314.0,9572.0,4742.0
77038,20378.0,14074.0,6304.0
77039,20137.0,12489.0,7648.0
77040,36834.0,26404.0,10430.0
77041,28103.0,19046.0,9057.0
77042,32347.0,24434.0,7913.0
77043,20930.0,14704.0,6226.0
77044,27660.0,19783.0,7877.0
77045,24938.0,16187.0,8751.0
77046,1022.0,685.0,337.0
77047,20183.0,14060.0,6123.0
77048,12761.0,7614.0,5147.0
77049,23573.0,16297.0,7276.0
77050,3792.0,2250.0,1542.0
77051,11791.0,6596.0,5195.0
77054,20530.0,14821.0,5709.0
77055,33493.0,23565.0,9928.0
77056,17703.0,12119.0,5584.0
77057,32339.0,24330.0,8009.0
77058,14601.0,10726.0,3875.0
77059,14043.0,9127.0,4916.0
77060,29438.0,19898.0,9540.0
77061,19218.0,13069.0,6149.0
77062,21368.0,14652.0,6716.0
77063,30152.0,21636.0,8516.0
77064,36924.0,25693.0,11231.0
77065,30076.0,21204.0,8872.0
77066,24861.0,17402.0,7459.0
77067,23449.0,15690.0,7759.0
77068,9504.0,6286.0,3218.0
77069,14995.0,9860.0,5135.0
77070,39004.0,28310.0,10694.0
77071,21454.0,14511.0,6943.0
77072,46139.0,31941.0,14198.0
77073,29755.0,21318.0,8437.0
77074,28658.0,19388.0,9270.0
77075,30944.0,20840.0,10104.0
77076,24326.0,15438.0,8888.0
77077,46051.0,33712.0,12339.0
77078,12087.0,6940.0,5147.0
77079,25007.0,15995.0,9012.0
77080,35041.0,24784.0,10257.0
77081,33036.0,24604.0,8432.0
77082,43712.0,31452.0,12260.0
77083,57505.0,38618.0,18887.0
77084,78038.0,56410.0,21628.0
77085,13014.0,8902.0,4112.0
77086,20052.0,13131.0,6921.0
77087,27278.0,17524.0,9754.0
77088,41281.0,26374.0,14907.0
77089,40864.0,28216.0,12648.0
77090,28147.0,20357.0,7790.0
77091,17974.0,11008.0,6966.0
77092,29307.0,20283.0,9024.0
77093,30774.0,17795.0,12979.0
77094,6911.0,4524.0,2387.0
77095,54823.0,39078.0,15745.0
77096,28591.0,20139.0,8452.0
77098,11862.0,9689.0,2173.0
77099,37936.0,25940.0,11996.0
77201,0.0,0.0,0.0
77336,9113.0,5786.0,3327.0
77338,27853.0,19302.0,8551.0
77339,32605.0,22017.0,10588.0
77345,22572.0,14281.0,8291.0
77346,44266.0,31261.0,13005.0
77373,43498.0,30785.0,12713.0
77375,33571.0,23027.0,10544.0
77377,25289.0,16868.0,8421.0
77379,59558.0,40491.0,19067.0
77388,34743.0,23686.0,11057.0
77389,21186.0,14852.0,6334.0
77396,36539.0,25796.0,10743.0
77401,14045.0,9142.0,4903.0
77429,60114.0,42161.0,17953.0
77433,47244.0,33704.0,13540.0
77447,11175.0,7144.0,4031.0
77449,80477.0,59816.0,20661.0
77450,56007.0,37961.0,18046.0
77484,8081.0,5184.0,2897.0
77493,20854.0,15056.0,5798.0
77502,27559.0,17405.0,10154.0
77503,18247.0,11591.0,6656.0
77504,17558.0,11725.0,5833.0
77505,18940.0,13277.0,5663.0
77506,26183.0,16593.0,9590.0
77507,0.0,0.0,0.0
77520,27612.0,17530.0,10082.0
77521,41607.0,26863.0,14744.0
77530,22032.0,14636.0,7396.0
77532,22150.0,13829.0,8321.0
77536,24828.0,16913.0,7915.0
77547,7075.0,4672.0,2403.0
77562,8271.0,4990.0,3281.0
77571,29365.0,20434.0,8931.0
