Zipcode,Cost less than $100,Cost from $100 to $199,Cost from $200 to $299,Cost from $300 to $399,Cost from $400 to $499,Cost from $500 to $599,Cost from $600 to $699,Cost from $700 to $799,Cost from $800 to $899,Cost from $900 to $999,Cost from $1k to $1.499k,Cost from $1.5k to 1.999k,Cost from $2k to $2.499,Cost from $2.5k to $2.999k
77002,12.0,21.0,67.0,51.0,86.0,193.0,27.0,72.0,224.0,163.0,899.0,524.0,392.0,10.0
77003,26.0,198.0,149.0,170.0,550.0,467.0,368.0,137.0,107.0,286.0,596.0,412.0,363.0,120.0
77004,74.0,363.0,434.0,457.0,969.0,1418.0,1210.0,1257.0,706.0,485.0,2033.0,1231.0,1483.0,232.0
77005,0.0,13.0,20.0,9.0,28.0,171.0,231.0,265.0,251.0,168.0,1515.0,1557.0,5198.0,109.0
77006,14.0,37.0,33.0,72.0,193.0,772.0,669.0,1257.0,1047.0,681.0,2547.0,1480.0,2567.0,112.0
77007,28.0,148.0,278.0,382.0,262.0,625.0,545.0,618.0,1009.0,693.0,3460.0,2193.0,4135.0,130.0
77008,15.0,107.0,390.0,383.0,557.0,650.0,930.0,1475.0,979.0,912.0,2331.0,1601.0,3574.0,323.0
77009,143.0,286.0,600.0,750.0,983.0,1180.0,1767.0,1112.0,734.0,706.0,2828.0,1119.0,1323.0,346.0
77010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0
77011,26.0,176.0,531.0,749.0,785.0,797.0,716.0,396.0,367.0,388.0,595.0,27.0,46.0,235.0
77012,94.0,201.0,330.0,446.0,641.0,1038.0,873.0,708.0,360.0,320.0,917.0,169.0,53.0,139.0
77013,21.0,136.0,182.0,229.0,316.0,490.0,536.0,749.0,575.0,510.0,1484.0,170.0,12.0,24.0
77014,26.0,36.0,97.0,140.0,274.0,944.0,767.0,1128.0,1144.0,729.0,1904.0,1355.0,920.0,86.0
77015,42.0,328.0,696.0,903.0,925.0,1524.0,1671.0,1483.0,1493.0,1393.0,4210.0,1122.0,263.0,263.0
77016,67.0,366.0,660.0,1023.0,1157.0,843.0,980.0,664.0,430.0,622.0,1696.0,239.0,48.0,381.0
77017,54.0,135.0,524.0,613.0,635.0,1173.0,1083.0,1133.0,762.0,802.0,2256.0,602.0,42.0,115.0
77018,43.0,204.0,274.0,473.0,713.0,991.0,1036.0,916.0,637.0,441.0,2015.0,1514.0,1538.0,287.0
77019,0.0,89.0,167.0,57.0,122.0,226.0,346.0,506.0,598.0,342.0,2569.0,1575.0,3230.0,81.0
77020,55.0,433.0,499.0,890.0,1110.0,880.0,987.0,689.0,468.0,492.0,776.0,268.0,107.0,294.0
77021,56.0,234.0,790.0,715.0,562.0,805.0,743.0,772.0,1029.0,648.0,1971.0,643.0,419.0,280.0
77022,53.0,425.0,674.0,862.0,706.0,911.0,824.0,844.0,644.0,867.0,1579.0,280.0,126.0,223.0
77023,17.0,196.0,303.0,542.0,1002.0,1341.0,1469.0,760.0,600.0,326.0,2064.0,441.0,165.0,230.0
77024,0.0,72.0,80.0,119.0,197.0,246.0,594.0,525.0,775.0,560.0,2844.0,1907.0,6271.0,179.0
77025,13.0,24.0,79.0,126.0,335.0,696.0,1048.0,1012.0,984.0,886.0,2211.0,1009.0,2755.0,173.0
77026,32.0,595.0,748.0,629.0,1053.0,1349.0,1080.0,708.0,620.0,326.0,872.0,55.0,40.0,292.0
77027,17.0,0.0,0.0,18.0,18.0,22.0,216.0,785.0,1012.0,605.0,2289.0,1206.0,2386.0,51.0
77028,108.0,427.0,975.0,459.0,540.0,563.0,265.0,428.0,543.0,368.0,730.0,175.0,0.0,185.0
77029,17.0,189.0,541.0,753.0,579.0,425.0,487.0,457.0,589.0,564.0,835.0,20.0,86.0,116.0
77030,0.0,0.0,15.0,49.0,114.0,176.0,328.0,400.0,229.0,318.0,1607.0,957.0,1165.0,76.0
77031,0.0,0.0,97.0,194.0,289.0,856.0,654.0,511.0,386.0,319.0,1234.0,711.0,200.0,50.0
77032,0.0,164.0,420.0,230.0,205.0,274.0,209.0,435.0,495.0,428.0,954.0,52.0,47.0,121.0
77033,55.0,432.0,896.0,863.0,646.0,1033.0,521.0,771.0,941.0,783.0,1414.0,256.0,89.0,338.0
77034,0.0,91.0,258.0,395.0,617.0,1002.0,1171.0,899.0,1280.0,1159.0,2814.0,1109.0,210.0,147.0
77035,57.0,107.0,176.0,395.0,726.0,1473.0,2007.0,1633.0,1049.0,699.0,2660.0,1334.0,779.0,188.0
