Zipcode,Median household income in the past 12 months,Total Number of House-hold in the past 12 months,"Total Number of House-hold with Less than $10,000","Total Number of House-hold with an Income of $10,000 to $14,999","Total Number of House-hold with an Income of $15,000 to $19,999","Total Number of House-hold with an Income of $20,000 to $24,999","Total Number of House-hold with an Income of $25,000 to $29,999","Total Number of House-hold with an Income of $30,000 to $34,999","Total Number of House-hold with an Income of $35,000 to $39,999","Total Number of House-hold with an Income of $40,000 to $44,999","Total Number of House-hold with an Income of $45,000 to $49,999","Total Number of House-hold with an Income of $50,000 to $59,999","Total Number of House-hold with an Income of $60,000 to $74,999","Total Number of House-hold with an Income of $75,000 to $99,999","Total Number of House-hold with an Income of $100,000 to $124,999","Total Number of House-hold with an Income of $125,000 to $149,999","Total Number of House-hold with an Income of $150,000 to $199,999","Total Number of House-hold with an Income of $200,000 or more"
77598,52167.0,10349.0,496.0,260.0,344.0,553.0,653.0,601.0,658.0,743.0,603.0,1059.0,1453.0,1353.0,761.0,320.0,290.0,202.0
77502,46105.0,10950.0,738.0,471.0,573.0,713.0,751.0,825.0,650.0,598.0,527.0,853.0,1515.0,1210.0,735.0,460.0,172.0,159.0
77547,41037.0,2694.0,201.0,117.0,179.0,294.0,147.0,197.0,178.0,133.0,249.0,121.0,323.0,251.0,162.0,43.0,90.0,9.0
77503,45778.0,8046.0,515.0,392.0,569.0,676.0,657.0,427.0,283.0,438.0,405.0,632.0,1080.0,1129.0,442.0,241.0,133.0,27.0
77521,62513.0,18970.0,1331.0,1025.0,712.0,651.0,824.0,617.0,832.0,987.0,656.0,1362.0,2317.0,2529.0,1844.0,1386.0,987.0,910.0
77530,55761.0,9239.0,409.0,330.0,564.0,426.0,436.0,611.0,332.0,451.0,504.0,887.0,1264.0,1299.0,753.0,425.0,410.0,138.0
77571,75232.0,13248.0,517.0,539.0,411.0,385.0,374.0,465.0,564.0,565.0,530.0,785.0,1460.0,1987.0,1869.0,1059.0,1145.0,593.0
77336,67563.0,4430.0,328.0,147.0,180.0,156.0,194.0,179.0,237.0,242.0,72.0,356.0,364.0,585.0,471.0,357.0,199.0,363.0
77094,158160.0,3167.0,97.0,23.0,17.0,15.0,36.0,32.0,30.0,55.0,19.0,129.0,234.0,302.0,228.0,264.0,480.0,1206.0
77096,61583.0,14382.0,1224.0,643.0,597.0,614.0,606.0,579.0,625.0,489.0,553.0,1104.0,1312.0,885.0,1273.0,930.0,1056.0,1892.0
77379,99693.0,26321.0,458.0,409.0,301.0,326.0,597.0,859.0,889.0,522.0,898.0,1562.0,2499.0,3889.0,2843.0,2373.0,3755.0,4141.0
77389,115725.0,10482.0,254.0,128.0,107.0,174.0,254.0,204.0,214.0,290.0,192.0,333.0,872.0,1339.0,1439.0,1159.0,1354.0,2169.0
77010,250001.0,589.0,27.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,40.0,39.0,21.0,46.0,49.0,347.0
