Zipcode,Less than high school graduate,High school graduate (includes equivalency),Some college or associate degree,Bachelor degree,Graduate or professional degree
77562,1331.0,2216.0,2464.0,295.0,237.0
77571,3269.0,7729.0,8464.0,2540.0,1079.0
77586,692.0,1994.0,4489.0,4783.0,2472.0
77587,4228.0,2648.0,1438.0,408.0,252.0
77598,1791.0,3396.0,5719.0,2582.0,861.0
77002,2413.0,2318.0,1906.0,1389.0,1054.0
77003,2191.0,1384.0,1426.0,1141.0,745.0
77004,2998.0,2899.0,4437.0,4387.0,4293.0
77005,262.0,689.0,1969.0,5473.0,7948.0
77006,557.0,1801.0,3086.0,5607.0,5488.0
77007,2382.0,2375.0,4019.0,9561.0,6667.0
77008,2755.0,3310.0,4705.0,7974.0,5149.0
77009,8644.0,6234.0,4989.0,3541.0,2404.0
77010,9.0,10.0,54.0,168.0,251.0
77011,6796.0,3275.0,1590.0,190.0,72.0
77012,6655.0,3594.0,2051.0,532.0,164.0
77013,4583.0,3426.0,2159.0,446.0,285.0
77014,4332.0,4370.0,5678.0,2112.0,740.0
77015,10979.0,9612.0,7902.0,2264.0,974.0
77016,5246.0,7503.0,4008.0,1015.0,545.0
77017,8315.0,5616.0,3993.0,1027.0,570.0
77018,2885.0,4370.0,5187.0,4254.0,2340.0
77019,684.0,1209.0,2682.0,5549.0,4869.0
77020,7744.0,4353.0,2659.0,843.0,306.0
77021,3863.0,4520.0,4668.0,2064.0,1709.0
77022,7699.0,5210.0,3341.0,679.0,258.0
77023,8489.0,4112.0,3483.0,1615.0,563.0
77024,865.0,2023.0,4467.0,9691.0,8023.0
77025,1366.0,1535.0,3525.0,5559.0,6570.0
77026,5698.0,4646.0,2921.0,545.0,289.0
77027,285.0,746.0,2370.0,4855.0,4066.0
77028,3247.0,4419.0,2324.0,464.0,163.0
77029,5241.0,3322.0,2112.0,448.0,217.0
77030,174.0,311.0,963.0,2271.0,3875.0
77031,3179.0,2392.0,2529.0,1715.0,635.0
77032,3124.0,2202.0,1563.0,148.0,112.0
77033,5521.0,6536.0,4195.0,861.0,344.0
77034,6040.0,5425.0,6236.0,2237.0,438.0
77035,5791.0,4883.0,5608.0,3586.0,2099.0
77036,16438.0,8822.0,7444.0,4675.0,1621.0
77037,6232.0,2792.0,1524.0,325.0,1.0
77038,6530.0,4811.0,2890.0,1116.0,258.0
77039,7592.0,4459.0,2652.0,418.0,128.0
77040,5485.0,8431.0,7940.0,4408.0,2490.0
77041,4606.0,5478.0,5147.0,4956.0,2810.0
77042,2687.0,3947.0,7799.0,7075.0,3702.0
77043,3171.0,3395.0,4516.0,3305.0,1149.0
77044,3982.0,4975.0,5484.0,2796.0,1858.0
77045,5527.0,6482.0,4458.0,1766.0,828.0
77046,0.0,45.0,218.0,477.0,242.0
77047,2453.0,3562.0,4908.0,2380.0,1110.0
77048,2587.0,3264.0,2909.0,813.0,327.0
77049,4211.0,4542.0,4670.0,1778.0,899.0
77050,945.0,965.0,787.0,123.0,71.0
77051,2064.0,3958.0,2613.0,659.0,164.0
77054,297.0,1879.0,3934.0,4539.0,4119.0
77055,9389.0,5442.0,4889.0,5180.0,2674.0
77056,258.0,882.0,2615.0,6317.0,4188.0
77057,4792.0,3204.0,6657.0,9344.0,5528.0
77058,758.0,1752.0,4042.0,3340.0,1887.0
77059,478.0,1025.0,2010.0,5283.0,3748.0
77060,11527.0,6281.0,3956.0,536.0,426.0
77061,5685.0,4454.0,2864.0,1187.0,388.0
77062,1207.0,2456.0,5299.0,5656.0,3358.0
77063,3263.0,3965.0,7272.0,7698.0,3982.0
77064,4661.0,7410.0,8938.0,6435.0,2283.0
77065,2933.0,5860.0,8139.0,4538.0,1813.0
77066,4036.0,5348.0,6037.0,2676.0,1233.0
77067,4945.0,4850.0,5027.0,1407.0,328.0
77068,1208.0,1285.0,2084.0,1815.0,654.0
77069,507.0,1874.0,3782.0,3823.0,1993.0
77070,2739.0,6962.0,10057.0,8374.0,3195.0
77071,3306.0,3617.0,4812.0,3417.0,1836.0
77072,11951.0,8890.0,7857.0,3693.0,1060.0
77073,4400.0,7067.0,6223.0,2213.0,871.0
77074,7654.0,5574.0,5261.0,3282.0,1236.0
77075,7024.0,6572.0,5771.0,2249.0,689.0
77076,9030.0,5757.0,2598.0,552.0,42.0
77077,1952.0,5303.0,10660.0,12004.0,7031.0
77078,3190.0,3089.0,2451.0,377.0,210.0
77079,979.0,2631.0,4847.0,8321.0,4703.0
77080,10904.0,7817.0,5931.0,3167.0,1059.0
77081,10973.0,5925.0,4152.0,2841.0,1481.0
77082,3911.0,7291.0,10486.0,7694.0,3892.0
77083,9791.0,9999.0,12845.0,7506.0,2693.0
77084,9829.0,16015.0,19028.0,11990.0,4166.0
77085,2488.0,2553.0,2455.0,1482.0,417.0
77086,5684.0,5310.0,3348.0,1156.0,317.0
77087,9701.0,6828.0,3788.0,1292.0,381.0
77088,9525.0,9526.0,8273.0,2707.0,1204.0
77089,5858.0,8306.0,11482.0,5034.0,1940.0
77090,2826.0,5017.0,7294.0,3053.0,1611.0
77091,4462.0,4607.0,3882.0,1352.0,656.0
77092,6994.0,6350.0,5136.0,2400.0,898.0
77093,13172.0,6309.0,3519.0,742.0,161.0
77094,51.0,481.0,862.0,2773.0,1526.0
77095,2860.0,7752.0,13763.0,12787.0,5391.0
77096,2224.0,3277.0,5638.0,7141.0,5505.0
77098,344.0,347.0,2073.0,3823.0,3893.0
77099,8462.0,7366.0,7138.0,3485.0,1276.0
77201,0.0,0.0,0.0,0.0,0.0
77336,874.0,2679.0,2623.0,1240.0,292.0
77338,3488.0,5771.0,7708.0,2857.0,1239.0
77339,1329.0,4895.0,9736.0,7459.0,3400.0
77345,370.0,2203.0,5226.0,6729.0,4114.0
77346,1903.0,7159.0,12669.0,8337.0,3717.0
77373,3499.0,10308.0,13532.0,4992.0,1829.0
77375,2623.0,7813.0,8091.0,5069.0,1741.0
77377,2020.0,3356.0,5802.0,5190.0,2145.0
77379,3290.0,7834.0,13571.0,14207.0,7428.0
77388,2366.0,5544.0,9678.0,6015.0,3132.0
77389,1293.0,2915.0,4872.0,4757.0,1655.0
77396,5359.0,7256.0,7995.0,4246.0,2513.0
77401,288.0,712.0,1847.0,3962.0,5123.0
77429,2590.0,8876.0,13525.0,14503.0,6065.0
77433,2761.0,6661.0,8638.0,9844.0,3889.0
77447,1446.0,2756.0,2599.0,843.0,296.0
77449,8784.0,15112.0,19193.0,9186.0,3122.0
77450,2034.0,5994.0,12856.0,16450.0,6946.0
77493,2100.0,3469.0,5138.0,2762.0,1177.0
77502,7201.0,6621.0,5077.0,986.0,471.0
77503,4593.0,5049.0,3828.0,770.0,170.0
77504,3584.0,4324.0,4920.0,1433.0,567.0
