Zipcode,Employment Status Total Estimate,Estimate Total In labor force,Estimate Total Not in labor force
77562,8277.0,5269.0,3008.0
77571,27815.0,19530.0,8285.0
77586,17016.0,12114.0,4902.0
77587,11672.0,7704.0,3968.0
77598,18143.0,13773.0,4370.0
77002,11439.0,3369.0,8070.0
77003,8435.0,5711.0,2724.0
77004,27847.0,17114.0,10733.0
77005,20409.0,13097.0,7312.0
77006,19143.0,15307.0,3836.0
77007,27618.0,22581.0,5037.0
77008,26211.0,20685.0,5526.0
77009,31157.0,21004.0,10153.0
77010,536.0,422.0,114.0
77011,14462.0,8379.0,6083.0
77012,16559.0,10840.0,5719.0
77013,14115.0,9045.0,5070.0
77014,21600.0,15226.0,6374.0
77015,40515.0,26939.0,13576.0
77016,21344.0,11540.0,9804.0
77017,24592.0,14936.0,9656.0
77018,21255.0,14725.0,6530.0
77019,17134.0,13324.0,3810.0
77020,19536.0,11039.0,8497.0
77021,20522.0,11715.0,8807.0
77022,21595.0,12965.0,8630.0
77023,22559.0,15143.0,7416.0
77024,27879.0,17236.0,10643.0
77025,21074.0,14817.0,6257.0
77026,17089.0,8809.0,8280.0
77027,14244.0,11177.0,3067.0
77028,12403.0,7032.0,5371.0
77029,13563.0,7953.0,5610.0
77030,9219.0,6448.0,2771.0
77031,13113.0,9772.0,3341.0
77032,9356.0,5004.0,4352.0
77033,20876.0,11182.0,9694.0
77034,25343.0,18106.0,7237.0
77035,26603.0,18547.0,8056.0
77036,49256.0,34819.0,14437.0
77037,13854.0,8642.0,5212.0
77038,19363.0,12796.0,6567.0
77039,19837.0,12309.0,7528.0
77040,34534.0,25259.0,9275.0
77041,27247.0,18931.0,8316.0
77042,29749.0,23530.0,6219.0
77043,18595.0,12887.0,5708.0
77044,22807.0,15917.0,6890.0
77045,23832.0,14779.0,9053.0
77046,1069.0,700.0,369.0
77047,17211.0,12215.0,4996.0
77048,12287.0,7296.0,4991.0
77049,21425.0,14338.0,7087.0
77050,3260.0,1941.0,1319.0
77051,11478.0,5727.0,5751.0
77054,19077.0,13902.0,5175.0
77055,32109.0,22432.0,9677.0
77056,15686.0,10677.0,5009.0
77057,33317.0,25316.0,8001.0
77058,13722.0,9839.0,3883.0
77059,14711.0,9738.0,4973.0
77060,29540.0,21337.0,8203.0
77061,18453.0,12086.0,6367.0
77062,20506.0,14236.0,6270.0
77063,29754.0,22621.0,7133.0
77064,35034.0,25030.0,10004.0
77065,28314.0,20364.0,7950.0
77066,23635.0,16533.0,7102.0
77067,21340.0,14336.0,7004.0
77068,8231.0,5890.0,2341.0
77069,13793.0,9140.0,4653.0
77070,36863.0,27160.0,9703.0
77071,20625.0,14161.0,6464.0
77072,42538.0,29390.0,13148.0
77073,26383.0,19334.0,7049.0
77074,27742.0,18927.0,8815.0
77075,28172.0,19956.0,8216.0
77076,24034.0,15096.0,8938.0
77077,42707.0,32158.0,10549.0
77078,12057.0,6901.0,5156.0
77079,24073.0,16305.0,7768.0
77080,36462.0,25414.0,11048.0
77081,30913.0,22807.0,8106.0
77082,39504.0,29055.0,10449.0
77083,53651.0,36468.0,17183.0
77084,74549.0,53146.0,21403.0
77085,11617.0,8290.0,3327.0
77086,19458.0,13106.0,6352.0
77087,27562.0,17475.0,10087.0
77088,38101.0,24592.0,13509.0
77089,38952.0,27946.0,11006.0
77090,24464.0,17853.0,6611.0
77091,17533.0,11093.0,6440.0
77092,26437.0,17637.0,8800.0
77093,30432.0,17488.0,12944.0
77094,6796.0,4266.0,2530.0
77095,51026.0,38807.0,12219.0
77096,27498.0,18921.0,8577.0
77098,11665.0,9625.0,2040.0
77099,33955.0,22372.0,11583.0
77201,0.0,0.0,0.0
77336,8971.0,5884.0,3087.0
77338,25923.0,18293.0,7630.0
77339,31905.0,21908.0,9997.0
77345,21666.0,14032.0,7634.0
77346,39944.0,28883.0,11061.0
77373,40945.0,29873.0,11072.0
77375,29091.0,19897.0,9194.0
77377,21710.0,15013.0,6697.0
77379,54525.0,37867.0,16658.0
77388,30252.0,21699.0,8553.0
77389,17645.0,12217.0,5428.0
77396,32714.0,22886.0,9828.0
77401,13627.0,9435.0,4192.0
77429,53418.0,38622.0,14796.0
77433,37858.0,27116.0,10742.0
77447,9528.0,5984.0,3544.0
77449,67884.0,50226.0,17658.0
77450,52374.0,37403.0,14971.0
77484,8402.0,5329.0,3073.0
77493,17564.0,12869.0,4695.0
77502,25919.0,15997.0,9922.0
77503,18267.0,11516.0,6751.0
77504,18096.0,11681.0,6415.0
77505,18300.0,13036.0,5264.0
77506,24653.0,14907.0,9746.0
77507,0.0,0.0,0.0
77520,27902.0,17025.0,10877.0
77521,36789.0,23545.0,13244.0
77530,21365.0,14261.0,7104.0
77532,20347.0,13217.0,7130.0
77536,23675.0,16115.0,7560.0
77547,7048.0,4012.0,3036.0
