Zipcode,Estimate!!Total,Estimate!!Total!!Below 100 percent of the poverty level,Estimate!!Total!!100 to 149 percent of the poverty level,Estimate!!Total!!At or above 150 percent of the poverty level,Estimate!!Total!!Same house 1 year ago,Estimate!!Total!!Same house 1 year ago!!Below 100 percent of the poverty level,Estimate!!Total!!Same house 1 year ago!!100 to 149 percent of the poverty level,Estimate!!Total!!Same house 1 year ago!!At or above 150 percent of the poverty level,Estimate!!Total!!Moved within same county,Estimate!!Total!!Moved within same county!!Below 100 percent of the poverty level,Estimate!!Total!!Moved within same county!!100 to 149 percent of the poverty level,Estimate!!Total!!Moved within same county!!At or above 150 percent of the poverty level,Estimate!!Total!!Moved from different county within same state,Estimate!!Total!!Moved from different county within same state!!Below 100 percent of the poverty level,Estimate!!Total!!Moved from different county within same state!!100 to 149 percent of the poverty level,Estimate!!Total!!Moved from different county within same state!!At or above 150 percent of the poverty level,Estimate!!Total!!Moved from different state,Estimate!!Total!!Moved from different state!!Below 100 percent of the poverty level,Estimate!!Total!!Moved from different state!!100 to 149 percent of the poverty level,Estimate!!Total!!Moved from different state!!At or above 150 percent of the poverty level,Estimate!!Total!!Moved from abroad,Estimate!!Total!!Moved from abroad!!Below 100 percent of the poverty level,Estimate!!Total!!Moved from abroad!!100 to 149 percent of the poverty level,Estimate!!Total!!Moved from abroad!!At or above 150 percent of the poverty level
77484,10692.0,1039.0,818.0,8835.0,9452.0,785.0,818.0,7849.0,519.0,152.0,0.0,367.0,558.0,93.0,0.0,465.0,131.0,0.0,0.0,131.0,32.0,9.0,0.0,23.0
77493,22141.0,2522.0,1233.0,18386.0,18837.0,1928.0,1013.0,15896.0,1912.0,517.0,173.0,1222.0,820.0,77.0,22.0,721.0,498.0,0.0,25.0,473.0,74.0,0.0,0.0,74.0
77502,35276.0,7374.0,5408.0,22494.0,29043.0,5570.0,3934.0,19539.0,5590.0,1696.0,1377.0,2517.0,266.0,51.0,22.0,193.0,332.0,57.0,30.0,245.0,45.0,0.0,45.0,0.0
77503,23423.0,4970.0,3594.0,14859.0,18842.0,3346.0,2756.0,12740.0,4027.0,1432.0,760.0,1835.0,351.0,112.0,28.0,211.0,128.0,66.0,0.0,62.0,75.0,14.0,50.0,11.0
77504,23744.0,4311.0,3430.0,16003.0,17412.0,2444.0,2347.0,12621.0,5339.0,1712.0,847.0,2780.0,452.0,51.0,116.0,285.0,295.0,52.0,96.0,147.0,246.0,52.0,24.0,170.0
77505,22923.0,2508.0,1487.0,18928.0,19475.0,1485.0,1224.0,16766.0,2422.0,934.0,156.0,1332.0,696.0,76.0,41.0,579.0,168.0,0.0,0.0,168.0,162.0,13.0,66.0,83.0
77506,35862.0,11905.0,6348.0,17609.0,28926.0,8349.0,5313.0,15264.0,5653.0,2867.0,998.0,1788.0,688.0,397.0,0.0,291.0,461.0,221.0,0.0,240.0,134.0,71.0,37.0,26.0
77507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77520,36275.0,7778.0,4837.0,23660.0,29522.0,5200.0,3977.0,20345.0,5179.0,2285.0,613.0,2281.0,941.0,126.0,247.0,568.0,562.0,149.0,0.0,413.0,71.0,18.0,0.0,53.0
77521,48275.0,8000.0,4880.0,35395.0,38934.0,5931.0,3015.0,29988.0,6560.0,1150.0,1633.0,3777.0,1522.0,370.0,109.0,1043.0,1053.0,492.0,110.0,451.0,206.0,57.0,13.0,136.0
77530,30075.0,7667.0,3344.0,19064.0,25966.0,6330.0,2883.0,16753.0,3449.0,1001.0,406.0,2042.0,232.0,53.0,55.0,124.0,176.0,126.0,0.0,50.0,252.0,157.0,0.0,95.0
77532,25951.0,2623.0,2377.0,20951.0,23018.0,2187.0,2217.0,18614.0,2044.0,335.0,160.0,1549.0,634.0,51.0,0.0,583.0,77.0,23.0,0.0,54.0,178.0,27.0,0.0,151.0
77536,30368.0,2122.0,1691.0,26555.0,26649.0,1450.0,1379.0,23820.0,3025.0,595.0,312.0,2118.0,298.0,41.0,0.0,257.0,352.0,36.0,0.0,316.0,44.0,0.0,0.0,44.0
77547,9847.0,2221.0,2361.0,5265.0,8157.0,1641.0,2352.0,4164.0,1689.0,580.0,9.0,1100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
77562,10752.0,1268.0,1512.0,7972.0,9046.0,833.0,1184.0,7029.0,1216.0,265.0,134.0,817.0,290.0,0.0,194.0,96.0,200.0,170.0,0.0,30.0,0.0,0.0,0.0,0.0
77571,34976.0,3747.0,3344.0,27885.0,29915.0,2941.0,2663.0,24311.0,3454.0,528.0,372.0,2554.0,1198.0,132.0,173.0,893.0,394.0,146.0,136.0,112.0,15.0,0.0,0.0,15.0
77586,21140.0,1450.0,1116.0,18574.0,17578.0,739.0,533.0,16306.0,1608.0,204.0,318.0,1086.0,1138.0,412.0,113.0,613.0,620.0,95.0,152.0,373.0,196.0,0.0,0.0,196.0
77587,16336.0,4372.0,2271.0,9693.0,13510.0,2949.0,1901.0,8660.0,2326.0,1262.0,185.0,879.0,86.0,0.0,81.0,5.0,318.0,161.0,53.0,104.0,96.0,0.0,51.0,45.0
77598,23276.0,3280.0,3039.0,16957.0,15530.0,1574.0,1972.0,11984.0,3883.0,973.0,611.0,2299.0,2126.0,459.0,244.0,1423.0,1300.0,202.0,145.0,953.0,437.0,72.0,67.0,298.0
77002,4273.0,813.0,329.0,3131.0,2459.0,379.0,132.0,1948.0,1031.0,229.0,92.0,710.0,283.0,147.0,0.0,136.0,454.0,45.0,105.0,304.0,46.0,13.0,0.0,33.0
77003,10000.0,3751.0,963.0,5286.0,8134.0,2973.0,917.0,4244.0,1400.0,561.0,33.0,806.0,339.0,157.0,13.0,169.0,81.0,28.0,0.0,53.0,46.0,32.0,0.0,14.0
77004,24557.0,6884.0,2353.0,15320.0,17897.0,4212.0,1557.0,12128.0,4498.0,1872.0,654.0,1972.0,1087.0,572.0,79.0,436.0,702.0,146.0,7.0,549.0,373.0,82.0,56.0,235.0
77005,23009.0,635.0,217.0,22157.0,20067.0,474.0,148.0,19445.0,1341.0,70.0,50.0,1221.0,348.0,5.0,10.0,333.0,727.0,63.0,9.0,655.0,526.0,23.0,0.0,503.0
77006,19221.0,2600.0,1686.0,14935.0,14036.0,1543.0,1355.0,11138.0,3310.0,780.0,197.0,2333.0,749.0,171.0,23.0,555.0,694.0,31.0,94.0,569.0,432.0,75.0,17.0,340.0
77007,29133.0,2756.0,1979.0,24398.0,22568.0,1978.0,1703.0,18887.0,4402.0,426.0,206.0,3770.0,723.0,118.0,24.0,581.0,983.0,169.0,46.0,768.0,457.0,65.0,0.0,392.0
77008,28518.0,2976.0,2047.0,23495.0,23085.0,2005.0,1610.0,19470.0,3970.0,446.0,380.0,3144.0,738.0,263.0,16.0,459.0,483.0,84.0,41.0,358.0,242.0,178.0,0.0,64.0
77009,38052.0,9987.0,4513.0,23552.0,31838.0,8126.0,3920.0,19792.0,5143.0,1619.0,565.0,2959.0,474.0,179.0,13.0,282.0,411.0,61.0,5.0,345.0,186.0,2.0,10.0,174.0
77010,342.0,52.0,0.0,290.0,93.0,0.0,0.0,93.0,143.0,52.0,0.0,91.0,42.0,0.0,0.0,42.0,56.0,0.0,0.0,56.0,8.0,0.0,0.0,8.0
77011,19163.0,6170.0,3714.0,9279.0,15581.0,4523.0,2949.0,8109.0,2877.0,1378.0,573.0,926.0,220.0,109.0,28.0,83.0,266.0,43.0,103.0,120.0,219.0,117.0,61.0,41.0
77012,21094.0,5681.0,4698.0,10715.0,17355.0,4199.0,3598.0,9558.0,3459.0,1403.0,1006.0,1050.0,149.0,40.0,91.0,18.0,58.0,14.0,0.0,44.0,73.0,25.0,3.0,45.0
77013,18346.0,4416.0,2662.0,11268.0,15199.0,3531.0,2187.0,9481.0,2595.0,682.0,360.0,1553.0,172.0,60.0,86.0,26.0,191.0,43.0,0.0,148.0,189.0,100.0,29.0,60.0
77014,28890.0,7711.0,3647.0,17532.0,21289.0,3971.0,2500.0,14818.0,6516.0,3281.0,986.0,2249.0,144.0,3.0,0.0,141.0,706.0,387.0,161.0,158.0,235.0,69.0,0.0,166.0
77015,53358.0,10694.0,8861.0,33803.0,44648.0,7808.0,7636.0,29204.0,7149.0,2353.0,1091.0,3705.0,828.0,211.0,80.0,537.0,490.0,301.0,44.0,145.0,243.0,21.0,10.0,212.0
77016,27041.0,7613.0,4274.0,15154.0,24376.0,6590.0,4005.0,13781.0,2313.0,865.0,220.0,1228.0,278.0,144.0,19.0,115.0,45.0,14.0,10.0,21.0,29.0,0.0,20.0,9.0
77017,32694.0,7635.0,6358.0,18701.0,28486.0,6412.0,5694.0,16380.0,3071.0,853.0,582.0,1636.0,518.0,127.0,56.0,335.0,500.0,231.0,26.0,243.0,119.0,12.0,0.0,107.0
77018,26913.0,4648.0,2429.0,19836.0,22726.0,3422.0,2023.0,17281.0,3208.0,905.0,322.0,1981.0,473.0,47.0,51.0,375.0,222.0,118.0,33.0,71.0,284.0,156.0,0.0,128.0
77019,19171.0,1671.0,1104.0,16396.0,14111.0,1087.0,626.0,12398.0,3326.0,250.0,179.0,2897.0,720.0,123.0,200.0,397.0,737.0,195.0,85.0,457.0,277.0,16.0,14.0,247.0
77020,25646.0,8848.0,4379.0,12419.0,22747.0,7498.0,3861.0,11388.0,2559.0,1136.0,444.0,979.0,181.0,123.0,37.0,21.0,85.0,35.0,37.0,13.0,74.0,56.0,0.0,18.0
77021,24899.0,7733.0,2939.0,14227.0,21190.0,5993.0,2565.0,12632.0,3043.0,1521.0,315.0,1207.0,266.0,82.0,23.0,161.0,276.0,94.0,19.0,163.0,124.0,43.0,17.0,64.0
77022,28976.0,8993.0,5993.0,13990.0,25014.0,7243.0,5470.0,12301.0,3535.0,1611.0,438.0,1486.0,126.0,6.0,8.0,112.0,90.0,34.0,40.0,16.0,211.0,99.0,37.0,75.0
