Zipcode,Median household income in the past 12 months,Total Number of House-hold in the past 12 months,"Total Number of House-hold with Less than $10,000","Total Number of House-hold with an Income of $10,000 to $14,999","Total Number of House-hold with an Income of $15,000 to $19,999","Total Number of House-hold with an Income of $20,000 to $24,999","Total Number of House-hold with an Income of $25,000 to $29,999","Total Number of House-hold with an Income of $30,000 to $34,999","Total Number of House-hold with an Income of $35,000 to $39,999","Total Number of House-hold with an Income of $40,000 to $44,999","Total Number of House-hold with an Income of $45,000 to $49,999","Total Number of House-hold with an Income of $50,000 to $59,999","Total Number of House-hold with an Income of $60,000 to $74,999","Total Number of House-hold with an Income of $75,000 to $99,999","Total Number of House-hold with an Income of $100,000 to $124,999","Total Number of House-hold with an Income of $125,000 to $149,999","Total Number of House-hold with an Income of $150,000 to $199,999","Total Number of House-hold with an Income of $200,000 or more"
77562,57394.0,3538.0,150.0,99.0,172.0,178.0,19.0,185.0,241.0,214.0,158.0,431.0,457.0,506.0,256.0,213.0,179.0,80.0
77571,68102.0,12277.0,601.0,340.0,522.0,346.0,455.0,499.0,377.0,553.0,523.0,1018.0,1517.0,1708.0,1693.0,1078.0,849.0,198.0
77586,86786.0,8236.0,287.0,140.0,248.0,284.0,323.0,190.0,239.0,337.0,166.0,752.0,683.0,835.0,1003.0,745.0,873.0,1131.0
77587,36083.0,4717.0,429.0,309.0,345.0,548.0,157.0,483.0,336.0,204.0,249.0,241.0,507.0,606.0,171.0,59.0,25.0,48.0
77598,46682.0,9905.0,659.0,459.0,503.0,541.0,628.0,772.0,568.0,653.0,582.0,850.0,1114.0,1472.0,522.0,258.0,155.0,169.0
77002,64093.0,3035.0,275.0,178.0,164.0,34.0,36.0,89.0,97.0,145.0,155.0,255.0,256.0,378.0,287.0,157.0,212.0,317.0
77003,36412.0,4255.0,655.0,307.0,430.0,131.0,372.0,202.0,90.0,183.0,124.0,239.0,211.0,456.0,222.0,192.0,315.0,126.0
77004,41983.0,12536.0,2268.0,1204.0,679.0,561.0,512.0,487.0,319.0,513.0,432.0,799.0,838.0,844.0,893.0,637.0,520.0,1030.0
77005,159732.0,9420.0,261.0,208.0,208.0,171.0,273.0,217.0,124.0,171.0,225.0,375.0,382.0,552.0,806.0,467.0,882.0,4098.0
77006,67458.0,11595.0,748.0,253.0,396.0,619.0,624.0,500.0,304.0,484.0,313.0,757.0,1261.0,1372.0,935.0,475.0,819.0,1735.0
77007,98725.0,15940.0,741.0,499.0,530.0,263.0,461.0,539.0,295.0,507.0,217.0,794.0,1392.0,1833.0,1957.0,1032.0,1964.0,2916.0
77008,70293.0,14742.0,687.0,334.0,628.0,467.0,622.0,750.0,711.0,414.0,484.0,1384.0,1236.0,1413.0,1186.0,1007.0,1477.0,1942.0
77009,44651.0,14046.0,1494.0,876.0,826.0,1192.0,923.0,874.0,430.0,449.0,672.0,771.0,1113.0,1518.0,900.0,552.0,632.0,824.0
77010,250001.0,373.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,8.0,0.0,26.0,8.0,17.0,38.0,208.0
77011,26838.0,5507.0,675.0,612.0,795.0,445.0,490.0,361.0,301.0,208.0,266.0,401.0,413.0,278.0,115.0,131.0,16.0,0.0
77012,34975.0,6221.0,572.0,594.0,480.0,601.0,363.0,504.0,506.0,319.0,365.0,561.0,507.0,457.0,258.0,82.0,32.0,20.0
77013,36829.0,5473.0,444.0,521.0,502.0,450.0,327.0,344.0,334.0,374.0,297.0,510.0,492.0,419.0,214.0,147.0,52.0,46.0
77014,40659.0,10213.0,780.0,682.0,1034.0,648.0,819.0,774.0,321.0,505.0,222.0,1175.0,880.0,1291.0,537.0,238.0,240.0,67.0
77015,44167.0,16590.0,1202.0,814.0,1108.0,1160.0,1328.0,1204.0,933.0,683.0,989.0,1354.0,2105.0,1796.0,1051.0,303.0,343.0,217.0
77016,31327.0,9220.0,1296.0,920.0,963.0,793.0,448.0,666.0,465.0,528.0,576.0,679.0,916.0,555.0,278.0,33.0,87.0,17.0
77017,35586.0,9899.0,914.0,984.0,732.0,1045.0,533.0,654.0,572.0,477.0,384.0,773.0,853.0,923.0,503.0,282.0,126.0,144.0
77018,61980.0,10720.0,732.0,855.0,376.0,604.0,437.0,538.0,371.0,422.0,286.0,621.0,982.0,1391.0,753.0,605.0,731.0,1016.0
77019,87394.0,9934.0,559.0,349.0,317.0,238.0,308.0,155.0,134.0,189.0,382.0,702.0,848.0,1308.0,981.0,496.0,912.0,2056.0
77020,29401.0,8100.0,1372.0,899.0,760.0,552.0,514.0,630.0,475.0,264.0,298.0,544.0,627.0,646.0,245.0,94.0,73.0,107.0
77021,31103.0,9766.0,1512.0,838.0,847.0,905.0,575.0,625.0,535.0,474.0,476.0,666.0,613.0,737.0,264.0,180.0,174.0,345.0
77022,28810.0,9045.0,1315.0,910.0,907.0,860.0,709.0,697.0,485.0,388.0,378.0,429.0,866.0,535.0,278.0,134.0,78.0,76.0
77023,36033.0,9455.0,1015.0,798.0,860.0,804.0,631.0,486.0,573.0,722.0,293.0,808.0,786.0,761.0,444.0,146.0,237.0,91.0
77024,111139.0,14436.0,303.0,308.0,387.0,354.0,403.0,444.0,340.0,542.0,347.0,650.0,1117.0,1422.0,1223.0,1031.0,889.0,4676.0
77025,65828.0,11690.0,948.0,416.0,504.0,529.0,371.0,356.0,455.0,569.0,505.0,741.0,859.0,1437.0,768.0,453.0,1001.0,1778.0
77026,20024.0,7855.0,1521.0,1360.0,1043.0,563.0,557.0,554.0,386.0,299.0,165.0,346.0,394.0,412.0,138.0,32.0,59.0,26.0
77027,81661.0,8874.0,340.0,225.0,212.0,347.0,117.0,425.0,217.0,413.0,342.0,664.0,698.0,1215.0,843.0,603.0,699.0,1514.0
77028,29389.0,5521.0,741.0,618.0,534.0,497.0,414.0,338.0,473.0,355.0,302.0,257.0,358.0,288.0,255.0,40.0,42.0,9.0
77029,31715.0,5618.0,749.0,568.0,518.0,486.0,285.0,520.0,311.0,396.0,272.0,652.0,424.0,278.0,87.0,47.0,15.0,10.0
77030,68980.0,5119.0,554.0,77.0,109.0,244.0,143.0,56.0,162.0,273.0,288.0,361.0,439.0,355.0,411.0,225.0,349.0,1073.0
77031,39278.0,5765.0,280.0,635.0,332.0,532.0,320.0,317.0,543.0,380.0,189.0,447.0,545.0,516.0,386.0,97.0,195.0,51.0
77032,23389.0,4229.0,980.0,520.0,295.0,516.0,217.0,360.0,212.0,198.0,137.0,268.0,211.0,180.0,26.0,56.0,47.0,6.0
77033,27272.0,8772.0,1263.0,1030.0,934.0,770.0,636.0,839.0,481.0,419.0,260.0,592.0,580.0,437.0,332.0,66.0,119.0,14.0
77034,43905.0,11320.0,646.0,638.0,703.0,756.0,975.0,883.0,525.0,703.0,599.0,1063.0,1154.0,1430.0,631.0,403.0,152.0,59.0
77035,36345.0,13200.0,1429.0,1154.0,975.0,1151.0,872.0,842.0,647.0,639.0,426.0,962.0,973.0,1208.0,502.0,483.0,499.0,438.0
77036,28266.0,22928.0,2727.0,2089.0,2408.0,2775.0,2155.0,1716.0,1487.0,1390.0,1021.0,1273.0,1351.0,1012.0,702.0,190.0,370.0,262.0
77037,35518.0,5196.0,498.0,516.0,367.0,280.0,521.0,370.0,354.0,310.0,263.0,546.0,505.0,313.0,205.0,84.0,52.0,12.0
77038,38160.0,7503.0,503.0,696.0,760.0,455.0,606.0,447.0,428.0,375.0,558.0,740.0,487.0,936.0,187.0,225.0,100.0,0.0
77039,38167.0,7149.0,608.0,657.0,372.0,487.0,660.0,518.0,447.0,569.0,366.0,684.0,755.0,612.0,197.0,114.0,86.0,17.0
77040,53194.0,16076.0,614.0,531.0,671.0,696.0,1185.0,817.0,1069.0,731.0,916.0,2004.0,1765.0,1566.0,1057.0,829.0,928.0,697.0
77041,70608.0,11384.0,454.0,425.0,297.0,478.0,499.0,419.0,313.0,778.0,283.0,953.0,1148.0,1604.0,875.0,589.0,966.0,1303.0
77042,46159.0,17293.0,1296.0,850.0,1273.0,944.0,1185.0,1407.0,804.0,721.0,615.0,1548.0,1596.0,1474.0,1030.0,523.0,951.0,1076.0
77043,54359.0,8183.0,345.0,520.0,312.0,637.0,503.0,407.0,456.0,259.0,397.0,644.0,792.0,799.0,717.0,411.0,545.0,439.0
77044,72761.0,9901.0,378.0,305.0,453.0,214.0,397.0,368.0,625.0,314.0,305.0,590.0,1143.0,1361.0,1231.0,883.0,768.0,566.0
77045,36952.0,9382.0,815.0,571.0,599.0,988.0,820.0,556.0,656.0,652.0,424.0,694.0,868.0,958.0,304.0,269.0,156.0,52.0
77046,85493.0,793.0,26.0,11.0,42.0,28.0,0.0,15.0,21.0,43.0,24.0,38.0,60.0,160.0,35.0,73.0,105.0,112.0
77047,49246.0,7995.0,351.0,309.0,303.0,392.0,478.0,310.0,652.0,805.0,478.0,823.0,836.0,1228.0,623.0,252.0,103.0,52.0
77048,36818.0,5322.0,659.0,409.0,336.0,472.0,325.0,316.0,284.0,373.0,107.0,369.0,526.0,654.0,286.0,119.0,67.0,20.0
77049,50348.0,8669.0,553.0,303.0,331.0,414.0,666.0,418.0,573.0,596.0,446.0,805.0,1184.0,1141.0,760.0,195.0,239.0,45.0
77050,44327.0,1324.0,72.0,74.0,124.0,67.0,88.0,119.0,82.0,43.0,76.0,169.0,178.0,91.0,80.0,8.0,36.0,17.0
77051,22920.0,5682.0,1212.0,733.0,569.0,555.0,368.0,422.0,460.0,192.0,215.0,271.0,291.0,238.0,93.0,0.0,14.0,49.0
77054,41694.0,11621.0,2112.0,434.0,566.0,431.0,770.0,587.0,733.0,729.0,571.0,849.0,1435.0,1161.0,638.0,254.0,130.0,221.0
77055,46987.0,14427.0,1142.0,878.0,1029.0,1194.0,710.0,625.0,792.0,578.0,679.0,1022.0,1159.0,1228.0,861.0,431.0,709.0,1390.0
77056,93069.0,9422.0,404.0,304.0,197.0,173.0,145.0,379.0,147.0,365.0,323.0,503.0,961.0,1132.0,1014.0,688.0,804.0,1883.0
