Zipcode,Total Travel Time,Travel Time Less than 5 minutes,Travel Time 5 to 9 minutes,Travel Time 10 to 14 minutes,Travel Time 15 to 19 minutes,Travel Time 15 to 19 minutes,Travel Time 20 to 24 minutes,Travel Time 25 to 29 minutes,Travel Time 30 to 34 minutes,Travel Time 35 to 39 minutes,Travel Time 40 to 44 minutes,Travel Time 45 to 59 minutes,Travel Time 60 to 89 minutes,Travel Time 90 or more minutes
77562,4675.0,309.0,303.0,427.0,852.0,852.0,749.0,178.0,655.0,120.0,205.0,460.0,248.0,169.0
77571,17177.0,566.0,1480.0,2216.0,2771.0,2771.0,2710.0,809.0,2704.0,498.0,728.0,1454.0,1076.0,165.0
77586,10514.0,175.0,724.0,1646.0,1498.0,1498.0,1571.0,769.0,1205.0,456.0,394.0,1152.0,763.0,161.0
77587,6498.0,108.0,641.0,809.0,1055.0,1055.0,827.0,337.0,1415.0,127.0,297.0,382.0,392.0,108.0
77598,12595.0,330.0,1843.0,2082.0,1643.0,1643.0,1902.0,523.0,1644.0,430.0,449.0,881.0,748.0,120.0
77002,2945.0,80.0,420.0,571.0,660.0,660.0,652.0,240.0,145.0,38.0,24.0,57.0,38.0,20.0
77003,4911.0,105.0,478.0,577.0,889.0,889.0,886.0,423.0,766.0,140.0,48.0,129.0,403.0,67.0
77004,14130.0,501.0,1662.0,3230.0,2651.0,2651.0,2100.0,626.0,1592.0,229.0,263.0,547.0,353.0,376.0
77005,11460.0,359.0,1411.0,2466.0,3016.0,3016.0,2042.0,429.0,951.0,186.0,271.0,234.0,56.0,39.0
77006,13662.0,487.0,1619.0,3165.0,2704.0,2704.0,1906.0,790.0,1764.0,191.0,244.0,363.0,265.0,164.0
77007,20495.0,451.0,1617.0,3464.0,4556.0,4556.0,3453.0,1782.0,3124.0,500.0,376.0,601.0,403.0,168.0
77008,18343.0,585.0,1297.0,2605.0,3347.0,3347.0,3538.0,1530.0,3266.0,337.0,568.0,864.0,337.0,69.0
77009,18061.0,432.0,1461.0,2318.0,3080.0,3080.0,3403.0,640.0,3640.0,445.0,828.0,898.0,646.0,270.0
77010,397.0,0.0,74.0,90.0,99.0,99.0,52.0,19.0,55.0,0.0,0.0,8.0,0.0,0.0
77011,7055.0,124.0,491.0,690.0,1230.0,1230.0,791.0,689.0,1969.0,141.0,201.0,225.0,371.0,133.0
77012,9335.0,195.0,478.0,911.0,1483.0,1483.0,1931.0,442.0,1653.0,220.0,273.0,538.0,919.0,292.0
77013,7559.0,72.0,373.0,1055.0,1388.0,1388.0,923.0,424.0,2080.0,119.0,201.0,462.0,404.0,58.0
77014,13928.0,20.0,489.0,1446.0,2005.0,2005.0,1763.0,569.0,3304.0,479.0,439.0,2114.0,1133.0,167.0
77015,22730.0,365.0,2177.0,2550.0,3823.0,3823.0,2813.0,1249.0,5526.0,484.0,776.0,1646.0,989.0,332.0
77016,9298.0,53.0,279.0,765.0,1170.0,1170.0,1693.0,425.0,2083.0,482.0,402.0,986.0,703.0,257.0
77017,12915.0,113.0,497.0,1624.0,1950.0,1950.0,1884.0,648.0,3736.0,292.0,640.0,794.0,570.0,167.0
77018,13004.0,226.0,673.0,1542.0,2205.0,2205.0,2560.0,1287.0,2666.0,298.0,418.0,632.0,323.0,174.0
77019,12186.0,357.0,1700.0,2573.0,2217.0,2217.0,1975.0,720.0,1722.0,314.0,99.0,323.0,112.0,74.0
77020,9416.0,159.0,595.0,1141.0,1377.0,1377.0,1458.0,444.0,1818.0,240.0,249.0,907.0,725.0,303.0
77021,9529.0,192.0,896.0,1680.0,1624.0,1624.0,1479.0,478.0,1566.0,204.0,229.0,475.0,523.0,183.0
77022,10956.0,230.0,620.0,1123.0,1689.0,1689.0,2150.0,602.0,2067.0,171.0,324.0,965.0,723.0,292.0
77023,13407.0,213.0,1379.0,1748.0,2571.0,2571.0,2076.0,713.0,2436.0,256.0,482.0,702.0,647.0,184.0
77024,15111.0,401.0,1303.0,2166.0,3058.0,3058.0,3107.0,1264.0,2342.0,356.0,272.0,580.0,181.0,81.0
77025,12951.0,390.0,918.0,1795.0,2681.0,2681.0,2635.0,911.0,2080.0,220.0,194.0,439.0,590.0,98.0
77026,6741.0,156.0,195.0,790.0,953.0,953.0,831.0,178.0,1714.0,127.0,351.0,380.0,803.0,263.0
77027,10079.0,295.0,1144.0,2112.0,1942.0,1942.0,2057.0,691.0,1048.0,129.0,86.0,326.0,159.0,90.0
77028,5388.0,42.0,71.0,484.0,810.0,810.0,803.0,416.0,1557.0,159.0,164.0,384.0,382.0,116.0
77029,6046.0,100.0,489.0,653.0,1015.0,1015.0,1065.0,533.0,1182.0,48.0,139.0,344.0,371.0,107.0
77030,5901.0,179.0,631.0,1172.0,1268.0,1268.0,1109.0,348.0,697.0,85.0,104.0,149.0,92.0,67.0
77031,8343.0,6.0,119.0,799.0,501.0,501.0,2835.0,818.0,1411.0,686.0,206.0,511.0,291.0,160.0
77032,3632.0,110.0,260.0,267.0,510.0,510.0,269.0,78.0,992.0,55.0,183.0,400.0,420.0,88.0
77033,8711.0,97.0,454.0,779.0,1186.0,1186.0,1950.0,619.0,1826.0,196.0,285.0,559.0,493.0,267.0
