Zipcode,Estimate!!Total,Estimate!!Total!!Family households,Estimate!!Total!!Family households!!Married-couple family,Estimate!!Total!!Family households!!Other family,"Estimate!!Total!!Family households!!Other family!!Male householder, no wife present","Estimate!!Total!!Family households!!Other family!!Female householder, no husband present",Estimate!!Total!!Nonfamily households,Estimate!!Total!!Nonfamily households!!Householder living alone,Estimate!!Total!!Nonfamily households!!Householder not living alone
77002,3185.0,563.0,415.0,148.0,21.0,127.0,2622.0,2210.0,412.0
77003,4363.0,1978.0,893.0,1085.0,290.0,795.0,2385.0,1943.0,442.0
77004,12892.0,5642.0,3113.0,2529.0,563.0,1966.0,7250.0,5503.0,1747.0
77005,9691.0,6689.0,6016.0,673.0,144.0,529.0,3002.0,2638.0,364.0
77006,11894.0,3628.0,2812.0,816.0,393.0,423.0,8266.0,6383.0,1883.0
77007,17211.0,6843.0,5514.0,1329.0,567.0,762.0,10368.0,7675.0,2693.0
77008,15283.0,7582.0,5757.0,1825.0,523.0,1302.0,7701.0,6118.0,1583.0
77009,14072.0,8465.0,4826.0,3639.0,1025.0,2614.0,5607.0,4340.0,1267.0
77010,510.0,192.0,192.0,0.0,0.0,0.0,318.0,296.0,22.0
77011,5629.0,4106.0,2600.0,1506.0,525.0,981.0,1523.0,1216.0,307.0
77012,6144.0,4304.0,2562.0,1742.0,670.0,1072.0,1840.0,1490.0,350.0
77013,5762.0,4321.0,2705.0,1616.0,545.0,1071.0,1441.0,1161.0,280.0
77014,11101.0,7903.0,4541.0,3362.0,877.0,2485.0,3198.0,2637.0,561.0
77015,17199.0,12810.0,8111.0,4699.0,1362.0,3337.0,4389.0,3634.0,755.0
77016,9255.0,6031.0,2485.0,3546.0,1148.0,2398.0,3224.0,2956.0,268.0
77017,9985.0,7351.0,4779.0,2572.0,858.0,1714.0,2634.0,2058.0,576.0
77018,10865.0,6782.0,5177.0,1605.0,456.0,1149.0,4083.0,3295.0,788.0
77019,10266.0,4447.0,3587.0,860.0,292.0,568.0,5819.0,4354.0,1465.0
77020,8354.0,5680.0,2897.0,2783.0,506.0,2277.0,2674.0,2348.0,326.0
77021,10258.0,5522.0,2510.0,3012.0,679.0,2333.0,4736.0,3907.0,829.0
77022,9196.0,5924.0,3452.0,2472.0,717.0,1755.0,3272.0,2879.0,393.0
77023,9360.0,6300.0,3666.0,2634.0,751.0,1883.0,3060.0,2571.0,489.0
77024,15009.0,10198.0,8728.0,1470.0,375.0,1095.0,4811.0,4363.0,448.0
77025,12626.0,6800.0,5263.0,1537.0,432.0,1105.0,5826.0,5030.0,796.0
77026,7843.0,4868.0,2124.0,2744.0,603.0,2141.0,2975.0,2661.0,314.0
77027,9001.0,3379.0,2592.0,787.0,331.0,456.0,5622.0,4473.0,1149.0
77028,5285.0,3207.0,1436.0,1771.0,329.0,1442.0,2078.0,1906.0,172.0
77029,5686.0,3799.0,2560.0,1239.0,277.0,962.0,1887.0,1676.0,211.0
77030,4754.0,2184.0,1960.0,224.0,89.0,135.0,2570.0,1918.0,652.0
77031,5809.0,3898.0,2401.0,1497.0,308.0,1189.0,1911.0,1595.0,316.0
77032,4068.0,2769.0,1010.0,1759.0,363.0,1396.0,1299.0,1169.0,130.0
77033,8691.0,6106.0,2533.0,3573.0,655.0,2918.0,2585.0,2412.0,173.0
77034,12189.0,9084.0,5895.0,3189.0,872.0,2317.0,3105.0,2601.0,504.0
77035,13435.0,8592.0,5198.0,3394.0,740.0,2654.0,4843.0,4020.0,823.0
77036,25180.0,16348.0,9306.0,7042.0,2235.0,4807.0,8832.0,6749.0,2083.0
77037,5326.0,4628.0,2725.0,1903.0,691.0,1212.0,698.0,556.0,142.0
77038,7807.0,6250.0,3652.0,2598.0,824.0,1774.0,1557.0,1398.0,159.0
77039,7379.0,6133.0,3574.0,2559.0,912.0,1647.0,1246.0,978.0,268.0
77040,17347.0,11348.0,7875.0,3473.0,1009.0,2464.0,5999.0,4884.0,1115.0
77041,11578.0,9320.0,7391.0,1929.0,413.0,1516.0,2258.0,1824.0,434.0
77042,18270.0,8977.0,5879.0,3098.0,752.0,2346.0,9293.0,7946.0,1347.0
77043,8456.0,5917.0,4003.0,1914.0,564.0,1350.0,2539.0,2067.0,472.0
77044,10999.0,9351.0,6764.0,2587.0,614.0,1973.0,1648.0,1329.0,319.0
77045,9696.0,7693.0,4252.0,3441.0,562.0,2879.0,2003.0,1738.0,265.0
77046,699.0,202.0,202.0,0.0,0.0,0.0,497.0,467.0,30.0
77047,8573.0,5902.0,3207.0,2695.0,543.0,2152.0,2671.0,2132.0,539.0
