Zipcode,Median household income in the past 12 months,Total Number of House-hold in the past 12 months,"Total Number of House-hold with Less than $10,000","Total Number of House-hold with an Income of $10,000 to $14,999","Total Number of House-hold with an Income of $15,000 to $19,999","Total Number of House-hold with an Income of $20,000 to $24,999","Total Number of House-hold with an Income of $25,000 to $29,999","Total Number of House-hold with an Income of $30,000 to $34,999","Total Number of House-hold with an Income of $35,000 to $39,999","Total Number of House-hold with an Income of $40,000 to $44,999","Total Number of House-hold with an Income of $45,000 to $49,999","Total Number of House-hold with an Income of $50,000 to $59,999","Total Number of House-hold with an Income of $60,000 to $74,999","Total Number of House-hold with an Income of $75,000 to $99,999","Total Number of House-hold with an Income of $100,000 to $124,999","Total Number of House-hold with an Income of $125,000 to $149,999","Total Number of House-hold with an Income of $150,000 to $199,999","Total Number of House-hold with an Income of $200,000 or more"
77520,43094.0,12131.0,1066.0,798.0,830.0,822.0,699.0,639.0,727.0,717.0,616.0,1133.0,1383.0,1140.0,628.0,335.0,423.0,175.0
77521,54343.0,17771.0,1352.0,851.0,890.0,805.0,1017.0,850.0,804.0,675.0,854.0,1482.0,1978.0,2155.0,1739.0,852.0,835.0,632.0
77530,45514.0,9098.0,628.0,422.0,713.0,541.0,467.0,833.0,462.0,439.0,420.0,871.0,990.0,919.0,866.0,147.0,295.0,85.0
77532,62313.0,9364.0,512.0,259.0,351.0,565.0,297.0,599.0,534.0,219.0,294.0,817.0,1063.0,1234.0,1119.0,525.0,552.0,424.0
77536,79251.0,10797.0,437.0,207.0,276.0,356.0,409.0,445.0,488.0,320.0,342.0,928.0,882.0,1838.0,1541.0,852.0,982.0,494.0
77547,42434.0,2695.0,187.0,118.0,256.0,158.0,140.0,160.0,236.0,179.0,69.0,328.0,299.0,285.0,236.0,0.0,44.0,0.0
77562,59688.0,3558.0,195.0,83.0,125.0,184.0,77.0,102.0,185.0,192.0,164.0,480.0,392.0,591.0,292.0,199.0,210.0,87.0
77571,69480.0,12309.0,495.0,362.0,581.0,369.0,516.0,544.0,356.0,488.0,495.0,966.0,1555.0,1695.0,1717.0,936.0,957.0,277.0
77586,87136.0,8392.0,295.0,199.0,233.0,248.0,286.0,161.0,234.0,539.0,216.0,762.0,574.0,892.0,1058.0,715.0,915.0,1065.0
77587,38750.0,4591.0,355.0,327.0,325.0,434.0,195.0,418.0,265.0,269.0,336.0,326.0,463.0,537.0,215.0,68.0,11.0,47.0
77598,46161.0,10070.0,614.0,465.0,465.0,606.0,759.0,696.0,639.0,706.0,430.0,862.0,1127.0,1508.0,506.0,253.0,262.0,172.0
77002,71319.0,2981.0,269.0,159.0,127.0,36.0,41.0,85.0,95.0,150.0,120.0,252.0,233.0,440.0,263.0,145.0,231.0,335.0
77003,40647.0,4344.0,582.0,345.0,378.0,141.0,282.0,326.0,96.0,180.0,102.0,164.0,168.0,498.0,215.0,323.0,366.0,178.0
77004,46059.0,12731.0,1975.0,1130.0,744.0,621.0,443.0,480.0,364.0,553.0,317.0,717.0,811.0,874.0,1049.0,704.0,800.0,1149.0
