Zipcode,House Value less than 10k,House Value from 10k to 14.9k,House Value from 15k to 19.9k,House Value from 20k to 24.9k,House Value from 25k to 29.9k,House Value from 30k to 34.9k,House Value from 35k to 39.9k,House Value from 40k to 49.9k,House Value from 50k to 59.9k,House Value from 60k to 69.9k,House Value from 70k to 79.9k,House Value from 80k to 89.9k,House Value from 90k to 99.9k,House Value from 100k to 124.9k,House Value from 125k to 149.9k,House Value from 150k to 174.9k,House Value from 175k to 199.9k,House Value from 200k to 249.9k,House Value from 250k to 299.9k,House Value from 300k to 399.9k,House Value from 400k to 499.9k,House Value from 500k to 749.9k,House Value from 800k to 999.9k,House Value from 1 million to 1.499 millions,House Value from 1.5 millions to 2 millions,House Value more than 2 millions
77002,18.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,18.0,108.0,39.0,32.0,68.0,78.0,178.0,105.0,59.0,14.0,18.0,20.0,0.0,0.0,0.0
77003,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,64.0,70.0,86.0,178.0,101.0,69.0,49.0,50.0,137.0,267.0,290.0,261.0,42.0,9.0,0.0,0.0,0.0,11.0
77004,20.0,20.0,0.0,0.0,29.0,20.0,22.0,52.0,62.0,81.0,92.0,162.0,153.0,375.0,181.0,291.0,317.0,705.0,521.0,573.0,286.0,145.0,37.0,51.0,0.0,5.0
77005,42.0,21.0,8.0,25.0,0.0,0.0,0.0,20.0,50.0,0.0,0.0,22.0,24.0,187.0,37.0,59.0,37.0,60.0,169.0,239.0,414.0,1553.0,1584.0,1533.0,661.0,286.0
77006,23.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,27.0,20.0,28.0,66.0,43.0,169.0,151.0,152.0,137.0,323.0,265.0,786.0,744.0,984.0,116.0,55.0,10.0,28.0
77007,66.0,0.0,0.0,9.0,0.0,0.0,44.0,54.0,13.0,20.0,0.0,39.0,42.0,163.0,212.0,205.0,308.0,868.0,1106.0,2310.0,1399.0,960.0,290.0,92.0,0.0,90.0
77008,65.0,12.0,8.0,4.0,0.0,0.0,0.0,10.0,7.0,51.0,43.0,26.0,38.0,162.0,198.0,302.0,210.0,1019.0,1029.0,2329.0,1360.0,1048.0,248.0,191.0,33.0,24.0
77009,38.0,0.0,48.0,40.0,54.0,33.0,0.0,60.0,201.0,193.0,298.0,321.0,448.0,689.0,360.0,648.0,315.0,672.0,814.0,932.0,433.0,597.0,113.0,65.0,9.0,0.0
77010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,18.0,0.0,0.0,0.0
77011,0.0,3.0,0.0,0.0,34.0,64.0,32.0,78.0,202.0,313.0,255.0,464.0,120.0,367.0,98.0,146.0,66.0,36.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0
