Zipcode,House Value less than 10k,House Value from 10k to 14.9k,House Value from 15k to 19.9k,House Value from 20k to 24.9k,House Value from 25k to 29.9k,House Value from 30k to 34.9k,House Value from 35k to 39.9k,House Value from 40k to 49.9k,House Value from 50k to 59.9k,House Value from 60k to 69.9k,House Value from 70k to 79.9k,House Value from 80k to 89.9k,House Value from 90k to 99.9k,House Value from 100k to 124.9k,House Value from 125k to 149.9k,House Value from 150k to 174.9k,House Value from 175k to 199.9k,House Value from 200k to 249.9k,House Value from 250k to 299.9k,House Value from 300k to 399.9k,House Value from 400k to 499.9k,House Value from 500k to 749.9k,House Value from 800k to 999.9k,House Value from 1 million to 1.499 millions
77002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,11.0,58.0,28.0,19.0,25.0,47.0,181.0,23.0,52.0,38.0,33.0,18.0,0.0
77003,2.0,0.0,0.0,0.0,0.0,21.0,10.0,0.0,56.0,109.0,117.0,195.0,87.0,23.0,31.0,91.0,105.0,253.0,83.0,30.0,4.0,0.0,0.0,0.0
77004,8.0,0.0,0.0,9.0,52.0,65.0,0.0,182.0,18.0,70.0,82.0,140.0,124.0,286.0,142.0,289.0,374.0,872.0,568.0,516.0,62.0,92.0,34.0,11.0
77005,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,13.0,0.0,52.0,233.0,37.0,197.0,35.0,187.0,108.0,397.0,563.0,2068.0,1353.0,1549.0
77006,14.0,15.0,0.0,11.0,0.0,0.0,15.0,0.0,37.0,23.0,28.0,24.0,53.0,149.0,151.0,203.0,244.0,499.0,341.0,1074.0,740.0,448.0,82.0,97.0
77007,14.0,0.0,5.0,0.0,32.0,0.0,29.0,11.0,32.0,76.0,97.0,72.0,29.0,210.0,302.0,285.0,263.0,1059.0,1287.0,1811.0,712.0,561.0,142.0,178.0
77008,35.0,13.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,18.0,58.0,76.0,0.0,237.0,324.0,444.0,451.0,1424.0,1453.0,1595.0,817.0,463.0,106.0,100.0
77009,33.0,20.0,41.0,20.0,22.0,70.0,21.0,122.0,190.0,280.0,310.0,556.0,553.0,814.0,657.0,623.0,280.0,733.0,773.0,703.0,312.0,129.0,27.0,11.0
77010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77011,54.0,0.0,0.0,0.0,0.0,41.0,76.0,86.0,201.0,358.0,516.0,549.0,222.0,256.0,11.0,34.0,7.0,72.0,9.0,21.0,0.0,0.0,0.0,0.0
77012,7.0,37.0,29.0,88.0,0.0,37.0,31.0,190.0,145.0,299.0,364.0,388.0,371.0,308.0,18.0,72.0,0.0,13.0,32.0,26.0,0.0,20.0,0.0,0.0
77013,37.0,106.0,0.0,28.0,82.0,51.0,62.0,40.0,85.0,127.0,246.0,384.0,430.0,511.0,196.0,51.0,27.0,11.0,15.0,9.0,0.0,0.0,16.0,0.0
77014,108.0,23.0,46.0,0.0,42.0,38.0,0.0,11.0,40.0,222.0,64.0,155.0,292.0,943.0,1354.0,709.0,209.0,190.0,92.0,0.0,0.0,0.0,0.0,0.0
77015,156.0,77.0,61.0,51.0,198.0,107.0,176.0,264.0,419.0,788.0,786.0,1022.0,1151.0,1933.0,937.0,407.0,220.0,185.0,110.0,23.0,81.0,0.0,0.0,51.0
77016,164.0,45.0,87.0,199.0,119.0,280.0,196.0,641.0,932.0,792.0,1123.0,670.0,367.0,408.0,88.0,93.0,133.0,0.0,12.0,6.0,10.0,0.0,0.0,7.0
77017,84.0,97.0,0.0,0.0,54.0,69.0,58.0,129.0,306.0,548.0,798.0,1041.0,621.0,1057.0,314.0,292.0,120.0,80.0,11.0,0.0,9.0,0.0,0.0,9.0
77018,62.0,34.0,36.0,9.0,50.0,55.0,45.0,73.0,44.0,44.0,95.0,71.0,161.0,500.0,555.0,1189.0,842.0,1332.0,843.0,829.0,215.0,256.0,17.0,20.0
77019,15.0,0.0,0.0,18.0,17.0,0.0,0.0,0.0,0.0,13.0,16.0,27.0,44.0,163.0,211.0,134.0,285.0,532.0,473.0,760.0,555.0,443.0,363.0,945.0
77020,98.0,27.0,43.0,69.0,37.0,82.0,80.0,383.0,453.0,604.0,638.0,311.0,484.0,216.0,79.0,51.0,98.0,161.0,20.0,26.0,0.0,0.0,0.0,0.0
77021,105.0,16.0,6.0,19.0,55.0,172.0,66.0,382.0,391.0,452.0,442.0,477.0,332.0,280.0,128.0,114.0,114.0,192.0,220.0,131.0,109.0,84.0,14.0,0.0
77022,89.0,6.0,28.0,13.0,68.0,83.0,103.0,329.0,546.0,178.0,387.0,573.0,431.0,701.0,326.0,244.0,37.0,62.0,32.0,22.0,10.0,0.0,7.0,0.0
77023,30.0,32.0,11.0,25.0,8.0,47.0,10.0,79.0,57.0,297.0,288.0,639.0,607.0,926.0,306.0,381.0,180.0,341.0,85.0,136.0,21.0,0.0,13.0,0.0
77024,11.0,25.0,0.0,26.0,0.0,0.0,19.0,0.0,46.0,65.0,167.0,175.0,310.0,338.0,244.0,404.0,297.0,293.0,280.0,774.0,998.0,2088.0,1490.0,2569.0
77025,21.0,46.0,0.0,11.0,12.0,0.0,11.0,0.0,56.0,69.0,78.0,96.0,49.0,258.0,260.0,273.0,181.0,635.0,627.0,1112.0,645.0,568.0,370.0,98.0
77026,54.0,20.0,34.0,228.0,225.0,277.0,154.0,268.0,530.0,323.0,314.0,455.0,160.0,213.0,126.0,97.0,12.0,28.0,0.0,4.0,0.0,11.0,0.0,0.0
77027,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,12.0,16.0,76.0,20.0,64.0,81.0,144.0,105.0,48.0,157.0,61.0,530.0,471.0,665.0,393.0,440.0
77028,56.0,59.0,85.0,131.0,188.0,231.0,218.0,521.0,495.0,466.0,424.0,326.0,319.0,203.0,171.0,7.0,0.0,8.0,17.0,22.0,0.0,44.0,0.0,0.0
77029,169.0,7.0,48.0,138.0,15.0,39.0,37.0,296.0,443.0,431.0,589.0,632.0,302.0,223.0,8.0,133.0,36.0,48.0,0.0,0.0,0.0,21.0,0.0,13.0
77030,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,44.0,57.0,23.0,127.0,121.0,41.0,94.0,86.0,103.0,206.0,373.0,520.0,264.0,146.0
77031,11.0,51.0,0.0,0.0,0.0,19.0,0.0,12.0,41.0,28.0,0.0,69.0,239.0,1017.0,752.0,266.0,79.0,67.0,0.0,20.0,8.0,0.0,0.0,0.0
77032,56.0,9.0,82.0,46.0,81.0,25.0,102.0,58.0,56.0,76.0,102.0,82.0,248.0,120.0,56.0,95.0,58.0,0.0,9.0,0.0,0.0,10.0,0.0,0.0
77033,43.0,78.0,50.0,64.0,74.0,216.0,219.0,658.0,938.0,1040.0,833.0,787.0,358.0,249.0,61.0,63.0,6.0,14.0,0.0,5.0,0.0,0.0,11.0,0.0
77034,0.0,79.0,0.0,10.0,0.0,0.0,0.0,61.0,98.0,125.0,580.0,837.0,770.0,1607.0,786.0,390.0,111.0,24.0,66.0,0.0,0.0,24.0,0.0,6.0
77035,27.0,66.0,30.0,33.0,43.0,46.0,65.0,80.0,107.0,153.0,243.0,399.0,305.0,853.0,757.0,734.0,649.0,726.0,254.0,275.0,85.0,8.0,9.0,0.0
77036,56.0,78.0,71.0,80.0,97.0,59.0,71.0,189.0,223.0,153.0,203.0,130.0,350.0,1114.0,1180.0,537.0,217.0,16.0,79.0,69.0,0.0,0.0,12.0,0.0
77037,134.0,58.0,104.0,97.0,28.0,106.0,54.0,63.0,146.0,244.0,221.0,186.0,687.0,739.0,188.0,136.0,71.0,188.0,81.0,0.0,0.0,5.0,0.0,0.0
77038,53.0,59.0,169.0,46.0,62.0,15.0,0.0,9.0,58.0,184.0,479.0,768.0,631.0,875.0,434.0,71.0,8.0,46.0,32.0,0.0,0.0,0.0,4.0,0.0
77039,116.0,79.0,30.0,98.0,62.0,56.0,29.0,82.0,168.0,298.0,437.0,674.0,696.0,976.0,282.0,153.0,39.0,19.0,55.0,11.0,5.0,13.0,26.0,0.0
77040,54.0,67.0,26.0,10.0,28.0,25.0,0.0,69.0,83.0,303.0,353.0,886.0,867.0,1589.0,1098.0,1112.0,770.0,823.0,436.0,120.0,33.0,7.0,19.0,0.0
77041,195.0,72.0,270.0,110.0,101.0,47.0,32.0,47.0,79.0,111.0,194.0,826.0,473.0,1481.0,1001.0,645.0,510.0,511.0,290.0,1047.0,545.0,239.0,25.0,32.0
77042,0.0,21.0,25.0,21.0,34.0,61.0,76.0,303.0,204.0,190.0,104.0,42.0,151.0,423.0,332.0,347.0,268.0,773.0,370.0,815.0,369.0,212.0,12.0,44.0
77043,9.0,18.0,11.0,0.0,0.0,0.0,0.0,86.0,145.0,133.0,135.0,263.0,322.0,731.0,580.0,912.0,516.0,562.0,264.0,41.0,12.0,13.0,0.0,0.0
77044,89.0,171.0,78.0,129.0,115.0,142.0,57.0,167.0,309.0,175.0,365.0,412.0,388.0,958.0,478.0,648.0,442.0,714.0,616.0,440.0,206.0,75.0,0.0,14.0
77045,70.0,49.0,27.0,6.0,28.0,34.0,38.0,88.0,185.0,624.0,793.0,1196.0,1260.0,1121.0,260.0,109.0,63.0,48.0,0.0,68.0,0.0,0.0,0.0,45.0
77046,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,13.0,12.0,59.0,0.0,25.0,53.0,43.0,0.0,0.0
77047,14.0,105.0,11.0,71.0,29.0,13.0,42.0,170.0,315.0,487.0,517.0,406.0,570.0,1286.0,1035.0,282.0,130.0,44.0,17.0,31.0,0.0,0.0,30.0,23.0
77048,0.0,22.0,23.0,16.0,31.0,32.0,40.0,183.0,140.0,210.0,500.0,653.0,243.0,393.0,208.0,81.0,20.0,15.0,0.0,0.0,0.0,0.0,17.0,0.0
77049,72.0,18.0,14.0,40.0,45.0,34.0,50.0,100.0,182.0,298.0,514.0,764.0,798.0,995.0,610.0,697.0,230.0,190.0,140.0,98.0,21.0,6.0,0.0,17.0
