Zipcode,Employment Status Total Estimate,Estimate Total In labor force,Estimate Total Not in labor force
77484,8455.0,5503.0,2952.0
77493,16887.0,12209.0,4678.0
77502,25471.0,16054.0,9417.0
77503,17194.0,10708.0,6486.0
77504,17905.0,11814.0,6091.0
77505,18082.0,12847.0,5235.0
77506,25264.0,15341.0,9923.0
77507,0.0,0.0,0.0
77520,27313.0,16633.0,10680.0
77521,35916.0,23152.0,12764.0
77530,21898.0,14150.0,7748.0
77532,19879.0,13122.0,6757.0
77536,23620.0,16263.0,7357.0
77547,7249.0,4199.0,3050.0
77562,8224.0,5020.0,3204.0
77571,27562.0,19329.0,8233.0
77586,16578.0,11804.0,4774.0
77587,11726.0,7708.0,4018.0
77598,18574.0,14458.0,4116.0
77002,11304.0,3153.0,8151.0
77003,8218.0,5289.0,2929.0
77004,26378.0,15974.0,10404.0
77005,20354.0,12988.0,7366.0
77006,18368.0,14655.0,3713.0
77007,26308.0,21480.0,4828.0
77008,25287.0,19555.0,5732.0
77009,29977.0,19910.0,10067.0
77010,342.0,225.0,117.0
77011,14287.0,8183.0,6104.0
77012,16273.0,10257.0,6016.0
77013,14228.0,9204.0,5024.0
77014,20655.0,14728.0,5927.0
77015,38928.0,25942.0,12986.0
77016,21524.0,11781.0,9743.0
77017,24127.0,15343.0,8784.0
77018,22150.0,15328.0,6822.0
77019,16800.0,12776.0,4024.0
77020,19203.0,10825.0,8378.0
77021,20514.0,11965.0,8549.0
77022,21908.0,13092.0,8816.0
77023,23088.0,15492.0,7596.0
77024,27603.0,16938.0,10665.0
77025,20771.0,14706.0,6065.0
77026,17922.0,9158.0,8764.0
77027,13520.0,10354.0,3166.0
77028,12927.0,7661.0,5266.0
77029,13499.0,7647.0,5852.0
77030,9305.0,6487.0,2818.0
77031,13428.0,9744.0,3684.0
77032,9161.0,4764.0,4397.0
77033,21038.0,11362.0,9676.0
77034,24882.0,17428.0,7454.0
77035,26466.0,18585.0,7881.0
77036,49269.0,35334.0,13935.0
77037,13921.0,8495.0,5426.0
77038,18510.0,12631.0,5879.0
77039,19525.0,12408.0,7117.0
77040,33244.0,24321.0,8923.0
77041,26985.0,19148.0,7837.0
77042,27898.0,22024.0,5874.0
77043,17460.0,11512.0,5948.0
77044,21180.0,14711.0,6469.0
77045,23390.0,14403.0,8987.0
77046,1077.0,802.0,275.0
77047,16529.0,11448.0,5081.0
77048,11947.0,7485.0,4462.0
77049,20346.0,13888.0,6458.0
77050,3098.0,1926.0,1172.0
77051,11069.0,5615.0,5454.0
77054,19493.0,14319.0,5174.0
77055,31161.0,21485.0,9676.0
77056,15040.0,10279.0,4761.0
77057,32771.0,25196.0,7575.0
77058,14292.0,10431.0,3861.0
77059,14561.0,9787.0,4774.0
77060,29974.0,21940.0,8034.0
77061,18092.0,12270.0,5822.0
77062,20006.0,14130.0,5876.0
77063,30042.0,22962.0,7080.0
77064,33422.0,24323.0,9099.0
77065,27206.0,19833.0,7373.0
77066,24147.0,16872.0,7275.0
77067,20305.0,13921.0,6384.0
77068,8072.0,5956.0,2116.0
77069,13037.0,8512.0,4525.0
77070,35629.0,26243.0,9386.0
77071,20468.0,14193.0,6275.0
77072,41136.0,28680.0,12456.0
77073,24856.0,18573.0,6283.0
77074,25907.0,17726.0,8181.0
77075,26979.0,19781.0,7198.0
77076,23543.0,15049.0,8494.0
77077,42120.0,31299.0,10821.0
77078,11514.0,6540.0,4974.0
77079,23915.0,16071.0,7844.0
77080,35789.0,25109.0,10680.0
77081,31136.0,23861.0,7275.0
77082,39062.0,28713.0,10349.0
77083,52686.0,36193.0,16493.0
77084,73036.0,53673.0,19363.0
77085,11698.0,8243.0,3455.0
77086,19391.0,12717.0,6674.0
77087,28314.0,18015.0,10299.0
77088,37546.0,24215.0,13331.0
77089,38782.0,28266.0,10516.0
77090,24657.0,18105.0,6552.0
77091,17620.0,11030.0,6590.0
77092,25820.0,17359.0,8461.0
77093,30118.0,17248.0,12870.0
77094,6621.0,4116.0,2505.0
77095,48624.0,37452.0,11172.0
77096,26513.0,18281.0,8232.0
77098,11328.0,9236.0,2092.0
77099,33920.0,22853.0,11067.0
77201,0.0,0.0,0.0
77336,9105.0,5939.0,3166.0
77338,24767.0,17782.0,6985.0
77339,30752.0,21250.0,9502.0
77345,21288.0,13665.0,7623.0
77346,38878.0,28176.0,10702.0
77373,40445.0,29659.0,10786.0
77375,28552.0,19857.0,8695.0
77377,21534.0,14981.0,6553.0
77379,53616.0,38346.0,15270.0
77388,29963.0,21680.0,8283.0
77389,16220.0,11227.0,4993.0
77396,31707.0,21784.0,9923.0
77401,13385.0,9424.0,3961.0
77429,51233.0,37526.0,13707.0
77433,34506.0,25302.0,9204.0
77447,9207.0,6046.0,3161.0
77449,63529.0,47077.0,16452.0
77450,51522.0,35919.0,15603.0
