Zipcode,Less than high school graduate,High school graduate (includes equivalency),Some college or associate degree,Bachelor degree,Graduate or professional degree
77520,7864.0,5574.0,7194.0,1482.0,741.0
77521,5209.0,8680.0,12408.0,3691.0,1744.0
77530,5281.0,5699.0,4307.0,1012.0,292.0
77532,2308.0,6206.0,6783.0,2523.0,764.0
77536,2573.0,5003.0,8518.0,2852.0,1221.0
77547,2314.0,1856.0,1364.0,268.0,59.0
77562,1201.0,2280.0,2529.0,325.0,209.0
77571,3087.0,7470.0,9228.0,2561.0,1057.0
77586,687.0,2031.0,4938.0,4761.0,2213.0
77587,4529.0,2800.0,1357.0,413.0,228.0
77598,1996.0,3629.0,5520.0,2742.0,1100.0
77002,2468.0,2243.0,1877.0,1419.0,1098.0
77003,2203.0,1283.0,1651.0,1358.0,769.0
77004,2794.0,2984.0,4843.0,4554.0,4568.0
77005,151.0,569.0,1820.0,5981.0,8032.0
77006,456.0,1677.0,3595.0,5718.0,5574.0
77007,2277.0,2358.0,3968.0,9831.0,7439.0
77008,2545.0,3155.0,5006.0,8553.0,5335.0
77009,8112.0,6094.0,4960.0,3804.0,2605.0
77010,10.0,12.0,56.0,239.0,321.0
77011,6641.0,3069.0,1662.0,264.0,110.0
77012,6620.0,3406.0,2142.0,600.0,180.0
77013,5344.0,3463.0,2492.0,406.0,191.0
77014,4588.0,4477.0,5991.0,2263.0,749.0
77015,10731.0,8674.0,7978.0,2368.0,1191.0
77016,4816.0,7575.0,4225.0,1107.0,657.0
77017,8265.0,6013.0,4298.0,954.0,491.0
77018,2860.0,4256.0,5108.0,4718.0,2735.0
77019,868.0,1233.0,2766.0,5841.0,5004.0
77020,8010.0,4317.0,2565.0,836.0,330.0
77021,3524.0,4721.0,4882.0,2200.0,1770.0
77022,7994.0,5109.0,3148.0,691.0,270.0
77023,7657.0,4296.0,3698.0,1522.0,557.0
77024,912.0,2158.0,4273.0,10340.0,8578.0
77025,1344.0,1535.0,3562.0,5656.0,7426.0
77026,5774.0,4429.0,3192.0,739.0,225.0
77027,255.0,732.0,2365.0,4942.0,4026.0
77028,2847.0,4249.0,2372.0,474.0,168.0
77029,4975.0,3040.0,2326.0,518.0,188.0
77030,164.0,276.0,916.0,2281.0,3829.0
77031,3220.0,2295.0,2770.0,1602.0,493.0
77032,2766.0,1810.0,1559.0,187.0,114.0
77033,5397.0,6538.0,4148.0,866.0,325.0
77034,6484.0,5899.0,6190.0,2236.0,452.0
77035,6383.0,4767.0,5402.0,3666.0,2313.0
77036,17270.0,10190.0,7730.0,4818.0,1814.0
77037,6614.0,3122.0,1526.0,381.0,34.0
77038,6215.0,4692.0,2854.0,1197.0,321.0
