Zipcode,Estimate!!Total,Estimate!!Total!!Below 100 percent of the poverty level,Estimate!!Total!!100 to 149 percent of the poverty level,Estimate!!Total!!At or above 150 percent of the poverty level,Estimate!!Total!!Same house 1 year ago,Estimate!!Total!!Same house 1 year ago!!Below 100 percent of the poverty level,Estimate!!Total!!Same house 1 year ago!!100 to 149 percent of the poverty level,Estimate!!Total!!Same house 1 year ago!!At or above 150 percent of the poverty level,Estimate!!Total!!Moved within same county,Estimate!!Total!!Moved within same county!!Below 100 percent of the poverty level,Estimate!!Total!!Moved within same county!!100 to 149 percent of the poverty level,Estimate!!Total!!Moved within same county!!At or above 150 percent of the poverty level,Estimate!!Total!!Moved from different county within same state,Estimate!!Total!!Moved from different county within same state!!Below 100 percent of the poverty level,Estimate!!Total!!Moved from different county within same state!!100 to 149 percent of the poverty level,Estimate!!Total!!Moved from different county within same state!!At or above 150 percent of the poverty level,Estimate!!Total!!Moved from different state,Estimate!!Total!!Moved from different state!!Below 100 percent of the poverty level,Estimate!!Total!!Moved from different state!!100 to 149 percent of the poverty level,Estimate!!Total!!Moved from different state!!At or above 150 percent of the poverty level,Estimate!!Total!!Moved from abroad,Estimate!!Total!!Moved from abroad!!Below 100 percent of the poverty level,Estimate!!Total!!Moved from abroad!!100 to 149 percent of the poverty level,Estimate!!Total!!Moved from abroad!!At or above 150 percent of the poverty level
77003,9513.0,2577.0,925.0,6011.0,7122.0,1781.0,820.0,4521.0,1707.0,692.0,96.0,919.0,488.0,75.0,9.0,404.0,167.0,23.0,0.0,144.0,29.0,6.0,0.0,23.0
77375,49095.0,4950.0,4326.0,39819.0,40093.0,3259.0,3018.0,33816.0,6102.0,1277.0,1016.0,3809.0,1335.0,44.0,136.0,1155.0,1361.0,354.0,63.0,944.0,204.0,16.0,93.0,95.0
77002,4916.0,864.0,351.0,3701.0,3005.0,493.0,186.0,2326.0,950.0,238.0,42.0,670.0,446.0,96.0,73.0,277.0,411.0,37.0,17.0,357.0,104.0,0.0,33.0,71.0
77091,24828.0,7050.0,3949.0,13829.0,20753.0,5593.0,3388.0,11772.0,3108.0,1004.0,475.0,1629.0,464.0,235.0,39.0,190.0,320.0,127.0,24.0,169.0,183.0,91.0,23.0,69.0
77024,37508.0,2196.0,1127.0,34185.0,31342.0,1629.0,847.0,28866.0,3346.0,246.0,166.0,2934.0,529.0,83.0,6.0,440.0,1069.0,26.0,58.0,985.0,1222.0,212.0,50.0,960.0
77036,74800.0,26161.0,13194.0,35445.0,61562.0,20899.0,10117.0,30546.0,8970.0,3409.0,2324.0,3237.0,690.0,240.0,177.0,273.0,967.0,257.0,122.0,588.0,2611.0,1356.0,454.0,801.0
77046,1003.0,32.0,8.0,963.0,763.0,17.0,0.0,746.0,147.0,15.0,8.0,124.0,11.0,0.0,0.0,11.0,61.0,0.0,0.0,61.0,21.0,0.0,0.0,21.0
77049,33245.0,4270.0,4901.0,24074.0,29927.0,3488.0,4576.0,21863.0,2447.0,629.0,217.0,1601.0,399.0,7.0,49.0,343.0,224.0,99.0,0.0,125.0,248.0,47.0,59.0,142.0
77061,25831.0,5530.0,3905.0,16396.0,20029.0,3452.0,2709.0,13868.0,4658.0,1658.0,981.0,2019.0,460.0,0.0,215.0,245.0,437.0,304.0,0.0,133.0,247.0,116.0,0.0,131.0
77073,41763.0,6187.0,5464.0,30112.0,35031.0,4353.0,4639.0,26039.0,5379.0,1482.0,710.0,3187.0,685.0,77.0,71.0,537.0,507.0,216.0,44.0,247.0,161.0,59.0,0.0,102.0
77076,34086.0,11289.0,6253.0,16544.0,30975.0,9792.0,5734.0,15449.0,3003.0,1458.0,507.0,1038.0,80.0,18.0,12.0,50.0,7.0,0.0,0.0,7.0,21.0,21.0,0.0,0.0
