Zipcode,Median household income in the past 12 months,Total Number of House-hold in the past 12 months,"Total Number of House-hold with Less than $10,000","Total Number of House-hold with an Income of $10,000 to $14,999","Total Number of House-hold with an Income of $15,000 to $19,999","Total Number of House-hold with an Income of $20,000 to $24,999","Total Number of House-hold with an Income of $25,000 to $29,999","Total Number of House-hold with an Income of $30,000 to $34,999","Total Number of House-hold with an Income of $35,000 to $39,999","Total Number of House-hold with an Income of $40,000 to $44,999","Total Number of House-hold with an Income of $45,000 to $49,999","Total Number of House-hold with an Income of $50,000 to $59,999","Total Number of House-hold with an Income of $60,000 to $74,999","Total Number of House-hold with an Income of $75,000 to $99,999","Total Number of House-hold with an Income of $100,000 to $124,999","Total Number of House-hold with an Income of $125,000 to $149,999","Total Number of House-hold with an Income of $150,000 to $199,999","Total Number of House-hold with an Income of $200,000 or more"
77484,60998.0,3571.0,127.0,117.0,146.0,106.0,143.0,261.0,124.0,80.0,202.0,438.0,483.0,487.0,331.0,236.0,140.0,150.0
77493,77272.0,7090.0,195.0,98.0,391.0,237.0,143.0,230.0,227.0,239.0,181.0,558.0,877.0,1630.0,776.0,558.0,431.0,319.0
77502,42939.0,10693.0,918.0,612.0,778.0,769.0,479.0,789.0,638.0,657.0,415.0,1072.0,989.0,1230.0,860.0,292.0,143.0,52.0
77503,42207.0,7659.0,565.0,424.0,576.0,681.0,489.0,485.0,425.0,341.0,423.0,796.0,818.0,852.0,467.0,180.0,103.0,34.0
77504,42226.0,8534.0,545.0,493.0,728.0,517.0,647.0,535.0,607.0,368.0,478.0,1095.0,620.0,853.0,319.0,298.0,312.0,119.0
77505,72172.0,8147.0,342.0,165.0,374.0,193.0,285.0,458.0,352.0,341.0,371.0,528.0,811.0,1238.0,997.0,719.0,561.0,412.0
77506,30590.0,10531.0,1412.0,838.0,991.0,1028.0,888.0,771.0,755.0,572.0,474.0,640.0,846.0,675.0,281.0,100.0,183.0,77.0
77507,-666666666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77520,44181.0,11981.0,934.0,835.0,777.0,808.0,892.0,536.0,599.0,697.0,774.0,1166.0,1332.0,1139.0,602.0,368.0,402.0,120.0
77521,57352.0,16905.0,1200.0,658.0,736.0,1056.0,1120.0,776.0,593.0,671.0,615.0,1452.0,1906.0,2184.0,1817.0,754.0,785.0,582.0
77530,43439.0,9018.0,758.0,489.0,493.0,714.0,430.0,901.0,491.0,386.0,277.0,895.0,879.0,982.0,780.0,187.0,287.0,69.0
