Zipcode,Cost less than $100,Cost from $100 to $199,Cost from $200 to $299,Cost from $300 to $399,Cost from $400 to $499,Cost from $500 to $599,Cost from $600 to $699,Cost from $700 to $799,Cost from $800 to $899,Cost from $900 to $999,Cost from $1k to $1.499k,Cost from $1.5k to 1.999k,Cost from $2k to $2.499,Cost from $2.5k to $2.999k,Cost from $3k and more
77003,23.0,81.0,141.0,181.0,394.0,324.0,127.0,161.0,149.0,190.0,908.0,751.0,660.0,185.0,165.0
77375,63.0,168.0,218.0,363.0,637.0,468.0,531.0,793.0,1048.0,892.0,4932.0,3120.0,1391.0,615.0,707.0
77002,0.0,0.0,34.0,121.0,189.0,74.0,145.0,152.0,38.0,80.0,923.0,812.0,340.0,134.0,163.0
77091,29.0,275.0,459.0,669.0,607.0,921.0,999.0,1363.0,1058.0,895.0,1659.0,329.0,174.0,61.0,8.0
77024,16.0,29.0,44.0,80.0,143.0,348.0,369.0,231.0,422.0,563.0,2821.0,2320.0,1445.0,1533.0,4676.0
77036,141.0,302.0,632.0,647.0,1218.0,2619.0,5062.0,5150.0,3670.0,1901.0,3784.0,949.0,177.0,76.0,30.0
77046,8.0,0.0,0.0,0.0,0.0,27.0,14.0,0.0,0.0,0.0,23.0,379.0,173.0,67.0,0.0
77049,53.0,218.0,319.0,317.0,398.0,455.0,383.0,536.0,796.0,906.0,3447.0,1815.0,375.0,105.0,30.0
77061,0.0,99.0,182.0,302.0,336.0,1012.0,1476.0,1225.0,983.0,508.0,1740.0,651.0,48.0,48.0,3.0
77073,15.0,38.0,237.0,204.0,293.0,455.0,606.0,1288.0,920.0,1057.0,5213.0,2106.0,353.0,0.0,0.0
77076,43.0,353.0,678.0,649.0,646.0,612.0,814.0,843.0,1235.0,814.0,2487.0,302.0,51.0,0.0,0.0
77079,0.0,30.0,18.0,160.0,201.0,376.0,570.0,436.0,641.0,675.0,3709.0,2003.0,780.0,789.0,2080.0
77080,0.0,105.0,275.0,493.0,667.0,711.0,1287.0,1970.0,2193.0,1557.0,3762.0,1597.0,387.0,47.0,84.0
77087,27.0,243.0,830.0,818.0,982.0,1294.0,1283.0,1159.0,795.0,708.0,2278.0,308.0,55.0,0.0,0.0
77092,40.0,199.0,441.0,464.0,764.0,1184.0,1559.0,2418.0,1358.0,1443.0,2895.0,778.0,260.0,56.0,51.0
77095,0.0,23.0,139.0,324.0,387.0,592.0,1145.0,1012.0,1492.0,1560.0,7122.0,6502.0,2236.0,919.0,593.0
77016,23.0,832.0,1011.0,1055.0,945.0,705.0,742.0,682.0,742.0,665.0,1569.0,69.0,12.0,29.0,6.0
77018,41.0,107.0,240.0,307.0,418.0,725.0,894.0,925.0,770.0,456.0,1675.0,1293.0,1067.0,613.0,1191.0
77029,38.0,225.0,593.0,467.0,374.0,600.0,523.0,759.0,474.0,340.0,902.0,104.0,59.0,0.0,0.0
77044,26.0,238.0,175.0,410.0,442.0,319.0,467.0,284.0,514.0,534.0,3389.0,2627.0,1273.0,978.0,831.0
77048,25.0,246.0,534.0,389.0,370.0,455.0,588.0,455.0,306.0,365.0,998.0,529.0,70.0,73.0,0.0
77051,92.0,370.0,473.0,458.0,615.0,287.0,504.0,576.0,453.0,406.0,1254.0,140.0,59.0,0.0,0.0
77066,78.0,40.0,229.0,363.0,695.0,521.0,470.0,712.0,785.0,562.0,3624.0,1572.0,268.0,201.0,65.0
77054,32.0,12.0,82.0,114.0,56.0,345.0,720.0,879.0,1757.0,1484.0,4607.0,1908.0,300.0,15.0,0.0
77059,19.0,0.0,110.0,93.0,153.0,230.0,162.0,208.0,214.0,333.0,1189.0,936.0,922.0,451.0,842.0
77062,0.0,101.0,175.0,408.0,411.0,317.0,306.0,547.0,782.0,395.0,2599.0,2331.0,849.0,195.0,267.0
77075,19.0,105.0,340.0,446.0,422.0,916.0,1024.0,983.0,1160.0,1034.0,4257.0,1895.0,128.0,0.0,16.0
77078,18.0,261.0,392.0,438.0,230.0,341.0,503.0,362.0,494.0,325.0,908.0,186.0,11.0,13.0,0.0
77085,0.0,17.0,215.0,190.0,291.0,347.0,203.0,201.0,260.0,453.0,2384.0,477.0,20.0,9.0,11.0
77484,8.0,63.0,212.0,228.0,321.0,382.0,381.0,148.0,211.0,199.0,673.0,365.0,201.0,25.0,145.0
77506,113.0,325.0,680.0,635.0,727.0,1156.0,1382.0,1166.0,1284.0,1046.0,2007.0,190.0,12.0,0.0,0.0
77520,154.0,401.0,665.0,1017.0,1045.0,848.0,1001.0,1104.0,1042.0,990.0,2742.0,669.0,167.0,8.0,81.0
77532,70.0,214.0,425.0,356.0,557.0,487.0,661.0,488.0,776.0,586.0,2848.0,1770.0,412.0,127.0,75.0
77586,13.0,49.0,47.0,140.0,265.0,299.0,482.0,569.0,693.0,720.0,1770.0,1566.0,1097.0,474.0,467.0
77598,0.0,59.0,89.0,91.0,166.0,245.0,350.0,1043.0,1478.0,1320.0,4391.0,815.0,156.0,109.0,25.0
77502,0.0,104.0,516.0,884.0,787.0,1052.0,983.0,1097.0,633.0,671.0,3242.0,611.0,152.0,8.0,22.0
77547,0.0,113.0,164.0,251.0,381.0,176.0,257.0,212.0,266.0,181.0,591.0,27.0,3.0,0.0,6.0
77503,30.0,222.0,380.0,329.0,607.0,652.0,732.0,704.0,952.0,768.0,2370.0,261.0,0.0,0.0,0.0
77521,28.0,396.0,433.0,585.0,830.0,1519.0,1644.0,1218.0,1348.0,1482.0,5162.0,2985.0,766.0,227.0,75.0
77530,50.0,62.0,343.0,499.0,732.0,686.0,632.0,952.0,745.0,894.0,2862.0,546.0,40.0,0.0,15.0
77571,31.0,219.0,339.0,602.0,789.0,769.0,797.0,843.0,672.0,777.0,4289.0,2292.0,523.0,79.0,53.0
77336,0.0,79.0,123.0,314.0,171.0,149.0,209.0,319.0,188.0,330.0,1211.0,586.0,254.0,220.0,217.0
77094,0.0,0.0,0.0,0.0,29.0,54.0,90.0,63.0,130.0,88.0,720.0,320.0,470.0,456.0,747.0
77096,18.0,95.0,389.0,174.0,315.0,500.0,1492.0,1311.0,1501.0,1439.0,2993.0,1338.0,1174.0,790.0,714.0
77379,41.0,99.0,164.0,305.0,561.0,578.0,1051.0,1043.0,1053.0,1388.0,6505.0,5796.0,3360.0,1781.0,2388.0
77389,0.0,14.0,97.0,148.0,370.0,176.0,437.0,312.0,295.0,340.0,1884.0,1874.0,1761.0,1112.0,1573.0
77010,0.0,0.0,0.0,0.0,0.0,20.0,11.0,7.0,0.0,0.0,0.0,84.0,56.0,82.0,329.0
77020,99.0,494.0,726.0,684.0,876.0,871.0,1108.0,964.0,534.0,590.0,899.0,247.0,82.0,0.0,35.0
77021,164.0,426.0,861.0,687.0,526.0,754.0,758.0,928.0,774.0,872.0,2202.0,770.0,393.0,120.0,156.0
77030,0.0,48.0,15.0,39.0,71.0,53.0,100.0,129.0,278.0,246.0,1424.0,1253.0,315.0,204.0,698.0
77037,19.0,243.0,395.0,578.0,338.0,505.0,385.0,286.0,280.0,554.0,1628.0,171.0,15.0,0.0,0.0
77045,0.0,416.0,875.0,833.0,786.0,640.0,562.0,505.0,850.0,859.0,2818.0,880.0,65.0,0.0,16.0
77082,0.0,91.0,208.0,443.0,408.0,466.0,1159.0,1430.0,1957.0,2332.0,9320.0,3272.0,542.0,125.0,615.0
77084,12.0,140.0,350.0,726.0,1437.0,1183.0,1483.0,1741.0,1770.0,2160.0,13678.0,6465.0,1882.0,169.0,92.0
