Zipcode,Total Travel Time,Travel Time Less than 5 minutes,Travel Time 5 to 9 minutes,Travel Time 10 to 14 minutes,Travel Time 15 to 19 minutes,Travel Time 15 to 19 minutes,Travel Time 20 to 24 minutes,Travel Time 25 to 29 minutes,Travel Time 30 to 34 minutes,Travel Time 35 to 39 minutes,Travel Time 40 to 44 minutes,Travel Time 45 to 59 minutes,Travel Time 60 to 89 minutes,Travel Time 90 or more minutes
77003,5300.0,68.0,516.0,896.0,918.0,918.0,706.0,429.0,929.0,79.0,83.0,258.0,289.0,129.0
77375,22947.0,656.0,1949.0,2159.0,3119.0,3119.0,2262.0,1486.0,2936.0,1023.0,1327.0,3151.0,2411.0,468.0
77002,3177.0,40.0,373.0,377.0,508.0,508.0,715.0,210.0,458.0,156.0,91.0,172.0,75.0,2.0
77091,10405.0,97.0,222.0,527.0,1160.0,1160.0,2043.0,566.0,2756.0,412.0,470.0,1323.0,458.0,371.0
77024,15603.0,406.0,1451.0,2010.0,3597.0,3597.0,3060.0,1239.0,1842.0,456.0,595.0,544.0,304.0,99.0
77036,34249.0,382.0,1232.0,3017.0,4015.0,4015.0,6778.0,2694.0,7375.0,1612.0,1197.0,3503.0,2070.0,374.0
77046,644.0,30.0,66.0,65.0,173.0,173.0,129.0,115.0,52.0,14.0,0.0,0.0,0.0,0.0
77049,15048.0,168.0,1029.0,1167.0,2214.0,2214.0,2209.0,998.0,2896.0,458.0,705.0,1663.0,1284.0,257.0
77061,11881.0,94.0,848.0,1710.0,1109.0,1109.0,1780.0,818.0,2239.0,196.0,453.0,1090.0,1136.0,408.0
77073,19010.0,154.0,882.0,1676.0,2996.0,2996.0,2456.0,1745.0,2897.0,716.0,949.0,2439.0,1875.0,225.0
77076,13979.0,177.0,426.0,823.0,1380.0,1380.0,1877.0,732.0,4858.0,322.0,428.0,1854.0,923.0,179.0
77079,14279.0,290.0,1030.0,1718.0,2187.0,2187.0,2353.0,1155.0,2126.0,522.0,580.0,1558.0,471.0,289.0
