Zipcode,Estimate!!Total,Estimate!!Total!!Below 100 percent of the poverty level,Estimate!!Total!!100 to 149 percent of the poverty level,Estimate!!Total!!At or above 150 percent of the poverty level,Estimate!!Total!!Same house 1 year ago,Estimate!!Total!!Same house 1 year ago!!Below 100 percent of the poverty level,Estimate!!Total!!Same house 1 year ago!!100 to 149 percent of the poverty level,Estimate!!Total!!Same house 1 year ago!!At or above 150 percent of the poverty level,Estimate!!Total!!Moved within same county,Estimate!!Total!!Moved within same county!!Below 100 percent of the poverty level,Estimate!!Total!!Moved within same county!!100 to 149 percent of the poverty level,Estimate!!Total!!Moved within same county!!At or above 150 percent of the poverty level,Estimate!!Total!!Moved from different county within same state,Estimate!!Total!!Moved from different county within same state!!Below 100 percent of the poverty level,Estimate!!Total!!Moved from different county within same state!!100 to 149 percent of the poverty level,Estimate!!Total!!Moved from different county within same state!!At or above 150 percent of the poverty level,Estimate!!Total!!Moved from different state,Estimate!!Total!!Moved from different state!!Below 100 percent of the poverty level,Estimate!!Total!!Moved from different state!!100 to 149 percent of the poverty level,Estimate!!Total!!Moved from different state!!At or above 150 percent of the poverty level,Estimate!!Total!!Moved from abroad,Estimate!!Total!!Moved from abroad!!Below 100 percent of the poverty level,Estimate!!Total!!Moved from abroad!!100 to 149 percent of the poverty level,Estimate!!Total!!Moved from abroad!!At or above 150 percent of the poverty level
77520,37111.0,7599.0,5661.0,23851.0,30019.0,5313.0,4569.0,20137.0,5324.0,1913.0,822.0,2589.0,1193.0,138.0,216.0,839.0,510.0,209.0,47.0,254.0,65.0,26.0,7.0,32.0
77521,52154.0,9697.0,5031.0,37426.0,42152.0,6301.0,3275.0,32576.0,7194.0,2296.0,1459.0,3439.0,1544.0,450.0,255.0,839.0,1239.0,635.0,32.0,572.0,25.0,15.0,10.0,0.0
77530,29725.0,7494.0,3360.0,18871.0,25545.0,5983.0,3057.0,16505.0,3228.0,1096.0,143.0,1989.0,448.0,59.0,160.0,229.0,296.0,174.0,0.0,122.0,208.0,182.0,0.0,26.0
77532,27900.0,3595.0,2742.0,21563.0,24447.0,2922.0,2619.0,18906.0,2090.0,286.0,117.0,1687.0,1180.0,360.0,6.0,814.0,133.0,27.0,0.0,106.0,50.0,0.0,0.0,50.0
77536,31292.0,2699.0,2090.0,26503.0,26664.0,2108.0,1630.0,22926.0,3442.0,458.0,264.0,2720.0,537.0,113.0,0.0,424.0,425.0,20.0,0.0,405.0,224.0,0.0,196.0,28.0
77547,9789.0,2131.0,1905.0,5753.0,7797.0,1594.0,1883.0,4320.0,1697.0,445.0,8.0,1244.0,63.0,0.0,14.0,49.0,156.0,16.0,0.0,140.0,76.0,76.0,0.0,0.0
77562,10686.0,1340.0,1053.0,8293.0,8976.0,661.0,709.0,7606.0,1124.0,382.0,144.0,598.0,289.0,0.0,200.0,89.0,297.0,297.0,0.0,0.0,0.0,0.0,0.0,0.0
77571,35729.0,3703.0,3241.0,28785.0,30807.0,3073.0,2610.0,25124.0,3476.0,536.0,406.0,2534.0,957.0,90.0,111.0,756.0,454.0,4.0,114.0,336.0,35.0,0.0,0.0,35.0
77586,21555.0,1487.0,1203.0,18865.0,18337.0,1096.0,787.0,16454.0,1268.0,150.0,288.0,830.0,1035.0,241.0,47.0,747.0,722.0,0.0,54.0,668.0,193.0,0.0,27.0,166.0
77587,16759.0,4495.0,3240.0,9024.0,14062.0,3275.0,2737.0,8050.0,2304.0,984.0,447.0,873.0,213.0,179.0,24.0,10.0,114.0,23.0,0.0,91.0,66.0,34.0,32.0,0.0
77598,23772.0,3372.0,2986.0,17414.0,15415.0,1528.0,1973.0,11914.0,4942.0,1349.0,766.0,2827.0,1867.0,303.0,111.0,1453.0,1342.0,168.0,136.0,1038.0,206.0,24.0,0.0,182.0
77002,4454.0,765.0,309.0,3380.0,2590.0,409.0,98.0,2083.0,1031.0,149.0,65.0,817.0,273.0,155.0,20.0,98.0,440.0,42.0,93.0,305.0,120.0,10.0,33.0,77.0
77003,10608.0,4054.0,1188.0,5366.0,8679.0,3411.0,1055.0,4213.0,1563.0,598.0,124.0,841.0,224.0,0.0,9.0,215.0,117.0,35.0,0.0,82.0,25.0,10.0,0.0,15.0
77004,26461.0,7164.0,2192.0,17105.0,19341.0,4718.0,1566.0,13057.0,4660.0,1719.0,538.0,2403.0,1079.0,465.0,26.0,588.0,844.0,142.0,20.0,682.0,537.0,120.0,42.0,375.0
77005,23221.0,730.0,462.0,22029.0,20740.0,602.0,353.0,19785.0,1146.0,62.0,91.0,993.0,310.0,1.0,8.0,301.0,655.0,39.0,10.0,606.0,370.0,26.0,0.0,344.0
77006,20538.0,2340.0,1340.0,16858.0,15211.0,1416.0,1023.0,12772.0,3319.0,590.0,167.0,2562.0,687.0,161.0,24.0,502.0,878.0,107.0,126.0,645.0,443.0,66.0,0.0,377.0
77007,31574.0,2942.0,1435.0,27197.0,23085.0,2161.0,1132.0,19792.0,5904.0,491.0,114.0,5299.0,1089.0,66.0,111.0,912.0,1027.0,162.0,53.0,812.0,469.0,62.0,25.0,382.0
77008,30503.0,2792.0,1602.0,26109.0,24446.0,2090.0,1185.0,21171.0,4538.0,408.0,352.0,3778.0,710.0,212.0,16.0,482.0,556.0,10.0,49.0,497.0,253.0,72.0,0.0,181.0
77009,38451.0,10723.0,4125.0,23603.0,31973.0,8484.0,3314.0,20175.0,5261.0,1825.0,678.0,2758.0,521.0,320.0,56.0,145.0,509.0,94.0,66.0,349.0,187.0,0.0,11.0,176.0
77010,724.0,59.0,0.0,665.0,358.0,7.0,0.0,351.0,169.0,52.0,0.0,117.0,34.0,0.0,0.0,34.0,154.0,0.0,0.0,154.0,9.0,0.0,0.0,9.0
77011,18872.0,6230.0,4050.0,8592.0,16088.0,4997.0,3401.0,7690.0,2242.0,992.0,554.0,696.0,277.0,132.0,23.0,122.0,109.0,25.0,0.0,84.0,156.0,84.0,72.0,0.0
77012,20601.0,5755.0,4413.0,10433.0,17213.0,4287.0,3496.0,9430.0,2913.0,1265.0,749.0,899.0,248.0,141.0,96.0,11.0,123.0,14.0,66.0,43.0,104.0,48.0,6.0,50.0
77013,19688.0,5467.0,2677.0,11544.0,15815.0,4179.0,2166.0,9470.0,2921.0,820.0,493.0,1608.0,497.0,203.0,0.0,294.0,281.0,143.0,18.0,120.0,174.0,122.0,0.0,52.0
77014,31269.0,8005.0,4282.0,18982.0,24135.0,4391.0,3290.0,16454.0,5889.0,3110.0,799.0,1980.0,231.0,11.0,0.0,220.0,859.0,357.0,193.0,309.0,155.0,136.0,0.0,19.0
77015,54124.0,12161.0,9429.0,32534.0,45112.0,9221.0,7977.0,27914.0,7685.0,2566.0,1242.0,3877.0,793.0,220.0,176.0,397.0,314.0,130.0,23.0,161.0,220.0,24.0,11.0,185.0
