Zipcode,Employment Status Total Estimate,Estimate Total In labor force,Estimate Total Not in labor force
77520,27999.0,16794.0,11205.0
77521,38075.0,24425.0,13650.0
77530,21129.0,14355.0,6774.0
77532,21265.0,13167.0,8098.0
77536,24070.0,16225.0,7845.0
77547,7299.0,4343.0,2956.0
77562,8131.0,5236.0,2895.0
77571,28319.0,19780.0,8539.0
77586,17196.0,11976.0,5220.0
77587,11986.0,7625.0,4361.0
77598,18734.0,14549.0,4185.0
77002,11472.0,3394.0,8078.0
77003,8672.0,6028.0,2644.0
77004,30126.0,18413.0,11713.0
77005,20754.0,13053.0,7701.0
77006,19613.0,15776.0,3837.0
77007,28531.0,23562.0,4969.0
77008,26672.0,21192.0,5480.0
77009,30885.0,20538.0,10347.0
77010,689.0,522.0,167.0
77011,14298.0,8600.0,5698.0
77012,15899.0,10644.0,5255.0
77013,15070.0,9429.0,5641.0
77014,22586.0,15785.0,6801.0
77015,39798.0,26759.0,13039.0
77016,21226.0,11410.0,9816.0
77017,25358.0,15494.0,9864.0
77018,21673.0,14867.0,6806.0
77019,17699.0,13395.0,4304.0
77020,19692.0,11371.0,8321.0
77021,20782.0,12328.0,8454.0
77022,20746.0,12545.0,8201.0
77023,21993.0,14913.0,7080.0
77024,28859.0,17781.0,11078.0
77025,22031.0,15186.0,6845.0
77026,17263.0,9091.0,8172.0
77027,14200.0,11296.0,2904.0
77028,11716.0,6775.0,4941.0
77029,13086.0,7714.0,5372.0
77030,8986.0,6253.0,2733.0
77031,12776.0,9593.0,3183.0
77032,8644.0,4831.0,3813.0
77033,20903.0,11244.0,9659.0
77034,26774.0,18928.0,7846.0
77035,26916.0,19212.0,7704.0
77036,52655.0,37310.0,15345.0
77037,14545.0,9492.0,5053.0
77038,19322.0,12947.0,6375.0
77039,20273.0,12834.0,7439.0
77040,35951.0,26385.0,9566.0
77041,27812.0,19346.0,8466.0
77042,30597.0,23554.0,7043.0
77043,19529.0,13393.0,6136.0
77044,23938.0,16869.0,7069.0
77045,24631.0,15745.0,8886.0
77046,930.0,565.0,365.0
77047,17904.0,12496.0,5408.0
77048,12550.0,7476.0,5074.0
77049,22276.0,15136.0,7140.0
77050,3674.0,2309.0,1365.0
77051,11789.0,5972.0,5817.0
77054,19660.0,14497.0,5163.0
77055,32356.0,22100.0,10256.0
77056,15890.0,10882.0,5008.0
77057,33548.0,25161.0,8387.0
77058,14159.0,10380.0,3779.0
77059,14645.0,9569.0,5076.0
77060,29661.0,20813.0,8848.0
77061,18776.0,12672.0,6104.0
77062,20892.0,14479.0,6413.0
77063,29333.0,21624.0,7709.0
77064,35588.0,25033.0,10555.0
77065,29249.0,21355.0,7894.0
77066,24315.0,16835.0,7480.0
77067,21775.0,14634.0,7141.0
77068,8743.0,6035.0,2708.0
77069,14264.0,9292.0,4972.0
77070,37375.0,27588.0,9787.0
77071,21324.0,14503.0,6821.0
77072,45080.0,31484.0,13596.0
77073,28117.0,20722.0,7395.0
77074,27348.0,18534.0,8814.0
77075,29104.0,20479.0,8625.0
77076,23814.0,14776.0,9038.0
77077,43683.0,32705.0,10978.0
77078,11456.0,6391.0,5065.0
77079,24081.0,15823.0,8258.0
77080,35811.0,25099.0,10712.0
77081,31222.0,23155.0,8067.0
77082,41284.0,30082.0,11202.0
77083,54945.0,36658.0,18287.0
77084,75979.0,54206.0,21773.0
77085,12023.0,8272.0,3751.0
77086,20604.0,14014.0,6590.0
77087,27348.0,16803.0,10545.0
77088,39018.0,25456.0,13562.0
77089,39817.0,28030.0,11787.0
77090,25645.0,18407.0,7238.0
77091,18142.0,11230.0,6912.0
77092,26423.0,18071.0,8352.0
77093,30550.0,17844.0,12706.0
77094,6826.0,4441.0,2385.0
77095,52980.0,39176.0,13804.0
77096,28327.0,19301.0,9026.0
77098,12058.0,9964.0,2094.0
77099,35099.0,23956.0,11143.0
77201,0.0,0.0,0.0
77336,8898.0,5537.0,3361.0
77338,27287.0,18740.0,8547.0
77339,32641.0,22656.0,9985.0
77345,22156.0,14241.0,7915.0
77346,41782.0,29597.0,12185.0
77373,40669.0,29453.0,11216.0
77375,29920.0,20368.0,9552.0
77377,22463.0,15049.0,7414.0
77379,55229.0,37888.0,17341.0
77388,31924.0,22277.0,9647.0
77389,18932.0,13014.0,5918.0
77396,34826.0,25022.0,9804.0
77401,13662.0,9189.0,4473.0
77429,55118.0,39969.0,15149.0
77433,41058.0,29095.0,11963.0
77447,9689.0,5745.0,3944.0
77449,70922.0,52677.0,18245.0
77450,54596.0,38552.0,16044.0
77484,8713.0,5446.0,3267.0
77493,18549.0,13566.0,4983.0
77502,26976.0,16891.0,10085.0
77503,18626.0,11929.0,6697.0
77504,18280.0,11981.0,6299.0
77505,18569.0,13110.0,5459.0
77506,25109.0,15435.0,9674.0
77507,0.0,0.0,0.0
